index	status	map_line
1	VERIFIED	0002:00526420 ?IsAlpha@Broc@@YA_ND@Z 00D15920 f Broc.o
2	VERIFIED	0002:00526470 ?ToLower@Broc@@YADD@Z 00D15970 f Broc.o
3	VERIFIED	0002:005264b0 ?length@Broc@@YAIPBD@Z 00D159B0 f Broc.o
4	PORTED	0002:00526510 ??0Block@string@Broc@@QAE@HIPBD@Z 00D15A10 f Broc.o
5	PORTED	0002:00526630 ?Append@Block@string@Broc@@QAEXPBDI@Z 00D15B30 f Broc.o
6	VERIFIED	0002:00526730 ?DecrementCount@Block@string@Broc@@QAEXXZ 00D15C30 f Broc.o
7	VERIFIED	0002:00526790 ??0string@Broc@@QAE@W4EUndefined@1@@Z 00D15C90 f Broc.o
8	PORTED	0002:005267c0 ??0string@Broc@@QAE@PAVBlock@01@@Z 00D15CC0 f Broc.o
9	PORTED	0002:00526920 ??0?$BrocDtor@Vstring@Broc@@@@QAE@XZ 00D15E20 f i Broc.o
10	VERIFIED	0002:00526950 ??0string@Broc@@QAE@PBD@Z 00D15E50 f Broc.o
11	VERIFIED	0002:005269c0 ??0string@Broc@@QAE@PBDH@Z 00D15EC0 f Broc.o
12	VERIFIED	0002:00526a10 ??0string@Broc@@QAE@ABV01@@Z 00D15F10 f Broc.o
13	VERIFIED	0002:00526b90 ?IncrementCount@Block@string@Broc@@QAEXXZ 00D16090 f i Broc.o
14	VERIFIED	0002:00526bc0 ??0string@Broc@@QAE@ABV01@H@Z 00D160C0 f Broc.o
15	PORTED	0002:00526d20 ?AllocBlock@string@Broc@@SA?AV?$ae_pair@PAXH@@H@Z 00D16220 f Broc.o
16	VERIFIED	0002:00526da0 ?GetBlockSize@string@Broc@@SAHH@Z 00D162A0 f i Broc.o
17	PORTED	0002:00526dc0 ?AllocBlock@string@Broc@@SAPAVBlock@12@PBDII@Z 00D162C0 f Broc.o
18	VERIFIED	0002:00526ea0 ??Ystring@Broc@@QAEAAV01@D@Z 00D163A0 f Broc.o
19	VERIFIED	0002:00526ee0 ??Ystring@Broc@@QAEAAV01@PBD@Z 00D163E0 f Broc.o
20	VERIFIED	0002:00526f20 ??Ystring@Broc@@QAEAAV01@ABV01@@Z 00D16420 f Broc.o
21	VERIFIED	0002:00526f60 ??4string@Broc@@QAEAAV01@ABV01@@Z 00D16460 f Broc.o
22	VERIFIED	0002:005270c0 ??4string@Broc@@QAEAAV01@PBD@Z 00D165C0 f Broc.o
23	PORTED	0002:00527250 ?GetRefCount@Block@string@Broc@@QBEHXZ 00D16750 f i Broc.o
24	VERIFIED	0002:00527270 ??4string@Broc@@QAEAAV01@D@Z 00D16770 f Broc.o
25	VERIFIED	0002:00527320 ??0string@Broc@@QAE@I@Z 00D16820 f Broc.o
26	VERIFIED	0002:005273b0 ??0string@Broc@@QAE@H@Z 00D168B0 f Broc.o
27	VERIFIED	0002:00527440 ??0string@Broc@@QAE@M@Z 00D16940 f Broc.o
28	PORTED	0002:005274f0 ??0string@Broc@@QAE@Ubint@@@Z 00D169F0 f Broc.o
29	PORTED	0002:00527590 ??0string@Broc@@QAE@Ubfloat@@@Z 00D16A90 f Broc.o
30	PORTED	0002:00527640 ??0string@Broc@@QAE@Ubunsigned@@@Z 00D16B40 f Broc.o
31	PORTED	0002:005276e0 ??Bbunsigned@@QBE?BIXZ 00D16BE0 f i Broc.o
32	PORTED	0002:00527700 ??0string@Broc@@QAE@Ubbool@@@Z 00D16C00 f Broc.o
33	PORTED	0002:005277a0 ??Bbbool@@QBE?B_NXZ 00D16CA0 f i Broc.o
34	VERIFIED	0002:005277c0 ??1string@Broc@@QAE@XZ 00D16CC0 f Broc.o
35	VERIFIED	0002:00527820 ??4string@Broc@@QAEAAV01@H@Z 00D16D20 f Broc.o
36	VERIFIED	0002:00527870 ??4string@Broc@@QAEAAV01@M@Z 00D16D70 f Broc.o
37	VERIFIED	0002:005278c0 ??4string@Broc@@QAEAAV01@ABUvector@1@@Z 00D16DC0 f Broc.o
38	VERIFIED	0002:00527940 ??Ystring@Broc@@QAEAAV01@H@Z 00D16E40 f Broc.o
39	VERIFIED	0002:005279a0 ??Ystring@Broc@@QAEAAV01@I@Z 00D16EA0 f Broc.o
40	VERIFIED	0002:00527a00 ??Ystring@Broc@@QAEAAV01@M@Z 00D16F00 f Broc.o
41	VERIFIED	0002:00527a70 ?clear@string@Broc@@QAEXXZ 00D16F70 f Broc.o
42	VERIFIED	0002:00527ae0 ?find@string@Broc@@QBEHPBDI@Z 00D16FE0 f Broc.o
43	VERIFIED	0002:00527c00 ?find@string@Broc@@QBEHID@Z 00D17100 f Broc.o
44	VERIFIED	0002:00527c70 ?rfind@string@Broc@@QBEHPBD@Z 00D17170 f Broc.o
45	VERIFIED	0002:00527d40 ?remove_leading@string@Broc@@QAEAAV12@PBD@Z 00D17240 f Broc.o
46	VERIFIED	0002:00527e30 ?remove_trailing@string@Broc@@QAEAAV12@PBD@Z 00D17330 f Broc.o
47	VERIFIED	0002:00527f20 ?set_char@string@Broc@@QAEXID@Z 00D17420 f Broc.o
48	VERIFIED	0002:00527f70 ?Append@string@Broc@@AAEXPBDI@Z 00D17470 f Broc.o
49	VERIFIED	0002:005280e0 ?substr@string@Broc@@QBE?AV12@II@Z 00D175E0 f Broc.o
50	VERIFIED	0002:00528260 ??8Broc@@YA_NABVstring@0@PBD@Z 00D17760 f Broc.o
51	VERIFIED	0002:00528390 ??8Broc@@YA_NABVstring@0@0@Z 00D17890 f Broc.o
52	VERIFIED	0002:005284c0 ??HBroc@@YA?AVstring@0@ABV10@0@Z 00D179C0 f Broc.o
53	VERIFIED	0002:005285c0 ??HBroc@@YA?AVstring@0@ABV10@PBD@Z 00D17AC0 f Broc.o
54	VERIFIED	0002:00528710 ?string_hash@Broc@@YA?AUHashStr@@PBD@Z 00D17C10 f Broc.o
55	PORTED	0002:00528750 ??0HashStr@@QAE@I@Z 00D17C50 f i Broc.o
56	VERIFIED	0002:00528780 ?string_hash@Broc@@YA?AUHashStr@@ABVstring@1@@Z 00D17C80 f Broc.o
57	VERIFIED	0002:005287c0 ?strcmp@Broc@@YAHPBD0@Z 00D17CC0 f Broc.o
58	VERIFIED	0002:00528860 ??8Broc@@YA_NUHashStr@@ABVstring@0@@Z 00D17D60 f Broc.o
59	VERIFIED	0002:005288a0 ??8Broc@@YA_NABVstring@0@UHashStr@@@Z 00D17DA0 f Broc.o
60	VERIFIED	0002:005288e0 ??9Broc@@YA_NUHashStr@@ABVstring@0@@Z 00D17DE0 f Broc.o
