ida_ea	va	name	signature	family
0x00899070	0x00C88570	??0MemoryUnitManager@@AAE@XZ	private: __thiscall MemoryUnitManager::MemoryUnitManager(void)	MemoryUnit.o
0x00899080	0x00C88580	??1MemoryUnitManager@@AAE@XZ	private: __thiscall MemoryUnitManager::~MemoryUnitManager(void)	MemoryUnit.o
0x00899090	0x00C88590	?GetLastError@MemoryUnitManager@@SA?AW4eStatus@1@XZ	public: static enum MemoryUnitManager::eStatus __cdecl MemoryUnitManager::GetLastError(void)	MemoryUnit.o
0x008990A0	0x00C885A0	?SetLastError@MemoryUnitManager@@SAXW4eStatus@1@@Z	public: static void __cdecl MemoryUnitManager::SetLastError(enum MemoryUnitManager::eStatus)	MemoryUnit.o
0x008990B0	0x00C885B0	?SetTitlePrefix@MemoryUnitManager@@SAXPBD@Z	public: static void __cdecl MemoryUnitManager::SetTitlePrefix(char const *)	MemoryUnit.o
0x008990D0	0x00C885D0	?GetTitlePrefix@MemoryUnitManager@@SAPBDXZ	public: static char const * __cdecl MemoryUnitManager::GetTitlePrefix(void)	MemoryUnit.o
0x008990E0	0x00C885E0	?SetActiveMemoryUnit@MemoryUnitManager@@SAXH@Z	public: static void __cdecl MemoryUnitManager::SetActiveMemoryUnit(int)	MemoryUnit.o
0x008990F0	0x00C885F0	?GetActiveMemoryUnit@MemoryUnitManager@@SAHXZ	public: static int __cdecl MemoryUnitManager::GetActiveMemoryUnit(void)	MemoryUnit.o
0x00899100	0x00C88600	?RegisterObserver@MemoryUnitManager@@SAXPAVObserver@1@@Z	public: static void __cdecl MemoryUnitManager::RegisterObserver(class MemoryUnitManager::Observer *)	MemoryUnit.o
0x00899110	0x00C88610	?RegisterInsertRemoveObserver@MemoryUnitManager@@SAXPAVInsertRemoveObserver@1@@Z	public: static void __cdecl MemoryUnitManager::RegisterInsertRemoveObserver(class MemoryUnitManager::InsertRemoveObserver *)	MemoryUnit.o
0x00899120	0x00C88620	?GetObserver@MemoryUnitManager@@SAPAVObserver@1@XZ	public: static class MemoryUnitManager::Observer * __cdecl MemoryUnitManager::GetObserver(void)	MemoryUnit.o
0x00899130	0x00C88630	?GetInsertRemoveObserver@MemoryUnitManager@@SAPAVInsertRemoveObserver@1@XZ	public: static class MemoryUnitManager::InsertRemoveObserver * __cdecl MemoryUnitManager::GetInsertRemoveObserver(void)	MemoryUnit.o
0x00899140	0x00C88640	?GetBuffer@MemoryUnitManager@@SAPAEXZ	public: static unsigned char * __cdecl MemoryUnitManager::GetBuffer(void)	MemoryUnit.o
0x00899150	0x00C88650	?GetNumBytes@MemoryUnitManager@@SAIXZ	public: static unsigned int __cdecl MemoryUnitManager::GetNumBytes(void)	MemoryUnit.o
0x00899160	0x00C88660	?Reset@Container@MemoryUnitManager@@QAEXQBD@Z	public: void __thiscall MemoryUnitManager::Container::Reset(char const * const)	MemoryUnit.o
0x008991A0	0x00C886A0	?AddFile@Container@MemoryUnitManager@@QAE_NQBDPAEI@Z	public: bool __thiscall MemoryUnitManager::Container::AddFile(char const * const,unsigned char *,unsigned int)	MemoryUnit.o
0x00899200	0x00C88700	?GetTotalBytes@Container@MemoryUnitManager@@QAEHXZ	public: int __thiscall MemoryUnitManager::Container::GetTotalBytes(void)	MemoryUnit.o
0x00899220	0x00C88720	?GetNumFiles@Container@MemoryUnitManager@@QBEHXZ	public: int __thiscall MemoryUnitManager::Container::GetNumFiles(void)const 	MemoryUnit.o
