ida_ea	name	signature	source_cpp
0x00899070	??0MemoryUnitManager@@AAE@XZ	private: __thiscall MemoryUnitManager::MemoryUnitManager(void)	
0x00899080	??1MemoryUnitManager@@AAE@XZ	private: __thiscall MemoryUnitManager::~MemoryUnitManager(void)	
0x00899090	?GetLastError@MemoryUnitManager@@SA?AW4eStatus@1@XZ	public: static enum MemoryUnitManager::eStatus __cdecl MemoryUnitManager::GetLastError(void)	
0x008990A0	?SetLastError@MemoryUnitManager@@SAXW4eStatus@1@@Z	public: static void __cdecl MemoryUnitManager::SetLastError(enum MemoryUnitManager::eStatus)	
0x008990B0	?SetTitlePrefix@MemoryUnitManager@@SAXPBD@Z	public: static void __cdecl MemoryUnitManager::SetTitlePrefix(char const *)	
0x008990D0	?GetTitlePrefix@MemoryUnitManager@@SAPBDXZ	public: static char const * __cdecl MemoryUnitManager::GetTitlePrefix(void)	
0x008990E0	?SetActiveMemoryUnit@MemoryUnitManager@@SAXH@Z	public: static void __cdecl MemoryUnitManager::SetActiveMemoryUnit(int)	
0x008990F0	?GetActiveMemoryUnit@MemoryUnitManager@@SAHXZ	public: static int __cdecl MemoryUnitManager::GetActiveMemoryUnit(void)	
0x00899100	?RegisterObserver@MemoryUnitManager@@SAXPAVObserver@1@@Z	public: static void __cdecl MemoryUnitManager::RegisterObserver(class MemoryUnitManager::Observer *)	
0x00899110	?RegisterInsertRemoveObserver@MemoryUnitManager@@SAXPAVInsertRemoveObserver@1@@Z	public: static void __cdecl MemoryUnitManager::RegisterInsertRemoveObserver(class MemoryUnitManager::InsertRemoveObserver *)	
0x00899120	?GetObserver@MemoryUnitManager@@SAPAVObserver@1@XZ	public: static class MemoryUnitManager::Observer * __cdecl MemoryUnitManager::GetObserver(void)	
0x00899130	?GetInsertRemoveObserver@MemoryUnitManager@@SAPAVInsertRemoveObserver@1@XZ	public: static class MemoryUnitManager::InsertRemoveObserver * __cdecl MemoryUnitManager::GetInsertRemoveObserver(void)	
0x00899140	?GetBuffer@MemoryUnitManager@@SAPAEXZ	public: static unsigned char * __cdecl MemoryUnitManager::GetBuffer(void)	
0x00899150	?GetNumBytes@MemoryUnitManager@@SAIXZ	public: static unsigned int __cdecl MemoryUnitManager::GetNumBytes(void)	
0x00899160	?Reset@Container@MemoryUnitManager@@QAEXQBD@Z	public: void __thiscall MemoryUnitManager::Container::Reset(char const * const)	
0x008991A0	?AddFile@Container@MemoryUnitManager@@QAE_NQBDPAEI@Z	public: bool __thiscall MemoryUnitManager::Container::AddFile(char const * const,unsigned char *,unsigned int)	
0x00899200	?GetTotalBytes@Container@MemoryUnitManager@@QAEHXZ	public: int __thiscall MemoryUnitManager::Container::GetTotalBytes(void)	
0x00899220	?GetNumFiles@Container@MemoryUnitManager@@QBEHXZ	public: int __thiscall MemoryUnitManager::Container::GetNumFiles(void)const 	
0x00899230	?GetFile@Container@MemoryUnitManager@@QAEPAEH@Z	public: unsigned char * __thiscall MemoryUnitManager::Container::GetFile(int)	
0x00899250	?GetNextFile@Container@MemoryUnitManager@@AAE_NQADPAPAEPAI@Z	private: bool __thiscall MemoryUnitManager::Container::GetNextFile(char * const,unsigned char * *,unsigned int *)	
0x008992B0	?GetGameName@Container@MemoryUnitManager@@ABEPBDXZ	private: char const * __thiscall MemoryUnitManager::Container::GetGameName(void)const 	
0x008992C0	?GetCurrentOperation@MemoryUnitManager@@SA?AW4eOperation@1@XZ	public: static enum MemoryUnitManager::eOperation __cdecl MemoryUnitManager::GetCurrentOperation(void)	
0x008992D0	?SetCurrentOperation@MemoryUnitManager@@SAXW4eOperation@1@@Z	public: static void __cdecl MemoryUnitManager::SetCurrentOperation(enum MemoryUnitManager::eOperation)	
0x008992E0	?SetDisplayStrings@MemoryUnitManager@@SAXQAY0EA@$$CBD@Z	public: static void __cdecl MemoryUnitManager::SetDisplayStrings(char const (* const)[64])	
0x00899330	?GetDisplayString@MemoryUnitManager@@SAPBDXZ	public: static char const * __cdecl MemoryUnitManager::GetDisplayString(void)	
0x00899360	?FindFirstMemoryUnit@MemoryUnitManager@@SAHXZ	public: static int __cdecl MemoryUnitManager::FindFirstMemoryUnit(void)	
0x00899390	?FindNextMemoryUnit@MemoryUnitManager@@SAHXZ	public: static int __cdecl MemoryUnitManager::FindNextMemoryUnit(void)	
0x008993E0	?FindPrevMemoryUnit@MemoryUnitManager@@SAHXZ	public: static int __cdecl MemoryUnitManager::FindPrevMemoryUnit(void)	
0x00899430	?SaveGameSync@MemoryUnitManager@@SA?AW4eStatus@1@ABVContainer@1@@Z	public: static enum MemoryUnitManager::eStatus __cdecl MemoryUnitManager::SaveGameSync(class MemoryUnitManager::Container const &)	
0x00899460	?LoadGameSync@MemoryUnitManager@@SA?AW4eStatus@1@ABVContainer@1@@Z	public: static enum MemoryUnitManager::eStatus __cdecl MemoryUnitManager::LoadGameSync(class MemoryUnitManager::Container const &)	
0x00899490	?DeleteGameSync@MemoryUnitManager@@SA?AW4eStatus@1@QBD@Z	public: static enum MemoryUnitManager::eStatus __cdecl MemoryUnitManager::DeleteGameSync(char const * const)	
0x008994C0	?FormatSync@MemoryUnitManager@@SA?AW4eStatus@1@XZ	public: static enum MemoryUnitManager::eStatus __cdecl MemoryUnitManager::FormatSync(void)	
0x008994E0	?StatusToString@MemoryUnitManager@@SAPBDW4eStatus@1@@Z	public: static char const * __cdecl MemoryUnitManager::StatusToString(enum MemoryUnitManager::eStatus)	
0x00899680	?peripheralsGetVersion@@YAIXZ	unsigned int __cdecl peripheralsGetVersion(void)	
0x00899690	??0Container@MemoryUnitManager@@QAE@QBD@Z	public: __thiscall MemoryUnitManager::Container::Container(char const * const)	
