index	status	map_line
1	PORTED	0002:003bd390 ?InPool@BlockPool@PoolAllocator@@QBE_NPAD@Z 00BAC890 f i PoolAllocator.o
2	PORTED	0002:003bd3b0 ?GetEntrySize@BlockPool@PoolAllocator@@QBEIXZ 00BAC8B0 f i PoolAllocator.o
3	VERIFIED	0002:003bd3c0 ?GetNumRemaining@BlockPool@PoolAllocator@@QBEIXZ 00BAC8C0 f i PoolAllocator.o
4	PORTED	0002:003bd3d0 ?GetCapacity@BlockPool@PoolAllocator@@QBEIXZ 00BAC8D0 f i PoolAllocator.o
5	PORTED	0002:003bd3e0 ?GetMemSize@BlockPool@PoolAllocator@@QBEHXZ 00BAC8E0 f i PoolAllocator.o
6	PORTED	0002:003bd3f0 ?GetMemRemaining@BlockPool@PoolAllocator@@QBEHXZ 00BAC8F0 f i PoolAllocator.o
7	PORTED	0002:003bd400 ?get_slist_node@Block@BlockPool@PoolAllocator@@QAEPAXXZ 00BAC900 f i PoolAllocator.o
8	PORTED	0002:003bd410 ?get_slist_node_offset@Block@BlockPool@PoolAllocator@@SAIXZ 00BAC910 f i PoolAllocator.o
9	VERIFIED	0002:003bd420 ??1BlockPool@PoolAllocator@@QAE@XZ 00BAC920 f PoolAllocator.o
10	VERIFIED	0002:003bd440 ?ReportAllocations@BlockPool@PoolAllocator@@QBEXXZ 00BAC940 f PoolAllocator.o
11	VERIFIED	0002:003bd470 ?IsEmpty@PoolAllocator@@QBE_NXZ 00BAC970 f PoolAllocator.o
12	PORTED	0002:003bd4f0 ??0Header@BlockPool@PoolAllocator@@QAE@F@Z 00BAC9F0 f PoolAllocator.o
13	VERIFIED	0002:003bd510 ??0BlockPool@PoolAllocator@@QAE@IIIIPAX@Z 00BACA10 f PoolAllocator.o
14	VERIFIED	0002:003bd610 ?GetMemSize@PoolAllocator@@QBEHXZ 00BACB10 f PoolAllocator.o
15	VERIFIED	0002:003bd640 ?GetMemRemaining@PoolAllocator@@QBEHXZ 00BACB40 f PoolAllocator.o
