ida_ea	name	signature	source_cpp
0x007BF3D0	?ToggleParticles@@YAXXZ	void __cdecl ToggleParticles(void)	
0x007BF3F0	?ToggleFog@@YAXXZ	void __cdecl ToggleFog(void)	
0x007BF410	?SetDebugRenderMode@ShaderCommon@@YAXW4EDebugRenderMode@1@@Z	void __cdecl ShaderCommon::SetDebugRenderMode(enum ShaderCommon::EDebugRenderMode)	
0x007BF420	?GetDebugRenderMode@ShaderCommon@@YA?AW4EDebugRenderMode@1@XZ	enum ShaderCommon::EDebugRenderMode __cdecl ShaderCommon::GetDebugRenderMode(void)	
0x007BF430	?SetTextureSizeMipLevel@ShaderCommon@@YAXH@Z	void __cdecl ShaderCommon::SetTextureSizeMipLevel(int)	
0x007BF440	?FinishShotPerfTest@ShaderCommon@@YAXPAX@Z	void __cdecl ShaderCommon::FinishShotPerfTest(void *)	
0x007BF450	?InitShaders@ShaderCommon@@YAXXZ	void __cdecl ShaderCommon::InitShaders(void)	
0x007BF500	?RegisterShaders@ShaderCommon@@YAXXZ	void __cdecl ShaderCommon::RegisterShaders(void)	
0x007BF510	?SetupFrame@ShaderCommon@@YAXM@Z	void __cdecl ShaderCommon::SetupFrame(float)	
0x007BF540	?SetupSceneCallback@ShaderCommon@@YAXPAX@Z	void __cdecl ShaderCommon::SetupSceneCallback(void *)	
0x007BF550	?ShaderGetTexture@ShaderCommon@@YAPAUnglTexture@@ABVtlFixedString@@@Z	struct nglTexture * __cdecl ShaderCommon::ShaderGetTexture(class tlFixedString const &)	
0x007BF5A0	?ShaderGetTextureNoDefault@ShaderCommon@@YAPAUnglTexture@@ABVtlFixedString@@@Z	struct nglTexture * __cdecl ShaderCommon::ShaderGetTextureNoDefault(class tlFixedString const &)	
0x007BF5D0	?GetFarFogColor@ShaderCommon@@YA?AVVector4@math@@XZ	class math::Vector4 __cdecl ShaderCommon::GetFarFogColor(void)	
0x007BF630	?GlowInit@ShaderCommon@@YAXXZ	void __cdecl ShaderCommon::GlowInit(void)	
0x007BF640	?GlowRender@ShaderCommon@@YAXXZ	void __cdecl ShaderCommon::GlowRender(void)	
0x007BF690	?HeatHazeInit@ShaderCommon@@YAXXZ	void __cdecl ShaderCommon::HeatHazeInit(void)	
0x007BF6A0	?HeatHazeCallback@ShaderCommon@@YAXPAX@Z	void __cdecl ShaderCommon::HeatHazeCallback(void *)	
0x007BF6B0	?StartShotPerfTest@ShaderCommon@@YAPAXXZ	void * __cdecl ShaderCommon::StartShotPerfTest(void)	
0x007BF6D0	?ToggleShader@ShaderCommon@@YAXPBD@Z	void __cdecl ShaderCommon::ToggleShader(char const *)	
0x007BF820	?UpdateShotPerfTest@ShaderCommon@@YA_NPAXM@Z	bool __cdecl ShaderCommon::UpdateShotPerfTest(void *,float)	
0x007BF840	?GetShotPerfResults@ShaderCommon@@YAXPAXAAV?$ae_sized_array@V?$ae_fixed_string@$0CAA@G@@$0EA@@@@Z	void __cdecl ShaderCommon::GetShotPerfResults(void *,class ae_sized_array<class ae_fixed_string<512,unsigned short>,64> &)	
