kind	ida_ea	name	source	detail
ORPHAN_MARKER	0x00804890	SetRenderer	src\aeps\apsBillboardRenderer.h	line 76
ORPHAN_MARKER	0x008048D0	SetRenderSortBuffer	src\aeps\apsBillboardRenderer.h	line 77
ORPHAN_MARKER	0x008048E0		src\aeps\apsBillboardRenderer.h	line 78
ORPHAN_MARKER	0x00805CF0	RegisterVShader	src\aeps\apsBillboardRenderer.h	line 186
ORPHAN_MARKER	0x00805D10	RegisterPShader	src\aeps\apsBillboardRenderer.h	line 191
ORPHAN_MARKER	0x00805D30	InitPShader	src\aeps\apsBillboardRenderer.h	line 192
ORPHAN_MARKER	0x00805670		src\aeps\apsColorBillboardRenderer.h	line 19
ORPHAN_MARKER	0x008056C0	RegisterVShader	src\aeps\apsColorBillboardRenderer.h	line 46
ORPHAN_MARKER	0x008056A0	RegisterPShader	src\aeps\apsColorBillboardRenderer.h	line 51
ORPHAN_MARKER	0x00805680	InitPShader	src\aeps\apsColorBillboardRenderer.h	line 52
ORPHAN_MARKER	0x00804930	RegisterVShader	src\aeps\apsColorRectangleRenderer.h	line 44
ORPHAN_MARKER	0x00804860	InitPShader	src\aeps\apsColorRectangleRenderer.h	line 50
ORPHAN_MARKER	0x00804CA0	RegisterVShader	src\aeps\apsColorUVARectangleRenderer.h	line 44
ORPHAN_MARKER	0x00804C10	InitPShader	src\aeps\apsColorUVARectangleRenderer.h	line 50
ORPHAN_MARKER	0x008053F0		src\aeps\apsColorUVARenderer.h	line 19
ORPHAN_MARKER	0x00805420	RegisterVShader	src\aeps\apsColorUVARenderer.h	line 44
ORPHAN_MARKER	0x00805400	RegisterPShader	src\aeps\apsColorUVARenderer.h	line 49
ORPHAN_MARKER	0x008053D0	InitPShader	src\aeps\apsColorUVARenderer.h	line 50
ORPHAN_MARKER	0x00804EA0		src\aeps\apsRectangleRenderer.h	line 20
ORPHAN_MARKER	0x0080DD50		src\aeps\apsRectangleRenderer.h	line 47
ORPHAN_MARKER	0x0080DD60		src\aeps\apsRectangleRenderer.h	line 53
ORPHAN_MARKER	0x00802F90	SetRenderer	src\aeps\apsShrimpRenderer.h	line 42
ORPHAN_MARKER	0x00802FA0		src\aeps\apsShrimpRenderer.h	line 43
ORPHAN_MARKER	0x00804470	RegisterVShader	src\aeps\apsShrimpRenderer.h	line 120
ORPHAN_MARKER	0x008028D0	SetLightContext	src\aeps\apsSimpleMeshRenderer.h	line 45
ORPHAN_MARKER	0x008028F0	RegisterVShader	src\aeps\apsSimpleMeshRenderer.h	line 97
ORPHAN_MARKER	0x00802910	RegisterPShader	src\aeps\apsSimpleMeshRenderer.h	line 103
ORPHAN_MARKER	0x008029A0	InitPShader	src\aeps\apsSimpleMeshRenderer.h	line 104
ORPHAN_MARKER	0x00809320	apsStore3	src\aeps\apsSuppliedActions.cpp	line 98
ORPHAN_MARKER	0x0080EBDC	apsLineAttractorAction::Act	src\aeps\apsSuppliedActions.cpp	line 1870
ORPHAN_MARKER	0x00BFA640		src\aeps\apsSuppliedActions.cpp	line 2898
ORPHAN_MARKER	0x00BFBC60	GetId	src\aeps\apsSuppliedActions.h	line 93
ORPHAN_MARKER	0x00BFBEB0	GetId	src\aeps\apsSuppliedActions.h	line 102
ORPHAN_MARKER	0x00BFC160	GetId	src\aeps\apsSuppliedActions.h	line 111
ORPHAN_MARKER	0x00BFC4F0	GetId	src\aeps\apsSuppliedActions.h	line 147
ORPHAN_MARKER	0x00BFC5B0	GetId	src\aeps\apsSuppliedActions.h	line 156
ORPHAN_MARKER	0x00BFC650	GetId	src\aeps\apsSuppliedActions.h	line 165
ORPHAN_MARKER	0x00BFC710	GetId	src\aeps\apsSuppliedActions.h	line 174
ORPHAN_MARKER	0x00BFC7C0	GetId	src\aeps\apsSuppliedActions.h	line 183
ORPHAN_MARKER	0x00BFC880	GetId	src\aeps\apsSuppliedActions.h	line 222
ORPHAN_MARKER	0x00BFCAB0	GetId	src\aeps\apsSuppliedActions.h	line 231
ORPHAN_MARKER	0x00BFCD20	GetId	src\aeps\apsSuppliedActions.h	line 240
