index	status	map_line
1	SKIPPED	0002:00139bb0 ??2@YAPAXIW4TPakId@@@Z 009290B0 f i anim.o  SKIPPED: STL/compiler helper; supplied by the toolchain/library
2	SKIPPED	0002:00139bd0 ??3@YAXPAXW4TPakId@@@Z 009290D0 f i anim.o  SKIPPED: STL/compiler helper; supplied by the toolchain/library
3	VERIFIED	0002:00139c50 ?HasLOD@XModel@@QBE_NH@Z 00929150 f i anim.o
4	VERIFIED	0002:00139c80 ??0XSceneAnimParams@@QAE@MM@Z 00929180 f i anim.o
5	VERIFIED	0002:00139cb0 ??2SceneAnimInfo@@SAPAXI_NPBDH@Z 009291B0 f i anim.o
6	VERIFIED	0002:00139cd0 ??3SceneAnimInfo@@SAXPAX_NPBDH@Z 009291D0 f i anim.o
7	VERIFIED	0002:00139cf0 ??3SceneAnimInfo@@SAXPAX@Z 009291F0 f i anim.o
8	VERIFIED	0002:00139d10 ?get_dlist_node@SceneAnimInfo@@QAEPAXXZ 00929210 f i anim.o
9	VERIFIED	0002:00139d20 ?get_dlist_node_offset@SceneAnimInfo@@SAHXZ 00929220 f i anim.o
10	VERIFIED	0002:00139d30 ??BtlFixedString@@QBEPBDXZ 00929230 f i anim.o
11	VERIFIED	0002:00139d40 ??4Position3@math@@QAEABV01@ABVVector4@1@@Z 00929240 f i anim.o
12	VERIFIED	0002:00139d60 ??0Position3@math@@QAE@ABVVector4@1@@Z 00929260 f i anim.o
13	VERIFIED	0002:00139d80 ?UnitDirW@math@@YA?AVVector4@1@XZ 00929280 f i anim.o
14	VERIFIED	0002:00139dc0 ??0DiagMat33@math@@QAE@XZ 009292C0 f i anim.o
15	VERIFIED	0002:00139dd0 ?GetX@DiagMat33@math@@QBE?AVDir3@2@XZ 009292D0 f i anim.o
16	VERIFIED	0002:00139e10 ?GetY@DiagMat33@math@@QBE?AVDir3@2@XZ 00929310 f i anim.o
17	VERIFIED	0002:00139e60 ?GetZ@DiagMat33@math@@QBE?AVDir3@2@XZ 00929360 f i anim.o
18	VERIFIED	0002:00139eb0 ??0nalAnimCallback@AnimationPlayer@@QAE@XZ 009293B0 f i anim.o
19	VERIFIED	0002:00139ed0 ?Reference@nalAnimCallback@AnimationPlayer@@UAEXPAVnalGenericAnim@nalGeneric@@@Z 009293D0 f i anim.o
20	VERIFIED	0002:00139ee0 ?Release@nalAnimCallback@AnimationPlayer@@UAEXXZ 009293E0 f i anim.o
21	VERIFIED	0002:00139ef0 ?IsAnimPlaying@nalAnimCallback@AnimationPlayer@@QAEHPAVnalGenericAnim@nalGeneric@@@Z 009293F0 f i anim.o
22	VERIFIED	0002:00139f20 ??0nalAnimState@AnimationPlayer@@QAE@XZ 00929420 f i anim.o
23	VERIFIED	0002:00139f30 ??2nalAnimState@AnimationPlayer@@SAPAXI@Z 00929430 f i anim.o
24	VERIFIED	0002:00139f50 ??3nalAnimState@AnimationPlayer@@SAXPAX@Z 00929450 f i anim.o
25	VERIFIED	0002:00139f60 ??0DiagMat33@math@@QAE@ABV01@@Z 00929460 f i anim.o
26	VERIFIED	0002:00139f80 ??0nalPartialAnimState@AnimationPlayer@@QAE@XZ 00929480 f i anim.o
27	VERIFIED	0002:00139f90 ?Hold@nalPartialAnimState@AnimationPlayer@@QAEXXZ 00929490 f i anim.o
28	VERIFIED	0002:00139fc0 ??0Mat43@math@@QAE@ABVDiagMat33@1@@Z 009294C0 f i anim.o
29	VERIFIED	0002:0013a040 ?StopModifiers@AnimationPlayer@@QAEXI@Z 00929540 f i anim.o
30	VERIFIED	0002:0013a0a0 ?FadeOutModifiers@AnimationPlayer@@QAEXMI@Z 009295A0 f i anim.o
31	VERIFIED	0002:0013a120 ??4Mat43@math@@QAEABV01@ABVDiagMat33@1@@Z 00929620 f i anim.o
32	VERIFIED	0002:0013a1e0 ?_FindModifier@AnimationPlayer@@QAEPAVnalPartialAnimState@1@IM@Z 009296E0 f i anim.o
33	VERIFIED	0002:0013a230 ?_StopOrHoldModifiers@AnimationPlayer@@QAEXIM@Z 00929730 f i anim.o
34	VERIFIED	0002:0013a2a0 ?GetQueueSize@AnimationPlayer@@QAEHXZ 009297A0 f i anim.o
35	VERIFIED	0002:0013a2b0 ?Mul@math@@YA?AVDir3@1@ABV21@ABVMat33@1@@Z 009297B0 f i anim.o
36	VERIFIED	0002:0013a320 ??0color32@@QAE@I@Z 00929820 f i anim.o
37	VERIFIED	0002:0013a340 ??Dmath@@YA?AVDir3@0@ABV10@ABVMat33@0@@Z 00929840 f i anim.o
38	VERIFIED	0002:0013a3b0 ?GetInteractableH@InteractionController@@QBE?AV?$DbLinkedHandle@VEntityHandleDb@@VEntity@@@@XZ 009298B0 f i anim.o
39	VERIFIED	0002:0013a3d0 ?GetSelectedInteractWeaponIndex@InteractionController@@QBEHXZ 009298D0 f i anim.o
40	VERIFIED	0002:0013a3e0 ?GetLastStateWeaponIndex@InteractionController@@QBEHXZ 009298E0 f i anim.o
41	VERIFIED	0002:0013a3f0 ?SetSoundLoopHandle@InteractionController@@QAEXH@Z 009298F0 f i anim.o
42	VERIFIED	0002:0013a410 ?GetSoundLoopHandle@InteractionController@@QBEHXZ 00929910 f i anim.o
43	VERIFIED	0002:0013a420 ?SetHands@InteractionController@@QAEXAAY02M0@Z 00929920 f i anim.o
44	VERIFIED	0002:0013a490 ?SetHandsToLast@InteractionController@@QAEXXZ 00929990 f i anim.o
45	VERIFIED	0002:0013a4d0 ?GetLastHandsAngles@InteractionController@@QBEAAY02$$CBMXZ 009299D0 f i anim.o
46	VERIFIED	0002:0013a4e0 ?GetLastHandsOrigin@InteractionController@@QBEAAY02$$CBMXZ 009299E0 f i anim.o
47	VERIFIED	0002:0013a4f0 ?SetMetaAnimScore@InteractionController@@QAEXM@Z 009299F0 f i anim.o
48	VERIFIED	0002:0013a510 ?SetScriptOrigin@InteractionController@@QAEXAAVMat43@math@@QAM@Z 00929A10 f i anim.o
49	VERIFIED	0002:0013a5f0 ?GetScriptOriginMat@InteractionController@@QBEABVMat43@math@@XZ 00929AF0 f i anim.o
50	VERIFIED	0002:0013a660 ?GetScriptOriginAngles@InteractionController@@QBEAAY02$$CBMXZ 00929B60 f i anim.o
51	VERIFIED	0002:0013a6d0 ?GetScriptOriginPos@InteractionController@@QBEABVPosition3@math@@XZ 00929BD0 f i anim.o
