ida_ea	name	signature	source_cpp
0x0053AFB0	??0InstanceHolder@InteractionController@@QAE@XZ	public: __thiscall InteractionController::InstanceHolder::InstanceHolder(void)	
0x0053AFC0	?GetNumButtonTypeNames@@YAHXZ	int __cdecl GetNumButtonTypeNames(void)	
0x0053AFD0	?GetButtonTypeName@@YAPBDH@Z	char const * __cdecl GetButtonTypeName(int)	
0x0053B030	?GetButtonTextName@@YAPBDH@Z	char const * __cdecl GetButtonTextName(int)	
0x0053B0B0	?InteractStateParseSpecificField@@YAHPAEPBDH@Z	int __cdecl InteractStateParseSpecificField(unsigned char *,char const *,int)	
0x0053BCD0	?ParseInteractionConfigString@@YAXPBDPBVConfigString@@@Z	void __cdecl ParseInteractionConfigString(char const *,class ConfigString const *)	
0x0053BE10	?ParseInteractStateConfigString@@YAXPBDPBVConfigString@@@Z	void __cdecl ParseInteractStateConfigString(char const *,class ConfigString const *)	
0x0053BF50	?G_ParseInteractionInfo@@YAXW4TPakId@@@Z	void __cdecl G_ParseInteractionInfo(enum TPakId)	
0x0053BF90	?G_FreeInteractionInfo@@YAXXZ	void __cdecl G_FreeInteractionInfo(void)	
0x0053BFD0	?PostPhysicsUpdate@InteractionController@@QAEXM@Z	public: void __thiscall InteractionController::PostPhysicsUpdate(float)	
0x0053BFF0	?ClearQueue@InteractionController@@AAEXXZ	private: void __thiscall InteractionController::ClearQueue(void)	
0x0053C040	?GetCameraMode@InteractionController@@QBEHXZ	public: int __thiscall InteractionController::GetCameraMode(void)const 	
0x0053C060	?GetRotation@InteractionController@@QBEMXZ	public: float __thiscall InteractionController::GetRotation(void)const 	
0x0053C080	?Press@InteractionController@@QAEHH@Z	public: int __thiscall InteractionController::Press(int)	
0x0053C0A0	?Release@InteractionController@@QAEHH@Z	public: int __thiscall InteractionController::Release(int)	
0x0053C0C0	?RemoveInteractionWeapon@InteractionController@@QAEXXZ	public: void __thiscall InteractionController::RemoveInteractionWeapon(void)	
0x0053C190	?ChangeWeaponToPending@InteractionController@@QAEXXZ	public: void __thiscall InteractionController::ChangeWeaponToPending(void)	
0x0053C1D0	?GetInteractWeaponIndex@InteractionController@@QBEHXZ	public: int __thiscall InteractionController::GetInteractWeaponIndex(void)const 	
0x0053C200	?CanRunWeaponAnims@InteractionController@@QBEHXZ	public: int __thiscall InteractionController::CanRunWeaponAnims(void)const 	
0x0053C220	?GetNextPlayerCallback@InteractionController@@QAEPAVnalAnimCallback@AnimationPlayer@@XZ	public: class AnimationPlayer::nalAnimCallback * __thiscall InteractionController::GetNextPlayerCallback(void)	
0x0053C250	?GetNextOtherCallback@InteractionController@@QAEPAVnalAnimCallback@AnimationPlayer@@XZ	public: class AnimationPlayer::nalAnimCallback * __thiscall InteractionController::GetNextOtherCallback(void)	
0x0053C280	?GetNextPlayerPlayMethod@InteractionController@@QAEPAVnalPlayMethod@AnimationPlayer@@XZ	public: class AnimationPlayer::nalPlayMethod * __thiscall InteractionController::GetNextPlayerPlayMethod(void)	
0x0053C2B0	?GetNextOtherPlayMethod@InteractionController@@QAEPAVnalPlayMethod@AnimationPlayer@@XZ	public: class AnimationPlayer::nalPlayMethod * __thiscall InteractionController::GetNextOtherPlayMethod(void)	
0x0053C2E0	?SetRenderText@InteractionController@@QAEXPBDHM@Z	public: void __thiscall InteractionController::SetRenderText(char const *,int,float)	
0x0053C380	?SetRenderText@InteractionController@@QAEXPBDHHMMH@Z	public: void __thiscall InteractionController::SetRenderText(char const *,int,int,float,float,int)	
0x0053C450	?SetRenderTextScale@InteractionController@@QAEXMH@Z	public: void __thiscall InteractionController::SetRenderTextScale(float,int)	
0x0053C4C0	?SetRenderTextAlpha@InteractionController@@QAEXMH@Z	public: void __thiscall InteractionController::SetRenderTextAlpha(float,int)	
0x0053C530	?InitInputRcvrArray@InteractInputRcvr@@SAXXZ	public: static void __cdecl InteractInputRcvr::InitInputRcvrArray(void)	
0x0053C560	?CreateInputRcvr@InteractInputRcvr@@KAPAV1@W4EInputType@1@W4TPakId@@@Z	protected: static class InteractInputRcvr * __cdecl InteractInputRcvr::CreateInputRcvr(enum InteractInputRcvr::EInputType,enum TPakId)	
0x0053C780	?Activate@InteractInputRcvr@@UAEXABUInteractStateInfo@@@Z	public: virtual void __thiscall InteractInputRcvr::Activate(struct InteractStateInfo const &)	
0x0053C7E0	?Update@InteractInputRcvr@@UAEMM@Z	public: virtual float __thiscall InteractInputRcvr::Update(float)	
0x0053C820	?Press@InteractInputRcvr@@UAEHH@Z	public: virtual int __thiscall InteractInputRcvr::Press(int)	
0x0053C840	?Release@InteractInputRcvr@@UAEHH@Z	public: virtual int __thiscall InteractInputRcvr::Release(int)	
0x0053C860	?Activate@InteractInputRcvrButtonMash@@UAEXABUInteractStateInfo@@@Z	public: virtual void __thiscall InteractInputRcvrButtonMash::Activate(struct InteractStateInfo const &)	
0x0053C940	?Press@InteractInputRcvrButtonMash@@UAEHH@Z	public: virtual int __thiscall InteractInputRcvrButtonMash::Press(int)	
0x0053C9A0	?Activate@InteractInputRcvrButtonPress@@UAEXABUInteractStateInfo@@@Z	public: virtual void __thiscall InteractInputRcvrButtonPress::Activate(struct InteractStateInfo const &)	
0x0053CAB0	?Press@InteractInputRcvrButtonPress@@UAEHH@Z	public: virtual int __thiscall InteractInputRcvrButtonPress::Press(int)	
0x0053CAE0	?Activate@InteractInputRcvrStickSwirl@@UAEXABUInteractStateInfo@@@Z	public: virtual void __thiscall InteractInputRcvrStickSwirl::Activate(struct InteractStateInfo const &)	
0x0053CB50	?MeasureInput@InteractInputRcvrStickSwirl@@MAEXAAM0M@Z	protected: virtual void __thiscall InteractInputRcvrStickSwirl::MeasureInput(float &,float &,float)	
0x0053CCB0	?Activate@InteractInputRcvrStickToggleVert@@UAEXABUInteractStateInfo@@@Z	public: virtual void __thiscall InteractInputRcvrStickToggleVert::Activate(struct InteractStateInfo const &)	
0x0053CD10	?Activate@InteractInputRcvrRowboat@@UAEXABUInteractStateInfo@@@Z	public: virtual void __thiscall InteractInputRcvrRowboat::Activate(struct InteractStateInfo const &)	
0x0053CD70	?Deactivate@InteractInputRcvrRowboat@@UAEXXZ	public: virtual void __thiscall InteractInputRcvrRowboat::Deactivate(void)	
0x0053CD80	?MeasureInput@InteractInputRcvrRowboat@@MAEXAAM0M@Z	protected: virtual void __thiscall InteractInputRcvrRowboat::MeasureInput(float &,float &,float)	
0x0053D180	?DelayCreate@InteractMetaAnimData@@UAEXPAPAV?$nalAnimClass@VnalAnyPose@@@@H@Z	public: virtual void __thiscall InteractMetaAnimData::DelayCreate(class nalAnimClass<class nalAnyPose> * *,int)	
0x0053D240	?StopRumble@InteractState@@SAXH@Z	public: static void __cdecl InteractState::StopRumble(int)	
0x0053D280	?SetPlayerTagUtilityIndex@InteractState@@IAEXH@Z	protected: void __thiscall InteractState::SetPlayerTagUtilityIndex(int)	
0x0053D330	?UpdateLerp@InteractState@@IAEMM@Z	protected: float __thiscall InteractState::UpdateLerp(float)	
0x0053D420	?CalcTargetPosAndAngles@InteractState@@IAEXAAULerpInfo@1@AAVDObj@@H@Z	protected: void __thiscall InteractState::CalcTargetPosAndAngles(struct InteractState::LerpInfo &,class DObj &,int)	
0x0053D820	?GetCameraMode@InteractState@@UBEHXZ	public: virtual int __thiscall InteractState::GetCameraMode(void)const 	
0x0053D860	?Press@InteractState@@UAEHH@Z	public: virtual int __thiscall InteractState::Press(int)	
0x0053D8B0	?Release@InteractState@@UAEHH@Z	public: virtual int __thiscall InteractState::Release(int)	
0x0053D900	?GetRandomPlayerAnimIndex@InteractState@@IBEHXZ	protected: int __thiscall InteractState::GetRandomPlayerAnimIndex(void)const 	
0x0053D9A0	?CanLink@InteractStateVehicleLink@@ABEHXZ	private: int __thiscall InteractStateVehicleLink::CanLink(void)const 	
0x0053DA00	?Press@InteractStateMortarLoad@@UAEHH@Z	public: virtual int __thiscall InteractStateMortarLoad::Press(int)	
0x0053DA60	?Release@InteractStateMortarLoad@@UAEHH@Z	public: virtual int __thiscall InteractStateMortarLoad::Release(int)	
0x0053DAC0	?GetCameraMode@InteractStateMortarLoad@@UBEHXZ	public: virtual int __thiscall InteractStateMortarLoad::GetCameraMode(void)const 	
0x0053DAD0	?Set@Lerper@InteractState@@QAEXMMMMM@Z	public: void __thiscall InteractState::Lerper::Set(float,float,float,float,float)	
