ida_ea	name	signature	source_cpp
0x007EDBD0	?TheRealInitializeLOL@apsEffect@@IAEXXZ	protected: void __thiscall apsEffect::TheRealInitializeLOL(void)	
0x007EDBF0	?StopEmitting@apsEffect@@QAEXXZ	public: void __thiscall apsEffect::StopEmitting(void)	
0x007EDC00	?GetModifierId@apsEffect@@QAEHPBD@Z	public: int __thiscall apsEffect::GetModifierId(char const *)	
0x007EDC50	?GetLightInfo@?A0xadc4f7bf@@YAXPBVapsEffect@@AAULightInfo@apsLight@@@Z	void __cdecl `anonymous namespace'::GetLightInfo(class apsEffect const *,struct apsLight::LightInfo &)	
0x007EDC90	?GetRaycastResult@apsEffect@@QBEABURaycastResult@1@I@Z	public: struct apsEffect::RaycastResult const & __thiscall apsEffect::GetRaycastResult(unsigned int)const 	
0x007EDD00	?AccumulateCollisionBounds@apsEffect@@QAEXABUapsBounds@@@Z	public: void __thiscall apsEffect::AccumulateCollisionBounds(struct apsBounds const &)	
0x007EDD50	?IncrementRaycastCountdown@apsEffect@@QAEXXZ	public: void __thiscall apsEffect::IncrementRaycastCountdown(void)	
0x007EDD70	?GetRaycastCountdownMaxValue@apsEffect@@SAIXZ	public: static unsigned int __cdecl apsEffect::GetRaycastCountdownMaxValue(void)	
0x007EDD80	?IsPoolEmpty@apsEffect@@SAIXZ	public: static unsigned int __cdecl apsEffect::IsPoolEmpty(void)	
0x007EDDC0	?TestAlloc@apsEffect@@SAIPAVapsEffectTemplate@@@Z	public: static unsigned int __cdecl apsEffect::TestAlloc(class apsEffectTemplate *)	
0x007EDE40	?GetNumActiveEffects@apsEffect@@SAHXZ	public: static int __cdecl apsEffect::GetNumActiveEffects(void)	
0x007EDE80	?ReportTemplate@apsEffect@@QAEXXZ	public: void __thiscall apsEffect::ReportTemplate(void)	
0x007EDF00	?SetLocalToWorldTransform@apsEffect@@QAEXABVMat43@math@@@Z	public: void __thiscall apsEffect::SetLocalToWorldTransform(class math::Mat43 const &)	
0x007EDF70	?CountParticles@apsEffect@@QAEHXZ	public: int __thiscall apsEffect::CountParticles(void)	
0x007EDFA0	?SetModifierValue@apsEffect@@QAEXHM@Z	public: void __thiscall apsEffect::SetModifierValue(int,float)	
0x007EE020	?GetModifierValue@apsEffect@@QAEMH@Z	public: float __thiscall apsEffect::GetModifierValue(int)	
0x007EE090	?GetModifierTemplateValue@apsEffect@@QAEMH@Z	public: float __thiscall apsEffect::GetModifierTemplateValue(int)	
0x007EE1C0	?swap_modifiers@apsEffect@@AAEXXZ	private: void __thiscall apsEffect::swap_modifiers(void)	
0x007EE250	?Render@apsEffect@@QAEXPAUnglLightContext@@ABUFrustumInfo@VFC@@@Z	public: void __thiscall apsEffect::Render(struct nglLightContext *,struct VFC::FrustumInfo const &)	
0x007EE300	?GetBounds@apsEffect@@QAEXAAUapsBounds@@@Z	public: void __thiscall apsEffect::GetBounds(struct apsBounds &)	
0x007EE390	?SetPosition@apsEffect@@QAEXABVDir3@math@@@Z	public: void __thiscall apsEffect::SetPosition(class math::Dir3 const &)	
0x007EE3D0	?SetCulled@apsEffect@@QAEXI@Z	public: void __thiscall apsEffect::SetCulled(unsigned int)	
0x007EE430	?Report@apsEffect@@QAEXH@Z	public: void __thiscall apsEffect::Report(int)	
0x007EE6E0	??0apsEffect@@QAE@PBVapsEffectTemplate@@M@Z	public: __thiscall apsEffect::apsEffect(class apsEffectTemplate const *,float)	
0x007EE950	??1apsEffect@@QAE@XZ	public: __thiscall apsEffect::~apsEffect(void)	
0x007EEB00	?Construct@apsEffect@@IAEIPBVapsEffectTemplate@@M@Z	protected: unsigned int __thiscall apsEffect::Construct(class apsEffectTemplate const *,float)	
0x007EEE60	?Update@apsEffect@@QAEXM@Z	public: void __thiscall apsEffect::Update(float)	
0x007EF460	?IsDone@apsEffect@@QAEIXZ	public: unsigned int __thiscall apsEffect::IsDone(void)	
0x007EF520	?FastForward@apsEffect@@QAEXMH@Z	public: void __thiscall apsEffect::FastForward(float,int)	
0x007EF580	?CalcSortKey@apsEffect@@QAEXXZ	public: void __thiscall apsEffect::CalcSortKey(void)	
0x007EF650	?RequestRaycast@apsEffect@@QAEIABVDir3@math@@0@Z	public: unsigned int __thiscall apsEffect::RequestRaycast(class math::Dir3 const &,class math::Dir3 const &)	
0x007EF7A0	?ReportEffects@apsEffect@@SAXXZ	public: static void __cdecl apsEffect::ReportEffects(void)	
0x007EF860	?Destruct@apsEffect@@IAEII@Z	protected: unsigned int __thiscall apsEffect::Destruct(unsigned int)	
0x007EF880	?InitPool@apsEffect@@SAXH@Z	public: static void __cdecl apsEffect::InitPool(int)	
0x007EF8B0	?New@apsEffect@@SAPAV1@PBVapsEffectTemplate@@M@Z	public: static class apsEffect * __cdecl apsEffect::New(class apsEffectTemplate const *,float)	
0x007EF9A0	?Delete@apsEffect@@SAXPAV1@I@Z	public: static void __cdecl apsEffect::Delete(class apsEffect *,unsigned int)	
0x007EFA00	?TermPool@apsEffect@@SAXXZ	public: static void __cdecl apsEffect::TermPool(void)	
