index	status	map_line
1	PORTED	0002:004062a0 ??0?$apsSingleton@VapsGroupManager@@@@QAE@XZ 00BF57A0 f i apsGroupMgr.o
2	PORTED	0002:004062e0 ??1?$apsSingleton@VapsGroupManager@@@@QAE@XZ 00BF57E0 f i apsGroupMgr.o
3	VERIFIED	0002:00406320 ??0?$apsArray@PAVapsGroup@@@@QAE@XZ 00BF5820 f i apsGroupMgr.o
4	PORTED	0002:00406330 ?size@?$apsArray@PAVapsGroup@@@@QBEHXZ 00BF5830 f i apsGroupMgr.o
5	PORTED	0002:00406340 ??A?$apsArray@PAVapsGroup@@@@QAEAAPAVapsGroup@@H@Z 00BF5840 f i apsGroupMgr.o
6	PORTED	0002:00406390 ?begin@?$apsArray@PAVapsGroup@@@@QAEPAPAVapsGroup@@XZ 00BF5890 f i apsGroupMgr.o
7	PORTED	0002:004063a0 ?end@?$apsArray@PAVapsGroup@@@@QAEPAPAVapsGroup@@XZ 00BF58A0 f i apsGroupMgr.o
8	PORTED	0002:004063b0 ?pop_back@?$apsArray@PAVapsGroup@@@@QAEXXZ 00BF58B0 f i apsGroupMgr.o
9	VERIFIED	0002:004063d0 ?InstancePtr@?$apsSingleton@V?$PoolAllocator@VapsGroup@@@apsMemory@@@@SAPAV?$PoolAllocator@VapsGroup@@@apsMemory@@XZ 00BF58D0 f i apsGroupMgr.o
10	PORTED	0002:004063e0 ?Instance@?$apsSingleton@V?$PoolAllocator@VapsGroup@@@apsMemory@@@@SAAAV?$PoolAllocator@VapsGroup@@@apsMemory@@XZ 00BF58E0 f i apsGroupMgr.o
11	VERIFIED	0002:00406410 ?Alloc@?$PoolAllocator@VapsGroup@@@apsMemory@@QAEPAVapsGroup@@XZ 00BF5910 f i apsGroupMgr.o
12	VERIFIED	0002:00406420 ?Free@?$PoolAllocator@VapsGroup@@@apsMemory@@QAEXPBVapsGroup@@@Z 00BF5920 f i apsGroupMgr.o
13	PORTED	0002:00406430 ?GetPool@?$PoolAllocator@VapsGroup@@@apsMemory@@QAEAAVPool@2@XZ 00BF5930 f i apsGroupMgr.o
14	PORTED	0002:00406440 ?construct_array@?$apsArray@PAVapsGroup@@@@AAEPAPAVapsGroup@@HH@Z 00BF5940 f i apsGroupMgr.o
15	PORTED	0002:00406480 ?destroy_all@?$apsArray@PAVapsGroup@@@@QAEXXZ 00BF5980 f i apsGroupMgr.o
16	PORTED	0002:004064d0 ??0?$apsSingleton@V?$PoolAllocator@VapsGroup@@@apsMemory@@@@QAE@XZ 00BF59D0 f i apsGroupMgr.o
17	PORTED	0002:00406510 ??1?$apsSingleton@V?$PoolAllocator@VapsGroup@@@apsMemory@@@@QAE@XZ 00BF5A10 f i apsGroupMgr.o
18	VERIFIED	0002:00406550 ??$AEPS_VECTOR_NEW@VapsGroup@@@@YAPAVapsGroup@@HH@Z 00BF5A50 f i apsGroupMgr.o
19	SKIPPED	0002:004065a0 ??_GapsGroup@@QAEPAXI@Z 00BF5AA0 f i apsGroupMgr.o  SKIPPED: compiler-generated deleting destructor; supplied by the compiler
20	VERIFIED	0002:004065d0 ?TestAlloc@apsGroupManager@@QAEIH@Z 00BF5AD0 f apsGroupMgr.o
21	VERIFIED	0002:00406620 ?Report@apsGroupManager@@QAEXXZ 00BF5B20 f apsGroupMgr.o
22	VERIFIED	0002:00406770 ??0apsGroupManager@@QAE@H@Z 00BF5C70 f apsGroupMgr.o
23	VERIFIED	0002:004067f0 ?CreateGroup@apsGroupManager@@QAEPAVapsGroup@@HPAVapsRenderer@@ABVapsPFD@@I@Z 00BF5CF0 f apsGroupMgr.o
24	VERIFIED	0002:004068c0 ?DestroyGroup@apsGroupManager@@QAEXPAVapsGroup@@I@Z 00BF5DC0 f apsGroupMgr.o
25	VERIFIED	0002:00406a30 ?DestroyAllGroups@apsGroupManager@@QAEXXZ 00BF5F30 f apsGroupMgr.o
26	VERIFIED	0002:00406a60 ??1apsGroupManager@@QAE@XZ 00BF5F60 f apsGroupMgr.o
27	VERIFIED	0002:00406b20 ??1?$apsArray@PAVapsGroup@@@@QAE@XZ 00BF6020 f i apsGroupMgr.o
28	PORTED	0002:00406b70 ?reserve@?$apsArray@PAVapsGroup@@@@QAEIH@Z 00BF6070 f i apsGroupMgr.o
29	PORTED	0002:00406c40 ?back@?$apsArray@PAVapsGroup@@@@QAEAAPAVapsGroup@@XZ 00BF6140 f i apsGroupMgr.o
30	PORTED	0002:00406c50 ?push_back@?$apsArray@PAVapsGroup@@@@QAEIABQAVapsGroup@@@Z 00BF6150 f i apsGroupMgr.o
31	VERIFIED	0002:00406d50 ??0?$PoolAllocator@VapsGroup@@@apsMemory@@QAE@H@Z 00BF6250 f i apsGroupMgr.o
32	PORTED	0002:00406dc0 ??$AEPS_VECTOR_DELETE@VapsGroup@@@@YAXHPAVapsGroup@@@Z 00BF62C0 f i apsGroupMgr.o
33	VERIFIED	0002:00406e00 ??1?$PoolAllocator@VapsGroup@@@apsMemory@@QAE@XZ 00BF6300 f i apsGroupMgr.o
34	SKIPPED	0002:00406e90 ??_G?$PoolAllocator@VapsGroup@@@apsMemory@@QAEPAXI@Z 00BF6390 f i apsGroupMgr.o  SKIPPED: compiler-generated deleting destructor; supplied by the compiler
35	VERIFIED	0002:00406ec0 ??$apsDestroy@V?$PoolAllocator@VapsGroup@@@apsMemory@@@@YAXPAV?$PoolAllocator@VapsGroup@@@apsMemory@@@Z 00BF63C0 f i apsGroupMgr.o
