ida_ea	va	name	signature	family
0x007EBC30	0x00BDB130	?SetBufferSize@apsMemory@@YAXH@Z	void __cdecl apsMemory::SetBufferSize(int)	apsMemory.o
0x007EBC40	0x00BDB140	?SetMaxGroups@apsMemory@@YAXH@Z	void __cdecl apsMemory::SetMaxGroups(int)	apsMemory.o
0x007EBC50	0x00BDB150	?SetMaxEffects@apsMemory@@YAXH@Z	void __cdecl apsMemory::SetMaxEffects(int)	apsMemory.o
0x007EBC60	0x00BDB160	?SetMaxModifiers@apsMemory@@YAXH@Z	void __cdecl apsMemory::SetMaxModifiers(int)	apsMemory.o
0x007EBC70	0x00BDB170	?CalcClassOverhead@Pool@apsMemory@@SAHHH@Z	public: static int __cdecl apsMemory::Pool::CalcClassOverhead(int,int)	apsMemory.o
0x007EBC90	0x00BDB190	?CalcDataOverhead@Pool@apsMemory@@SAHHH@Z	public: static int __cdecl apsMemory::Pool::CalcDataOverhead(int,int)	apsMemory.o
0x007EBCB0	0x00BDB1B0	??0Pool@apsMemory@@QAE@PAUPoolBlock@01@@Z	public: __thiscall apsMemory::Pool::Pool(struct apsMemory::Pool::PoolBlock *)	apsMemory.o
0x007EBCE0	0x00BDB1E0	?Resize@Pool@apsMemory@@QAEPAXPAXH@Z	public: void * __thiscall apsMemory::Pool::Resize(void *,int)	apsMemory.o
0x007EBDE0	0x00BDB2E0	?Free@Pool@apsMemory@@QAEXPAX@Z	public: void __thiscall apsMemory::Pool::Free(void *)	apsMemory.o
0x007EBEA0	0x00BDB3A0	?Contains@Pool@apsMemory@@QAEIPAX@Z	public: unsigned int __thiscall apsMemory::Pool::Contains(void *)	apsMemory.o
0x007EBEE0	0x00BDB3E0	?Verify@Pool@apsMemory@@QAEXXZ	public: void __thiscall apsMemory::Pool::Verify(void)	apsMemory.o
0x007EBF60	0x00BDB460	?GetActiveBlock@Pool@apsMemory@@QAEPAXH@Z	public: void * __thiscall apsMemory::Pool::GetActiveBlock(int)	apsMemory.o
0x007EBFC0	0x00BDB4C0	?GetStats@Pool@apsMemory@@QAEXAAUStats@12@@Z	public: void __thiscall apsMemory::Pool::GetStats(struct apsMemory::Pool::Stats &)	apsMemory.o
0x007EC0E0	0x00BDB5E0	?Report@Pool@apsMemory@@QAEXXZ	public: void __thiscall apsMemory::Pool::Report(void)	apsMemory.o
0x007EC180	0x00BDB680	?AllocBlock@BlockManager@apsMemory@@QAEPAXHH@Z	public: void * __thiscall apsMemory::BlockManager::AllocBlock(int,int)	apsMemory.o
0x007EC190	0x00BDB690	?FreeBlock@BlockManager@apsMemory@@QAEXPAX@Z	public: void __thiscall apsMemory::BlockManager::FreeBlock(void *)	apsMemory.o
0x007EC1B0	0x00BDB6B0	?AddParticlePool@apsMemory@@YAIHH@Z	unsigned int __cdecl apsMemory::AddParticlePool(int,int)	apsMemory.o
0x007EC1C0	0x00BDB6C0	?AddPools@apsMemory@@YAXXZ	void __cdecl apsMemory::AddPools(void)	apsMemory.o
0x007EC1D0	0x00BDB6D0	?ClearBlockAllocator@apsMemory@@YAXXZ	void __cdecl apsMemory::ClearBlockAllocator(void)	apsMemory.o
0x007EC1E0	0x00BDB6E0	?Init@Pool@apsMemory@@QAEXHHPAE@Z	public: void __thiscall apsMemory::Pool::Init(int,int,unsigned char *)	apsMemory.o
0x007EC2A0	0x00BDB7A0	?Term@Pool@apsMemory@@QAEXXZ	public: void __thiscall apsMemory::Pool::Term(void)	apsMemory.o
0x007EC300	0x00BDB800	?Alloc@Pool@apsMemory@@QAEPAXH@Z	public: void * __thiscall apsMemory::Pool::Alloc(int)	apsMemory.o
0x007EC420	0x00BDB920	?TestAlloc@BlockManager@apsMemory@@QAEIH@Z	public: unsigned int __thiscall apsMemory::BlockManager::TestAlloc(int)	apsMemory.o
0x007EC490	0x00BDB990	?Alloc@BlockManager@apsMemory@@QAEPAXHH@Z	public: void * __thiscall apsMemory::BlockManager::Alloc(int,int)	apsMemory.o
0x007EC540	0x00BDBA40	?Free@BlockManager@apsMemory@@QAEIPAX@Z	public: unsigned int __thiscall apsMemory::BlockManager::Free(void *)	apsMemory.o
0x007EC5B0	0x00BDBAB0	?Resize@BlockManager@apsMemory@@QAEPAXPAXH@Z	public: void * __thiscall apsMemory::BlockManager::Resize(void *,int)	apsMemory.o
0x007EC610	0x00BDBB10	?Report@BlockManager@apsMemory@@QAEXXZ	public: void __thiscall apsMemory::BlockManager::Report(void)	apsMemory.o
0x007EC660	0x00BDBB60	?Report@apsMemory@@YAXXZ	void __cdecl apsMemory::Report(void)	apsMemory.o
0x007EC6A0	0x00BDBBA0	?GetPoolInfo@apsMemory@@YAIHAAH000@Z	unsigned int __cdecl apsMemory::GetPoolInfo(int,int &,int &,int &,int &)	apsMemory.o
0x007EC730	0x00BDBC30	?GetMaxRequestedBlockSize@apsMemory@@YAHXZ	int __cdecl apsMemory::GetMaxRequestedBlockSize(void)	apsMemory.o
0x007EC770	0x00BDBC70	?TestAlloc@apsMemory@@YAIH@Z	unsigned int __cdecl apsMemory::TestAlloc(int)	apsMemory.o
0x007EC7B0	0x00BDBCB0	?Alloc@apsMemory@@YAPAXHH@Z	void * __cdecl apsMemory::Alloc(int,int)	apsMemory.o
0x007EC7F0	0x00BDBCF0	?Free@apsMemory@@YAXPAX@Z	void __cdecl apsMemory::Free(void *)	apsMemory.o
0x007EC840	0x00BDBD40	?TestAllocFromPools@apsMemory@@YAIH@Z	unsigned int __cdecl apsMemory::TestAllocFromPools(int)	apsMemory.o
0x007EC880	0x00BDBD80	?AllocFromPools@apsMemory@@YAPAXHH@Z	void * __cdecl apsMemory::AllocFromPools(int,int)	apsMemory.o
0x007EC8C0	0x00BDBDC0	?FreeFromPools@apsMemory@@YAIPAX@Z	unsigned int __cdecl apsMemory::FreeFromPools(void *)	apsMemory.o
0x007EC900	0x00BDBE00	?SetBlockAllocator@apsMemory@@YAXXZ	void __cdecl apsMemory::SetBlockAllocator(void)	apsMemory.o
0x007EC910	0x00BDBE10	?GetBlockAllocatorDirect@apsMemory@@YAPAVapsAllocator@@XZ	class apsAllocator * __cdecl apsMemory::GetBlockAllocatorDirect(void)	apsMemory.o
0x007EC920	0x00BDBE20	??1Pool@apsMemory@@QAE@XZ	public: __thiscall apsMemory::Pool::~Pool(void)	apsMemory.o
0x007EC930	0x00BDBE30	??0BlockManager@apsMemory@@QAE@HH@Z	public: __thiscall apsMemory::BlockManager::BlockManager(int,int)	apsMemory.o
0x007EC9A0	0x00BDBEA0	?AddPool@BlockManager@apsMemory@@QAEIHH@Z	public: unsigned int __thiscall apsMemory::BlockManager::AddPool(int,int)	apsMemory.o
0x007ECA70	0x00BDBF70	?DestroyPools@BlockManager@apsMemory@@QAEXXZ	public: void __thiscall apsMemory::BlockManager::DestroyPools(void)	apsMemory.o
0x007ECB10	0x00BDC010	?AddPool@apsMemory@@YAIHH@Z	unsigned int __cdecl apsMemory::AddPool(int,int)	apsMemory.o
0x007ECB50	0x00BDC050	?Init@apsMemory@@YAXXZ	void __cdecl apsMemory::Init(void)	apsMemory.o
0x007ECC30	0x00BDC130	??1BlockManager@apsMemory@@QAE@XZ	public: __thiscall apsMemory::BlockManager::~BlockManager(void)	apsMemory.o
0x007ECCB0	0x00BDC1B0	?Reset@BlockManager@apsMemory@@QAEXXZ	public: void __thiscall apsMemory::BlockManager::Reset(void)	apsMemory.o
0x007ECCC0	0x00BDC1C0	?Reset@apsMemory@@YAXXZ	void __cdecl apsMemory::Reset(void)	apsMemory.o
0x007ECD00	0x00BDC200	?Term@apsMemory@@YAXXZ	void __cdecl apsMemory::Term(void)	apsMemory.o
