ida_ea	name	signature	source_cpp
0x007EBC30	?SetBufferSize@apsMemory@@YAXH@Z	void __cdecl apsMemory::SetBufferSize(int)	
0x007EBC40	?SetMaxGroups@apsMemory@@YAXH@Z	void __cdecl apsMemory::SetMaxGroups(int)	
0x007EBC50	?SetMaxEffects@apsMemory@@YAXH@Z	void __cdecl apsMemory::SetMaxEffects(int)	
0x007EBC60	?SetMaxModifiers@apsMemory@@YAXH@Z	void __cdecl apsMemory::SetMaxModifiers(int)	
0x007EBC70	?CalcClassOverhead@Pool@apsMemory@@SAHHH@Z	public: static int __cdecl apsMemory::Pool::CalcClassOverhead(int,int)	
0x007EBC90	?CalcDataOverhead@Pool@apsMemory@@SAHHH@Z	public: static int __cdecl apsMemory::Pool::CalcDataOverhead(int,int)	
0x007EBCB0	??0Pool@apsMemory@@QAE@PAUPoolBlock@01@@Z	public: __thiscall apsMemory::Pool::Pool(struct apsMemory::Pool::PoolBlock *)	
0x007EBCE0	?Resize@Pool@apsMemory@@QAEPAXPAXH@Z	public: void * __thiscall apsMemory::Pool::Resize(void *,int)	
0x007EBDE0	?Free@Pool@apsMemory@@QAEXPAX@Z	public: void __thiscall apsMemory::Pool::Free(void *)	
0x007EBEA0	?Contains@Pool@apsMemory@@QAEIPAX@Z	public: unsigned int __thiscall apsMemory::Pool::Contains(void *)	
0x007EBEE0	?Verify@Pool@apsMemory@@QAEXXZ	public: void __thiscall apsMemory::Pool::Verify(void)	
0x007EBF60	?GetActiveBlock@Pool@apsMemory@@QAEPAXH@Z	public: void * __thiscall apsMemory::Pool::GetActiveBlock(int)	
0x007EBFC0	?GetStats@Pool@apsMemory@@QAEXAAUStats@12@@Z	public: void __thiscall apsMemory::Pool::GetStats(struct apsMemory::Pool::Stats &)	
0x007EC0E0	?Report@Pool@apsMemory@@QAEXXZ	public: void __thiscall apsMemory::Pool::Report(void)	
0x007EC180	?AllocBlock@BlockManager@apsMemory@@QAEPAXHH@Z	public: void * __thiscall apsMemory::BlockManager::AllocBlock(int,int)	
0x007EC190	?FreeBlock@BlockManager@apsMemory@@QAEXPAX@Z	public: void __thiscall apsMemory::BlockManager::FreeBlock(void *)	
0x007EC1B0	?AddParticlePool@apsMemory@@YAIHH@Z	unsigned int __cdecl apsMemory::AddParticlePool(int,int)	
0x007EC1C0	?AddPools@apsMemory@@YAXXZ	void __cdecl apsMemory::AddPools(void)	
0x007EC1D0	?ClearBlockAllocator@apsMemory@@YAXXZ	void __cdecl apsMemory::ClearBlockAllocator(void)	
0x007EC1E0	?Init@Pool@apsMemory@@QAEXHHPAE@Z	public: void __thiscall apsMemory::Pool::Init(int,int,unsigned char *)	
0x007EC2A0	?Term@Pool@apsMemory@@QAEXXZ	public: void __thiscall apsMemory::Pool::Term(void)	
0x007EC300	?Alloc@Pool@apsMemory@@QAEPAXH@Z	public: void * __thiscall apsMemory::Pool::Alloc(int)	
0x007EC420	?TestAlloc@BlockManager@apsMemory@@QAEIH@Z	public: unsigned int __thiscall apsMemory::BlockManager::TestAlloc(int)	
0x007EC490	?Alloc@BlockManager@apsMemory@@QAEPAXHH@Z	public: void * __thiscall apsMemory::BlockManager::Alloc(int,int)	
0x007EC540	?Free@BlockManager@apsMemory@@QAEIPAX@Z	public: unsigned int __thiscall apsMemory::BlockManager::Free(void *)	
