index	status	map_line
1	PORTED	0002:003f08d0 ?Set@Packed@Dir3@math@@QAEXMMM@Z 00BDFDD0 f i apsRegister.o
2	PORTED	0002:003f0900 ?Set@Packed@Vector4@math@@QAEXMMMM@Z 00BDFE00 f i apsRegister.o
3	VERIFIED	0002:003f0930 ??1apsVirtualBase@@UAE@XZ 00BDFE30 f i apsRegister.o
4	VERIFIED	0002:003f0940 ?GetVtable@apsVirtualBase@@QBEIXZ 00BDFE40 f i apsRegister.o
5	SKIPPED	0002:003f0950 ??_GapsVirtualBase@@UAEPAXI@Z 00BDFE50 f i apsRegister.o  SKIPPED: compiler-generated deleting destructor; supplied by the compiler
6	SKIPPED	0002:003f0950 ??_EapsVirtualBase@@UAEPAXI@Z 00BDFE50 f i apsRegister.o  SKIPPED: compiler-generated deleting destructor; supplied by the compiler
7	VERIFIED	0002:003f0980 ??0apsSphere@@QAE@XZ 00BDFE80 f i apsRegister.o
8	PORTED	0002:003f0990 ??0apsParam@@QAE@XZ 00BDFE90 f i apsRegister.o
9	VERIFIED	0002:003f09a0 ??BapsParam@@QBEPAUnglTexture@@XZ 00BDFEA0 f i apsRegister.o
10	VERIFIED	0002:003f09d0 ??BapsParam@@QBEPAUnglMesh@@XZ 00BDFED0 f i apsRegister.o
11	VERIFIED	0002:003f0a00 ??BapsParam@@QBEHXZ 00BDFF00 f i apsRegister.o
12	VERIFIED	0002:003f0a30 ??BapsParam@@QBEMXZ 00BDFF30 f i apsRegister.o
13	VERIFIED	0002:003f0a60 ??BapsParam@@QBE?AUPacked@Dir3@math@@XZ 00BDFF60 f i apsRegister.o
14	VERIFIED	0002:003f0ab0 ??BapsParam@@QBE?AVDir3@math@@XZ 00BDFFB0 f i apsRegister.o
15	VERIFIED	0002:003f0b30 ??BapsParam@@QBE?AUPacked@Vector4@math@@XZ 00BE0030 f i apsRegister.o
16	VERIFIED	0002:003f0bd0 ??9apsParam@@QBEIV0@@Z 00BE00D0 f i apsRegister.o
17	PORTED	0002:003f0c60 ?apsParam2apsVector3Packed@@YA?AUPacked@Dir3@math@@ABVapsParam@@@Z 00BE0160 f i apsRegister.o
18	PORTED	0002:003f0cb0 ?apsParam2apsVector3@@YA?AVDir3@math@@ABVapsParam@@@Z 00BE01B0 f i apsRegister.o
19	VERIFIED	0002:003f0cd0 ??1apsRenderer@@UAE@XZ 00BE01D0 f i apsRegister.o
20	VERIFIED	0002:003f0ce0 ??0apsVirtualBase@@QAE@XZ 00BE01E0 f i apsRegister.o
21	PORTED	0002:003f0cf0 ??0cArgs@apsBillboardRenderer@@QAE@XZ 00BE01F0 f i apsRegister.o
22	VERIFIED	0002:003f0d80 ?SetTexture@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE0280 f i apsRegister.o
23	VERIFIED	0002:003f0dd0 ?SetNormal@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE02D0 f i apsRegister.o
24	VERIFIED	0002:003f0e20 ?SetVelocityTracked@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE0320 f i apsRegister.o
25	VERIFIED	0002:003f0e70 ?SetAlphaFadeStart@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE0370 f i apsRegister.o
26	VERIFIED	0002:003f0ec0 ?SetAlphaFadeEnd@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE03C0 f i apsRegister.o
27	VERIFIED	0002:003f0f10 ?SetTintColor@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE0410 f i apsRegister.o
28	VERIFIED	0002:003f0f50 ?SetAmbientCoeff@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE0450 f i apsRegister.o
29	VERIFIED	0002:003f0f90 ?SetDiffuseCoeff@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE0490 f i apsRegister.o
30	VERIFIED	0002:003f0fd0 ?SetZFeatherDistance@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE04D0 f i apsRegister.o
31	VERIFIED	0002:003f1020 ?SetShaderWorksShader@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE0520 f i apsRegister.o
32	VERIFIED	0002:003f1030 ?SetIsShimmer@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE0530 f i apsRegister.o
33	VERIFIED	0002:003f1080 ?SetUseSortedRendering@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE0580 f i apsRegister.o
34	VERIFIED	0002:003f10d0 ?SetChanceToRemove@cArgs@apsBillboardRenderer@@QAEXVapsParam@@@Z 00BE05D0 f i apsRegister.o
35	VERIFIED	0002:003f1120 ??1apsBillboardRenderer@@UAE@XZ 00BE0620 f i apsRegister.o
36	PORTED	0002:003f1130 ??0cArgs@apsUVARenderer@@QAE@XZ 00BE0630 f i apsRegister.o
37	VERIFIED	0002:003f11c0 ?SetWidthFrames@cArgs@apsUVARenderer@@QAEXVapsParam@@@Z 00BE06C0 f i apsRegister.o
38	VERIFIED	0002:003f1210 ?SetHeightFrames@cArgs@apsUVARenderer@@QAEXVapsParam@@@Z 00BE0710 f i apsRegister.o
