index	status	map_line
1	PORTED	0002:00409100 ?ASin@math@@YAMM@Z 00BF8600 f i apsSuppliedActions.o
2	PORTED	0002:004091f0 ?ACos@math@@YAMM@Z 00BF86F0 f i apsSuppliedActions.o
3	VERIFIED	0002:004092f0 ?FloatAsInt@apsMath@@YAIM@Z 00BF87F0 f i apsSuppliedActions.o
4	PORTED	0002:00409310 ?apsStore3@@YAXABVDir3@math@@PAM@Z 00BF8810 f i apsSuppliedActions.o
5	PORTED	0002:00409380 ??$Limit@VDir3@math@@M@apsMath@@YA?AVDir3@math@@ABV12@ABM1@Z 00BF8880 f i apsSuppliedActions.o
6	VERIFIED	0002:00409400 ??0apsQuaternion@@QAE@ABVDir3@math@@@Z 00BF8900 f i apsSuppliedActions.o
7	VERIFIED	0002:00409480 ?Set@apsQuaternion@@QAEXMMMM@Z 00BF8980 f i apsSuppliedActions.o
8	VERIFIED	0002:004094b0 ??YapsQuaternion@@QAEAAU0@ABU0@@Z 00BF89B0 f i apsSuppliedActions.o
9	VERIFIED	0002:00409500 ?XForm3d_0@apsMath@@YA?AVDir3@math@@ABVMat43@3@ABV23@@Z 00BF8A00 f i apsSuppliedActions.o
10	PORTED	0002:00409560 ?ATan@apsMath@@YAMMM@Z 00BF8A60 f i apsSuppliedActions.o
11	VERIFIED	0002:004097a0 ?GetSplineCallback@apsCommon@@SAP6APAMI@ZXZ 00BF8CA0 f i apsSuppliedActions.o
12	PORTED	0002:004097b0 ?GetVector3@apsDomain@@QBEXAAVDir3@math@@@Z 00BF8CB0 f i apsSuppliedActions.o
13	VERIFIED	0002:004097d0 ?GetValue@apsDomain@@QBEMXZ 00BF8CD0 f i apsSuppliedActions.o
14	PORTED	0002:004097f0 ?apsGetFields@@YAIW4apsEPFDField@@@Z 00BF8CF0 f i apsSuppliedActions.o
15	PORTED	0002:00409800 ?apsGetFields@@YAIW4apsEPFDField@@00@Z 00BF8D00 f i apsSuppliedActions.o
16	PORTED	0002:00409830 ?apsGetFields@@YAIW4apsEPFDField@@000@Z 00BF8D30 f i apsSuppliedActions.o
