ida_ea	va	name	signature	family
0x00810770	0x00BFFC70	?Fixup@apsDomain@@QAEXABUapsFixupParams@@@Z	public: void __thiscall apsDomain::Fixup(struct apsFixupParams const &)	apsSuppliedDomains.o
0x008107C0	0x00BFFCC0	?GetValue@apsSphereDomain@@UBEXHPAM@Z	public: virtual void __thiscall apsSphereDomain::GetValue(int,float *)const 	apsSuppliedDomains.o
0x00810A10	0x00BFFF10	?TestValue@apsSphereDomain@@UBEIHPAM@Z	public: virtual unsigned int __thiscall apsSphereDomain::TestValue(int,float *)const 	apsSuppliedDomains.o
0x00810B20	0x00C00020	?GetValue@apsYHemisphereDomain@@UBEXHPAM@Z	public: virtual void __thiscall apsYHemisphereDomain::GetValue(int,float *)const 	apsSuppliedDomains.o
0x00810D80	0x00C00280	?TestValue@apsYHemisphereDomain@@UBEIHPAM@Z	public: virtual unsigned int __thiscall apsYHemisphereDomain::TestValue(int,float *)const 	apsSuppliedDomains.o
0x00810EB0	0x00C003B0	?GetValue@apsZHemisphereDomain@@UBEXHPAM@Z	public: virtual void __thiscall apsZHemisphereDomain::GetValue(int,float *)const 	apsSuppliedDomains.o
0x00811110	0x00C00610	?TestValue@apsZHemisphereDomain@@UBEIHPAM@Z	public: virtual unsigned int __thiscall apsZHemisphereDomain::TestValue(int,float *)const 	apsSuppliedDomains.o
0x00811240	0x00C00740	?GetValue@apsSphereSurfaceDomain@@UBEXHPAM@Z	public: virtual void __thiscall apsSphereSurfaceDomain::GetValue(int,float *)const 	apsSuppliedDomains.o
0x00811420	0x00C00920	?TestValue@apsSphereSurfaceDomain@@UBEIHPAM@Z	public: virtual unsigned int __thiscall apsSphereSurfaceDomain::TestValue(int,float *)const 	apsSuppliedDomains.o
0x00811530	0x00C00A30	?GetValue@apsLineDomain@@UBEXHPAM@Z	public: virtual void __thiscall apsLineDomain::GetValue(int,float *)const 	apsSuppliedDomains.o
0x00811610	0x00C00B10	?TestValue@apsLineDomain@@UBEIHPAM@Z	public: virtual unsigned int __thiscall apsLineDomain::TestValue(int,float *)const 	apsSuppliedDomains.o
0x00811620	0x00C00B20	?GetValue@apsDiscDomain@@UBEXHPAM@Z	public: virtual void __thiscall apsDiscDomain::GetValue(int,float *)const 	apsSuppliedDomains.o
0x008118B0	0x00C00DB0	?TestValue@apsDiscDomain@@UBEIHPAM@Z	public: virtual unsigned int __thiscall apsDiscDomain::TestValue(int,float *)const 	apsSuppliedDomains.o
0x008118C0	0x00C00DC0	?TestValue@apsCircleDomain@@UBEIHPAM@Z	public: virtual unsigned int __thiscall apsCircleDomain::TestValue(int,float *)const 	apsSuppliedDomains.o
0x008118D0	0x00C00DD0	??0apsSphereDomain@@QAE@ABVDir3@math@@M@Z	public: __thiscall apsSphereDomain::apsSphereDomain(class math::Dir3 const &,float)	apsSuppliedDomains.o
0x00811900	0x00C00E00	??0apsSphereDomain@@QAE@ABUapsSphere@@@Z	public: __thiscall apsSphereDomain::apsSphereDomain(struct apsSphere const &)	apsSuppliedDomains.o
0x00811930	0x00C00E30	??0apsYHemisphereDomain@@QAE@ABVDir3@math@@M@Z	public: __thiscall apsYHemisphereDomain::apsYHemisphereDomain(class math::Dir3 const &,float)	apsSuppliedDomains.o
0x00811960	0x00C00E60	??0apsYHemisphereDomain@@QAE@ABUapsSphere@@@Z	public: __thiscall apsYHemisphereDomain::apsYHemisphereDomain(struct apsSphere const &)	apsSuppliedDomains.o
0x00811990	0x00C00E90	??0apsZHemisphereDomain@@QAE@ABVDir3@math@@M@Z	public: __thiscall apsZHemisphereDomain::apsZHemisphereDomain(class math::Dir3 const &,float)	apsSuppliedDomains.o
0x008119C0	0x00C00EC0	??0apsZHemisphereDomain@@QAE@ABUapsSphere@@@Z	public: __thiscall apsZHemisphereDomain::apsZHemisphereDomain(struct apsSphere const &)	apsSuppliedDomains.o
0x008119F0	0x00C00EF0	??0apsSphereSurfaceDomain@@QAE@ABVDir3@math@@M@Z	public: __thiscall apsSphereSurfaceDomain::apsSphereSurfaceDomain(class math::Dir3 const &,float)	apsSuppliedDomains.o
0x00811A20	0x00C00F20	??0apsSphereSurfaceDomain@@QAE@ABUapsSphere@@@Z	public: __thiscall apsSphereSurfaceDomain::apsSphereSurfaceDomain(struct apsSphere const &)	apsSuppliedDomains.o
0x00811A50	0x00C00F50	??0apsLineDomain@@QAE@ABVDir3@math@@0@Z	public: __thiscall apsLineDomain::apsLineDomain(class math::Dir3 const &,class math::Dir3 const &)	apsSuppliedDomains.o
0x00811AB0	0x00C00FB0	??0apsDiscDomain@@QAE@ABVDir3@math@@0M@Z	public: __thiscall apsDiscDomain::apsDiscDomain(class math::Dir3 const &,class math::Dir3 const &,float)	apsSuppliedDomains.o
0x00811C80	0x00C01180	??0apsCircleDomain@@QAE@ABVDir3@math@@0M@Z	public: __thiscall apsCircleDomain::apsCircleDomain(class math::Dir3 const &,class math::Dir3 const &,float)	apsSuppliedDomains.o
0x00811E50	0x00C01350	?GetValue@apsCircleDomain@@UBEXHPAM@Z	public: virtual void __thiscall apsCircleDomain::GetValue(int,float *)const 	apsSuppliedDomains.o
