ida_ea	name	signature	source_cpp
0x007C0120	?SetSeaLevel@cdOceanGlobals@@YAXHM@Z	void __cdecl cdOceanGlobals::SetSeaLevel(int,float)	
0x007C01B0	?SetLayerAlpha@cdOceanGlobals@@YAXHMM@Z	void __cdecl cdOceanGlobals::SetLayerAlpha(int,float,float)	
0x007C0260	?SetLayerScroll@cdOceanGlobals@@YAXHHMM@Z	void __cdecl cdOceanGlobals::SetLayerScroll(int,int,float,float)	
0x007C03B0	?SetLayerScale@cdOceanGlobals@@YAXHHMM@Z	void __cdecl cdOceanGlobals::SetLayerScale(int,int,float,float)	
0x007C0500	?SetWaveOrigin@cdOceanGlobals@@YAXHHMM@Z	void __cdecl cdOceanGlobals::SetWaveOrigin(int,int,float,float)	
0x007C0620	?SetWaveHeading@cdOceanGlobals@@YAXHHM@Z	void __cdecl cdOceanGlobals::SetWaveHeading(int,int,float)	
0x007C0690	?SetWaveDistance@cdOceanGlobals@@YAXHHM@Z	void __cdecl cdOceanGlobals::SetWaveDistance(int,int,float)	
0x007C0700	?SetWaveWavelength@cdOceanGlobals@@YAXHHM@Z	void __cdecl cdOceanGlobals::SetWaveWavelength(int,int,float)	
0x007C0770	?SetWaveAmplitude@cdOceanGlobals@@YAXHHM@Z	void __cdecl cdOceanGlobals::SetWaveAmplitude(int,int,float)	
0x007C07E0	?SetWavePhase@cdOceanGlobals@@YAXHHM@Z	void __cdecl cdOceanGlobals::SetWavePhase(int,int,float)	
0x007C0850	?SetWaveTimescale@cdOceanGlobals@@YAXHHM@Z	void __cdecl cdOceanGlobals::SetWaveTimescale(int,int,float)	
0x007C08C0	?Init@cdOceanGlobals@@YAXXZ	void __cdecl cdOceanGlobals::Init(void)	
0x007C08E0	?DumpSettings@cdOceanGlobals@@YAXH@Z	void __cdecl cdOceanGlobals::DumpSettings(int)	
0x007C0B70	?GetHeight@cdOceanGlobals@@YAMHMM@Z	float __cdecl cdOceanGlobals::GetHeight(int,float,float)	
