index	status	map_line
1	PORTED	0002:003c4bc0 ??4nglParamSet@@QAEAAV0@ABV0@@Z 00BB40C0 f i cdSimpleInstance.o
2	VERIFIED	0002:003c4bd0 ??0cdSimpleInstanceShader@@QAE@XZ 00BB40D0 f i cdSimpleInstance.o
3	VERIFIED	0002:003c4c00 ?GetName@cdSimpleInstanceShader@@UAE?AVtlFixedString@@XZ 00BB4100 f i cdSimpleInstance.o
4	PORTED	0002:003c4c20 ?AddNode@cdSimpleInstanceShader@@UAEXPAVnglMeshNode@@PAUnglMeshSection@@PAUnglMaterial@@@Z 00BB4120 f i cdSimpleInstance.o
5	PORTED	0002:003c4c30 ?Register@cdSimpleInstanceShader@@UAEXXZ 00BB4130 f i cdSimpleInstance.o
6	VERIFIED	0002:003c4c40 ?InitCDSimpleInstanceShader@@YAXXZ 00BB4140 f cdSimpleInstance.o
7	VERIFIED	0002:003c4c90 ?ToggleCDSimpleInstanceShader@@YAXXZ 00BB4190 f cdSimpleInstance.o
8	VERIFIED	0002:003c4cb0 ?Create@cdSimpleInstance@@QAEXPAUnglMesh@@PAUnglMeshSection@@H@Z 00BB41B0 f cdSimpleInstance.o
9	VERIFIED	0002:003c4d00 ?Destroy@cdSimpleInstance@@QAEXXZ 00BB4200 f cdSimpleInstance.o
10	VERIFIED	0002:003c4d20 ?Add@cdSimpleInstance@@QAEXABVMat43@math@@MABVMat44@3@1AAV?$ae_sized_array@PAH$0BIA@@@H@Z 00BB4220 f cdSimpleInstance.o
11	VERIFIED	0002:003c4fd0 ?Finalize@cdSimpleInstance@@QAEXAAV?$ae_sized_array@PAH$0BIA@@@@Z 00BB44D0 f cdSimpleInstance.o
12	VERIFIED	0002:003c50f0 ?Render@cdSimpleInstance@@QAEXXZ 00BB45F0 f cdSimpleInstance.o
13	PORTED	0002:003c5280 ??4nglShaderParamSet@@QAEAAU0@ABU0@@Z 00BB4780 f i cdSimpleInstance.o
14	VERIFIED	0002:003c5290 ?push_back@?$ae_sized_array@PAH$0BIA@@@QAEXABQAH@Z 00BB4790 f i cdSimpleInstance.o
15	VERIFIED	0002:003c5310 ??_GcdSimpleInstanceShader@@UAEPAXI@Z 00BB4810 f i cdSimpleInstance.o
16	VERIFIED	0002:003c5310 ??_EcdSimpleInstanceShader@@UAEPAXI@Z 00BB4810 f i cdSimpleInstance.o
17	VERIFIED	0002:003c5340 ??1cdSimpleInstanceShader@@UAE@XZ 00BB4840 f i cdSimpleInstance.o
