index	status	map_line
1	VERIFIED	0002:003d58e0 ??0cdSimplePrelitShaderMat@@QAE@PAUnglTexture@@@Z 00BC4DE0 f cdSimplePrelitShader.o
2	VERIFIED	0002:003d5970 ?InitCDSimplePrelitShader@@YAXXZ 00BC4E70 f cdSimplePrelitShader.o
3	VERIFIED	0002:003d59c0 ?ToggleCDSimplePrelitShader@@YAXXZ 00BC4EC0 f cdSimplePrelitShader.o
4	VERIFIED	0002:003d59e0 ?Register@cdSimplePrelitShader@@UAEXXZ 00BC4EE0 f cdSimplePrelitShader.o
5	VERIFIED	0002:003d5a10 ?AddNode@cdSimplePrelitShader@@UAEXPAVnglMeshNode@@PAUnglMeshSection@@PAUnglMaterial@@@Z 00BC4F10 f cdSimplePrelitShader.o
6	VERIFIED	0002:003d5a80 ?Render@cdSimplePrelitShaderNode@@UAEXXZ 00BC4F80 f cdSimplePrelitShader.o
7	VERIFIED	0002:003d5d60 ??0cdSimplePrelitShader@@QAE@XZ 00BC5260 f i cdSimplePrelitShader.o
8	VERIFIED	0002:003d5d90 ?GetName@cdSimplePrelitShader@@UAE?AVtlFixedString@@XZ 00BC5290 f i cdSimplePrelitShader.o
9	PORTED	0002:003d5db0 ?RegisterVShader@cdSimplePrelitRender@@YAXXZ 00BC52B0 f i cdSimplePrelitShader.o
10	PORTED	0002:003d5dd0 ?GetVShader@cdSimplePrelitRender@@YAKXZ 00BC52D0 f i cdSimplePrelitShader.o
11	PORTED	0002:003d5de0 ?RegisterPShader@cdSimplePrelitPixel@@YAXXZ 00BC52E0 f i cdSimplePrelitShader.o
12	PORTED	0002:003d5e00 ?GetPShader@cdSimplePrelitPixel@@YAPAKXZ 00BC5300 f i cdSimplePrelitShader.o
13	PORTED	0002:003d5e10 ??0cdSimplePrelitShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdSimplePrelitShaderMat@@@Z 00BC5310 f i cdSimplePrelitShader.o
14	PORTED	0002:003d5e40 ??_GcdSimplePrelitShaderNode@@UAEPAXI@Z 00BC5340 f i cdSimplePrelitShader.o
15	PORTED	0002:003d5e40 ??_EcdSimplePrelitShaderNode@@UAEPAXI@Z 00BC5340 f i cdSimplePrelitShader.o
16	PORTED	0002:003d5e70 ??1cdSimplePrelitShaderNode@@UAE@XZ 00BC5370 f i cdSimplePrelitShader.o
17	VERIFIED	0002:003d5e80 ??_GcdSimplePrelitShader@@UAEPAXI@Z 00BC5380 f i cdSimplePrelitShader.o
18	VERIFIED	0002:003d5e80 ??_EcdSimplePrelitShader@@UAEPAXI@Z 00BC5380 f i cdSimplePrelitShader.o
19	VERIFIED	0002:003d5eb0 ??1cdSimplePrelitShader@@UAE@XZ 00BC53B0 f i cdSimplePrelitShader.o
