index	status	map_line
1	VERIFIED	0002:003da260 ?InitCDWorldBlendPointLitShader@@YAXXZ 00BC9760 f cdWorldBlendPointLitShader.o
2	VERIFIED	0002:003da2b0 ?ToggleCDWorldBlendPointLitShader@@YAXXZ 00BC97B0 f cdWorldBlendPointLitShader.o
3	VERIFIED	0002:003da2d0 ?Register@cdWorldBlendPointLitShader@@UAEXXZ 00BC97D0 f cdWorldBlendPointLitShader.o
4	VERIFIED	0002:003da310 ?AddNode@cdWorldBlendPointLitShader@@UAEXPAVnglMeshNode@@PAUnglMeshSection@@PAUnglMaterial@@@Z 00BC9810 f cdWorldBlendPointLitShader.o
5	PORTED	0002:003da3a0 ?Render@cdWorldBlendPointLitShaderNode@@UAEXXZ 00BC98A0 f cdWorldBlendPointLitShader.o
6	PORTED	0002:003db480 ?SetAddressModeW@nglDxTexCacheClass@@QAEXII@Z 00BCA980 f i cdWorldBlendPointLitShader.o
7	PORTED	0002:003db4d0 ?nglDxSetTextureW@@YAXHI@Z 00BCA9D0 f i cdWorldBlendPointLitShader.o
8	PORTED	0002:003db530 ?nglDxSetTextureUVW@@YAXHI@Z 00BCAA30 f i cdWorldBlendPointLitShader.o
9	PORTED	0002:003db560 ?RegisterShader@cdWorldBlendPointLitRender@@YAXXZ 00BCAA60 f i cdWorldBlendPointLitShader.o
10	PORTED	0002:003db590 ?RegisterVShader@cdWorldBlendPointLitRender@@YAXXZ 00BCAA90 f i cdWorldBlendPointLitShader.o
11	PORTED	0002:003db5a0 ?GetVShader@cdWorldBlendPointLitRender@@YAKI@Z 00BCAAA0 f i cdWorldBlendPointLitShader.o
12	PORTED	0002:003db5b0 ?RegisterShader@cdWorldBlendPointLitProjectedRender@@YAXXZ 00BCAAB0 f i cdWorldBlendPointLitShader.o
13	PORTED	0002:003db5e0 ?RegisterVShader@cdWorldBlendPointLitProjectedRender@@YAXXZ 00BCAAE0 f i cdWorldBlendPointLitShader.o
14	PORTED	0002:003db5f0 ?GetVShader@cdWorldBlendPointLitProjectedRender@@YAKI@Z 00BCAAF0 f i cdWorldBlendPointLitShader.o
15	PORTED	0002:003db600 ?RegisterShader@cdWorldBlendPointLitPixel@@YAXXZ 00BCAB00 f i cdWorldBlendPointLitShader.o
16	PORTED	0002:003db630 ?RegisterPShader@cdWorldBlendPointLitPixel@@YAXXZ 00BCAB30 f i cdWorldBlendPointLitShader.o
17	PORTED	0002:003db640 ?GetPShader@cdWorldBlendPointLitPixel@@YAPAKII@Z 00BCAB40 f i cdWorldBlendPointLitShader.o
18	PORTED	0002:003db660 ?RegisterShader@cdWorldBlendPointLitProjectedPixel@@YAXXZ 00BCAB60 f i cdWorldBlendPointLitShader.o
19	PORTED	0002:003db690 ?RegisterPShader@cdWorldBlendPointLitProjectedPixel@@YAXXZ 00BCAB90 f i cdWorldBlendPointLitShader.o
20	PORTED	0002:003db6a0 ?GetPShader@cdWorldBlendPointLitProjectedPixel@@YAPAKI@Z 00BCABA0 f i cdWorldBlendPointLitShader.o
21	PORTED	0002:003db6b0 ?RegisterShader@cdWorldBlendPointLitSolidColorPixel@@YAXXZ 00BCABB0 f i cdWorldBlendPointLitShader.o
22	PORTED	0002:003db6d0 ?RegisterPShader@cdWorldBlendPointLitSolidColorPixel@@YAXXZ 00BCABD0 f i cdWorldBlendPointLitShader.o
23	PORTED	0002:003db6f0 ?GetPShader@cdWorldBlendPointLitSolidColorPixel@@YAPAKXZ 00BCABF0 f i cdWorldBlendPointLitShader.o
24	VERIFIED	0002:003db700 ??0cdWorldBlendPointLitShader@@QAE@XZ 00BCAC00 f i cdWorldBlendPointLitShader.o
25	VERIFIED	0002:003db730 ?GetName@cdWorldBlendPointLitShader@@UAE?AVtlFixedString@@XZ 00BCAC30 f i cdWorldBlendPointLitShader.o
26	PORTED	0002:003db750 ??0cdWorldBlendPointLitParams@cdWorldBlendPointLitRender@@QAE@XZ 00BCAC50 f i cdWorldBlendPointLitShader.o
27	PORTED	0002:003db760 ??$SetConstants@UcdWorldBlendPointLitParams@cdWorldBlendPointLitRender@@@cdWorldBlendPointLitRender@@YAXABUcdWorldBlendPointLitParams@0@@Z 00BCAC60 f i cdWorldBlendPointLitShader.o
28	PORTED	0002:003db780 ??0cdWorldBlendPointLitShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdWorldBlendPointLitShaderMat@@@Z 00BCAC80 f i cdWorldBlendPointLitShader.o
29	SKIPPED	0002:003db7b0 ??_EcdWorldBlendPointLitShaderNode@@UAEPAXI@Z 00BCACB0 f i cdWorldBlendPointLitShader.o  SKIPPED: compiler-generated deleting destructor; supplied by the compiler
30	SKIPPED	0002:003db7b0 ??_GcdWorldBlendPointLitShaderNode@@UAEPAXI@Z 00BCACB0 f i cdWorldBlendPointLitShader.o  SKIPPED: compiler-generated deleting destructor; supplied by the compiler
31	PORTED	0002:003db7e0 ??1cdWorldBlendPointLitShaderNode@@UAE@XZ 00BCACE0 f i cdWorldBlendPointLitShader.o
32	SKIPPED	0002:003db7f0 ??_EcdWorldBlendPointLitShader@@UAEPAXI@Z 00BCACF0 f i cdWorldBlendPointLitShader.o  SKIPPED: compiler-generated deleting destructor; supplied by the compiler
33	SKIPPED	0002:003db7f0 ??_GcdWorldBlendPointLitShader@@UAEPAXI@Z 00BCACF0 f i cdWorldBlendPointLitShader.o  SKIPPED: compiler-generated deleting destructor; supplied by the compiler
34	VERIFIED	0002:003db820 ??1cdWorldBlendPointLitShader@@UAE@XZ 00BCAD20 f i cdWorldBlendPointLitShader.o
