ida_ea	va	name	signature	family
0x00687BC0	0x00A770C0	?CG_ScoresDown_f@@YAXXZ	void __cdecl CG_ScoresDown_f(void)	cg.o
0x00687C30	0x00A77130	?CG_InitConsoleCommands@@YAXXZ	void __cdecl CG_InitConsoleCommands(void)	cg.o
0x00687CB0	0x00A771B0	?CG_DrawTimer@@YAMM@Z	float __cdecl CG_DrawTimer(float)	cg.o
0x00687DA0	0x00A772A0	?CG_PriorityCenterPrint@@YAXPBDMHH@Z	void __cdecl CG_PriorityCenterPrint(char const *,float,int,int)	cg.o
0x00687F10	0x00A77410	?CG_CenterPrint@@YAXPBDHH@Z	void __cdecl CG_CenterPrint(char const *,int,int)	cg.o
0x00687F40	0x00A77440	?CG_GetWeapReticleZoom@@YAHPAM@Z	int __cdecl CG_GetWeapReticleZoom(float *)	cg.o
0x00688600	0x00A77B00	?CG_DrawFriendlyFire@@YAXXZ	void __cdecl CG_DrawFriendlyFire(void)	cg.o
0x00688620	0x00A77B20	?CG_Fade@@YAXHHHHHHH@Z	void __cdecl CG_Fade(int,int,int,int,int,int,int)	cg.o
0x00688680	0x00A77B80	?CG_DrawVersion@@YAXXZ	void __cdecl CG_DrawVersion(void)	cg.o
0x00688690	0x00A77B90	?CG_DrawDebugOverlays@@YAXXZ	void __cdecl CG_DrawDebugOverlays(void)	cg.o
0x006886A0	0x00A77BA0	?CG_DrawFriendOverlay@@YAXXZ	void __cdecl CG_DrawFriendOverlay(void)	cg.o
0x00688790	0x00A77C90	?CG_ResetLowHealthOverlay@@YAXH@Z	void __cdecl CG_ResetLowHealthOverlay(int)	cg.o
0x006887E0	0x00A77CE0	?CG_CalcPlayerHealth@@YAMXZ	float __cdecl CG_CalcPlayerHealth(void)	cg.o
0x00688880	0x00A77D80	?UpdateAmbientColourHelper@@YAXXZ	void __cdecl UpdateAmbientColourHelper(void)	cg.o
0x00688890	0x00A77D90	?CG_AdjustFrom640@@YAXPAM000@Z	void __cdecl CG_AdjustFrom640(float *,float *,float *,float *)	cg.o
0x00688910	0x00A77E10	?CG_AdjustFrom640_XYOnly@@YAXPAM0@Z	void __cdecl CG_AdjustFrom640_XYOnly(float *,float *)	cg.o
0x00688960	0x00A77E60	?CG_GetCenterOfScreen@@YAXPAM0@Z	void __cdecl CG_GetCenterOfScreen(float *,float *)	cg.o
0x006889D0	0x00A77ED0	?CG_FillRect@@YAXMMMMPBMM@Z	void __cdecl CG_FillRect(float,float,float,float,float const *,float)	cg.o
0x00688A60	0x00A77F60	?CG_FilledBar@@YAXMMMMPBMPAM0MH@Z	void __cdecl CG_FilledBar(float,float,float,float,float const *,float *,float const *,float,int)	cg.o
0x00688D50	0x00A78250	?CG_HorizontalPercentBar@@YAXMMMMM@Z	void __cdecl CG_HorizontalPercentBar(float,float,float,float,float)	cg.o
0x00688E20	0x00A78320	?CG_DrawSides@@YAXMMMMM@Z	void __cdecl CG_DrawSides(float,float,float,float,float)	cg.o
0x00688EE0	0x00A783E0	?CG_DrawTopBottom@@YAXMMMMM@Z	void __cdecl CG_DrawTopBottom(float,float,float,float,float)	cg.o
0x00688FA0	0x00A784A0	?CG_DrawPic@@YAXMMMMPAUnglTexture@@@Z	void __cdecl CG_DrawPic(float,float,float,float,struct nglTexture *)	cg.o
0x00689020	0x00A78520	?CG_DrawCroppedPic@@YAXMMMMMMMMPAUnglTexture@@@Z	void __cdecl CG_DrawCroppedPic(float,float,float,float,float,float,float,float,struct nglTexture *)	cg.o
0x006890A0	0x00A785A0	?CG_DrawStringExt@@YAXMMPBDPBMHHMMHH@Z	void __cdecl CG_DrawStringExt(float,float,char const *,float const *,int,int,float,float,int,int)	cg.o
0x00689180	0x00A78680	?CG_DrawBigString@@YAXMMPBDM@Z	void __cdecl CG_DrawBigString(float,float,char const *,float)	cg.o
0x006891F0	0x00A786F0	?CG_DrawBigStringColor@@YAXMMPBDQBM@Z	void __cdecl CG_DrawBigStringColor(float,float,char const *,float const * const)	cg.o
0x00689240	0x00A78740	?CG_DrawSmallString@@YAXMMPBDM@Z	void __cdecl CG_DrawSmallString(float,float,char const *,float)	cg.o
0x006892B0	0x00A787B0	?CG_DrawSmallStringColor@@YAXMMPBDQBM@Z	void __cdecl CG_DrawSmallStringColor(float,float,char const *,float const * const)	cg.o
0x00689300	0x00A78800	?CG_DrawStrlen@@YAHPBD@Z	int __cdecl CG_DrawStrlen(char const *)	cg.o
0x00689340	0x00A78840	?CG_FadeColor@@YAPAMHHH@Z	float * __cdecl CG_FadeColor(int,int,int)	cg.o
0x006893B0	0x00A788B0	?CG_GetNorthDirection@@YAMXZ	float __cdecl CG_GetNorthDirection(void)	cg.o
0x006893D0	0x00A788D0	?CG_UpdateCompassOrientation@@YAXXZ	void __cdecl CG_UpdateCompassOrientation(void)	cg.o
0x00689680	0x00A78B80	?CG_DebugBox@@YAXQBM00HH@Z	void __cdecl CG_DebugBox(float const * const,float const * const,float const * const,int,int)	cg.o
0x00689790	0x00A78C90	?CG_LockLightingOrigin@@YAXPAVEntity@@PAUrefEntity_t@@@Z	void __cdecl CG_LockLightingOrigin(class Entity *,struct refEntity_t *)	cg.o
0x00689910	0x00A78E10	?CG_General@@YAXPAVEntity@@@Z	void __cdecl CG_General(class Entity *)	cg.o
0x00689A80	0x00A78F80	?CG_EntityEffects@@YAXPAVEntity@@@Z	void __cdecl CG_EntityEffects(class Entity *)	cg.o
0x00689CD0	0x00A791D0	?CG_Missile@@YAXPAVEntity@@@Z	void __cdecl CG_Missile(class Entity *)	cg.o
0x00689E70	0x00A79370	?CG_Mover@@YAXPAVEntity@@@Z	void __cdecl CG_Mover(class Entity *)	cg.o
0x00689FF0	0x00A794F0	?CG_ScriptMover@@YAXPAVEntity@@@Z	void __cdecl CG_ScriptMover(class Entity *)	cg.o
0x0068A1B0	0x00A796B0	?CG_Portal@@YAXPAVEntity@@@Z	void __cdecl CG_Portal(class Entity *)	cg.o
0x0068A2E0	0x00A797E0	?CG_SetFrameInterpolation@@YAXXZ	void __cdecl CG_SetFrameInterpolation(void)	cg.o
0x0068A3A0	0x00A798A0	?CG_DObjUpdateInfo@@YAXPAVDObj@@@Z	void __cdecl CG_DObjUpdateInfo(class DObj *)	cg.o
0x0068A3E0	0x00A798E0	?CG_DObjGetViewModelTagMatrix@@YAHPAVDObj@@IPAUDObjSkelMat@@@Z	int __cdecl CG_DObjGetViewModelTagMatrix(class DObj *,unsigned int,struct DObjSkelMat *)	cg.o
0x0068A540	0x00A79A40	?CG_Vehicle@@YAXPAVEntity@@@Z	void __cdecl CG_Vehicle(class Entity *)	cg.o
0x0068A620	0x00A79B20	?CG_SoundBlend@@YAXPAVEntity@@@Z	void __cdecl CG_SoundBlend(class Entity *)	cg.o
0x0068A640	0x00A79B40	?CG_DObjCalcPose@@YAXPAVEntity@@PAVDObj@@QAH@Z	void __cdecl CG_DObjCalcPose(class Entity *,class DObj *,int * const)	cg.o
0x0068A700	0x00A79C00	?CG_DObjCalcBone@@YAXPAVEntity@@PAVDObj@@H@Z	void __cdecl CG_DObjCalcBone(class Entity *,class DObj *,int)	cg.o
0x0068A7E0	0x00A79CE0	?CG_DObjCalcBoneGeneric@@YAXPAVDObj@@H@Z	void __cdecl CG_DObjCalcBoneGeneric(class DObj *,int)	cg.o
0x0068A870	0x00A79D70	?CG_SaveEntity@@YAXV?$DbLinkedHandle@VEntityHandleDb@@VEntity@@@@@Z	void __cdecl CG_SaveEntity(class DbLinkedHandle<class EntityHandleDb,class Entity>)	cg.o
0x0068A8C0	0x00A79DC0	?CG_LoadEntity@@YAXV?$DbLinkedHandle@VEntityHandleDb@@VEntity@@@@@Z	void __cdecl CG_LoadEntity(class DbLinkedHandle<class EntityHandleDb,class Entity>)	cg.o
0x0068B270	0x00A7A770	?compare_hudelems@@YAHPBX0@Z	int __cdecl compare_hudelems(void const *,void const *)	cg.o
0x0068B300	0x00A7A800	?CG_ClearHudElems@@YAXXZ	void __cdecl CG_ClearHudElems(void)	cg.o
0x0068B330	0x00A7A830	?CG_InitLocalEntities@@YAXXZ	void __cdecl CG_InitLocalEntities(void)	cg.o
0x0068B380	0x00A7A880	?CG_AddFadeRGB@@YAXPAUlocalEntity_t@@@Z	void __cdecl CG_AddFadeRGB(struct localEntity_t *)	cg.o
0x0068B3D0	0x00A7A8D0	?CG_RegisterCvars@@YAXXZ	void __cdecl CG_RegisterCvars(void)	cg.o
0x0068B400	0x00A7A900	?CG_UpdateCvars@@YAXXZ	void __cdecl CG_UpdateCvars(void)	cg.o
0x0068B480	0x00A7A980	?CG_Printf@@YAXPBDZZ	void __cdecl CG_Printf(char const *,...)	cg.o
0x0068B4B0	0x00A7A9B0	?CG_Error@@YAXPBDZZ	void __cdecl CG_Error(char const *,...)	cg.o
0x0068B4F0	0x00A7A9F0	?CG_ObjMessage@@YAXPBD@Z	void __cdecl CG_ObjMessage(char const *)	cg.o
0x0068B540	0x00A7AA40	?CG_GameMessage@@YAXPBDH@Z	void __cdecl CG_GameMessage(char const *,int)	cg.o
0x0068B560	0x00A7AA60	?CG_BoldGameMessage@@YAXPBD@Z	void __cdecl CG_BoldGameMessage(char const *)	cg.o
0x0068B580	0x00A7AA80	?CG_Argv@@YAPBDH@Z	char const * __cdecl CG_Argv(int)	cg.o
0x0068B5A0	0x00A7AAA0	?CG_ConfigString@@YAPBDH@Z	char const * __cdecl CG_ConfigString(int)	cg.o
0x0068B600	0x00A7AB00	?CG_StartAmbient@@YAXXZ	void __cdecl CG_StartAmbient(void)	cg.o
0x0068B630	0x00A7AB30	?CG_GetMenuBuffer@@YAPADPBD@Z	char * __cdecl CG_GetMenuBuffer(char const *)	cg.o
0x0068B680	0x00A7AB80	?CG_Asset_Parse@@YAHHH@Z	int __cdecl CG_Asset_Parse(int,int)	cg.o
0x0068B690	0x00A7AB90	?CG_ParseMenu@@YAXPBDH@Z	void __cdecl CG_ParseMenu(char const *,int)	cg.o
0x0068B6E0	0x00A7ABE0	?CG_Load_Menu@@YAHPAPBDH@Z	int __cdecl CG_Load_Menu(char const * *,int)	cg.o
0x0068B730	0x00A7AC30	?CG_LoadMenus@@YAXPBDH@Z	void __cdecl CG_LoadMenus(char const *,int)	cg.o
0x0068B890	0x00A7AD90	?CG_SafeTranslateString@@YAPBDPBD@Z	char const * __cdecl CG_SafeTranslateString(char const *)	cg.o
0x0068B8B0	0x00A7ADB0	?CG_SafeTranslateHudElemString@@YAPBDH@Z	char const * __cdecl CG_SafeTranslateHudElemString(int)	cg.o
0x0068B8E0	0x00A7ADE0	?CG_AssetCache@@YAXXZ	void __cdecl CG_AssetCache(void)	cg.o
0x0068B8F0	0x00A7ADF0	?CG_ExportKeyBinding@@YAHPBDPAPBD1@Z	int __cdecl CG_ExportKeyBinding(char const *,char const * *,char const * *)	cg.o
0x0068B900	0x00A7AE00	?CG_CheckAmmo@@YAXXZ	void __cdecl CG_CheckAmmo(void)	cg.o
0x0068B9A0	0x00A7AEA0	?CG_DrawScoreboard_GetTeamColor@@YAXHQAM@Z	void __cdecl CG_DrawScoreboard_GetTeamColor(int,float * const)	cg.o
0x0068BA60	0x00A7AF60	?CountObjectiveChildren@@YAHPAU_objectiveInfo_t@@@Z	int __cdecl CountObjectiveChildren(struct _objectiveInfo_t *)	cg.o
0x0068BA80	0x00A7AF80	?CG_DrawObjective@@YAMPBU_objectiveInfo_t@@MPAMAAM22222_N@Z	float __cdecl CG_DrawObjective(struct _objectiveInfo_t const *,float,float *,float &,float &,float &,float &,float &,float &,bool)	cg.o
0x0068BA90	0x00A7AF90	?CG_DrawObjectives@@YAXMPAM@Z	void __cdecl CG_DrawObjectives(float,float *)	cg.o
0x0068BAA0	0x00A7AFA0	?CG_DrawScoreboard@@YAHXZ	int __cdecl CG_DrawScoreboard(void)	cg.o
0x0068BB10	0x00A7B010	?CG_ParseServerinfo@@YAXXZ	void __cdecl CG_ParseServerinfo(void)	cg.o
0x0068BBB0	0x00A7B0B0	?CG_RegisterServerShaders@@YAXXZ	void __cdecl CG_RegisterServerShaders(void)	cg.o
0x0068BBD0	0x00A7B0D0	?CG_CloseScriptMenu@@YAXXZ	void __cdecl CG_CloseScriptMenu(void)	cg.o
0x0068BCF0	0x00A7B1F0	?CG_InitServerCommandHashVals@@YAXXZ	void __cdecl CG_InitServerCommandHashVals(void)	cg.o
0x0068BE90	0x00A7B390	?CG_PerturbCamera@@YAXXZ	void __cdecl CG_PerturbCamera(void)	cg.o
0x0068BF80	0x00A7B480	?CG_SaveShellShockCvars@@YAHPBD@Z	int __cdecl CG_SaveShellShockCvars(char const *)	cg.o
0x0068C010	0x00A7B510	?CG_SetShellShockParmsFromCvars@@YAXPAUshellshock_parms_t@@@Z	void __cdecl CG_SetShellShockParmsFromCvars(struct shellshock_parms_t *)	cg.o
0x0068C590	0x00A7BA90	?CG_ShellShockCamera@@YAXXZ	void __cdecl CG_ShellShockCamera(void)	cg.o
0x0068C760	0x00A7BC60	?CG_StartShellShock@@YAXPBUshellshock_parms_t@@HH@Z	void __cdecl CG_StartShellShock(struct shellshock_parms_t const *,int,int)	cg.o
0x0068C860	0x00A7BD60	?cg_dllEntry@@YAXP6AHHZZ@Z	void __cdecl cg_dllEntry(int (__cdecl*)(int,...))	cg.o
0x0068C870	0x00A7BD70	?trap_R_SetCullDist@@YAXM@Z	void __cdecl trap_R_SetCullDist(float)	cg.o
0x0068C880	0x00A7BD80	?trap_R_SetFog@@YAXHHHMMMM@Z	void __cdecl trap_R_SetFog(int,int,int,float,float,float,float)	cg.o
0x0068C890	0x00A7BD90	?trap_R_SaveScreen@@YAXXZ	void __cdecl trap_R_SaveScreen(void)	cg.o
0x0068C8A0	0x00A7BDA0	?trap_R_DrawStretchPicGradient@@YAXMMMMMMMMPAUnglTexture@@PBMH@Z	void __cdecl trap_R_DrawStretchPicGradient(float,float,float,float,float,float,float,float,struct nglTexture *,float const *,int)	cg.o
0x0068C8B0	0x00A7BDB0	?trap_R_DrawStretchPicRotate@@YAXMMMMMMMMMPAUnglTexture@@@Z	void __cdecl trap_R_DrawStretchPicRotate(float,float,float,float,float,float,float,float,float,struct nglTexture *)	cg.o
0x0068C8C0	0x00A7BDC0	?trap_R_DrawQuadPic@@YAXPAY01$$CBM0PAUnglTexture@@@Z	void __cdecl trap_R_DrawQuadPic(float const (*)[2],float const (*)[2],struct nglTexture *)	cg.o
0x0068C8D0	0x00A7BDD0	?trap_R_TrackStatistics@@YAXPAUtrStatistics_t@@@Z	void __cdecl trap_R_TrackStatistics(struct trStatistics_t *)	cg.o
0x0068C8E0	0x00A7BDE0	?trap_R_PickShader@@YAHABVPosition3@math@@0PAD11H@Z	int __cdecl trap_R_PickShader(class math::Position3 const &,class math::Position3 const &,char *,char *,char *,int)	cg.o
0x0068C8F0	0x00A7BDF0	?CG_UI_Popup@@YAHPBD@Z	int __cdecl CG_UI_Popup(char const *)	cg.o
0x0068C900	0x00A7BE00	?cg_Z_MallocInternal@@YAPAXH@Z	void * __cdecl cg_Z_MallocInternal(int)	cg.o
0x0068C910	0x00A7BE10	?cg_Z_FreeInternal@@YAXPAX@Z	void __cdecl cg_Z_FreeInternal(void *)	cg.o
0x0068C920	0x00A7BE20	?CG_FxTest@@YAXXZ	void __cdecl CG_FxTest(void)	cg.o
0x0068C970	0x00A7BE70	?CG_ClampViewAngles@@YAXPAVPlayerState@@QBM11@Z	void __cdecl CG_ClampViewAngles(class PlayerState *,float const * const,float const * const,float const * const)	cg.o
0x0068CAB0	0x00A7BFB0	?CG_ClampAngles@@YAXQAMQBM11@Z	void __cdecl CG_ClampAngles(float * const,float const * const,float const * const,float const * const)	cg.o
0x0068CBD0	0x00A7C0D0	?CG_ClampAngles@@YAXAAVPosition3@math@@QBM11@Z	void __cdecl CG_ClampAngles(class math::Position3 &,float const * const,float const * const,float const * const)	cg.o
0x0068D150	0x00A7C650	?CG_GetVerticalBobFactor@@YAMMMM@Z	float __cdecl CG_GetVerticalBobFactor(float,float,float)	cg.o
0x0068D1F0	0x00A7C6F0	?CG_GetHorizontalBobFactor@@YAMMMM@Z	float __cdecl CG_GetHorizontalBobFactor(float,float,float)	cg.o
0x0068D350	0x00A7C850	?CG_GetViewFov@@YAMXZ	float __cdecl CG_GetViewFov(void)	cg.o
0x0068DB20	0x00A7D020	?SwayRand@@YAMMMM@Z	float __cdecl SwayRand(float,float,float)	cg.o
0x0068DBB0	0x00A7D0B0	?CG_DrawSkyBoxPortal@@YAXXZ	void __cdecl CG_DrawSkyBoxPortal(void)	cg.o
0x0068E180	0x00A7D680	?UpdateIntermissionCam@Camera@@AAEXXZ	private: void __thiscall Camera::UpdateIntermissionCam(void)	cg.o
0x0068E230	0x00A7D730	?UpdateSceneAnimCam@Camera@@AAEXXZ	private: void __thiscall Camera::UpdateSceneAnimCam(void)	cg.o
0x0068E730	0x00A7DC30	?IsVehicleCameraFadeMode@@YA_NW4ECameraModes@@@Z	bool __cdecl IsVehicleCameraFadeMode(enum ECameraModes)	cg.o
0x0068E750	0x00A7DC50	?SaveLastFOV@Camera@@AAEXXZ	private: void __thiscall Camera::SaveLastFOV(void)	cg.o
0x0068E770	0x00A7DC70	?GetLastFOV@Camera@@QAEMXZ	public: float __thiscall Camera::GetLastFOV(void)	cg.o
0x0068E780	0x00A7DC80	?SaveLastPO@Camera@@AAEXXZ	private: void __thiscall Camera::SaveLastPO(void)	cg.o
