ida_ea	name	signature	source_cpp
0x00687BC0	?CG_ScoresDown_f@@YAXXZ	void __cdecl CG_ScoresDown_f(void)	
0x00687C30	?CG_InitConsoleCommands@@YAXXZ	void __cdecl CG_InitConsoleCommands(void)	
0x00687CB0	?CG_DrawTimer@@YAMM@Z	float __cdecl CG_DrawTimer(float)	
0x00687DA0	?CG_PriorityCenterPrint@@YAXPBDMHH@Z	void __cdecl CG_PriorityCenterPrint(char const *,float,int,int)	
0x00687F10	?CG_CenterPrint@@YAXPBDHH@Z	void __cdecl CG_CenterPrint(char const *,int,int)	
0x00687F40	?CG_GetWeapReticleZoom@@YAHPAM@Z	int __cdecl CG_GetWeapReticleZoom(float *)	
0x00688600	?CG_DrawFriendlyFire@@YAXXZ	void __cdecl CG_DrawFriendlyFire(void)	
0x00688620	?CG_Fade@@YAXHHHHHHH@Z	void __cdecl CG_Fade(int,int,int,int,int,int,int)	
0x00688680	?CG_DrawVersion@@YAXXZ	void __cdecl CG_DrawVersion(void)	
0x00688690	?CG_DrawDebugOverlays@@YAXXZ	void __cdecl CG_DrawDebugOverlays(void)	
0x006886A0	?CG_DrawFriendOverlay@@YAXXZ	void __cdecl CG_DrawFriendOverlay(void)	
0x00688790	?CG_ResetLowHealthOverlay@@YAXH@Z	void __cdecl CG_ResetLowHealthOverlay(int)	
0x006887E0	?CG_CalcPlayerHealth@@YAMXZ	float __cdecl CG_CalcPlayerHealth(void)	
0x00688880	?UpdateAmbientColourHelper@@YAXXZ	void __cdecl UpdateAmbientColourHelper(void)	
0x00688890	?CG_AdjustFrom640@@YAXPAM000@Z	void __cdecl CG_AdjustFrom640(float *,float *,float *,float *)	
0x00688910	?CG_AdjustFrom640_XYOnly@@YAXPAM0@Z	void __cdecl CG_AdjustFrom640_XYOnly(float *,float *)	
0x00688960	?CG_GetCenterOfScreen@@YAXPAM0@Z	void __cdecl CG_GetCenterOfScreen(float *,float *)	
0x006889D0	?CG_FillRect@@YAXMMMMPBMM@Z	void __cdecl CG_FillRect(float,float,float,float,float const *,float)	
0x00688A60	?CG_FilledBar@@YAXMMMMPBMPAM0MH@Z	void __cdecl CG_FilledBar(float,float,float,float,float const *,float *,float const *,float,int)	
0x00688D50	?CG_HorizontalPercentBar@@YAXMMMMM@Z	void __cdecl CG_HorizontalPercentBar(float,float,float,float,float)	
0x00688E20	?CG_DrawSides@@YAXMMMMM@Z	void __cdecl CG_DrawSides(float,float,float,float,float)	
0x00688EE0	?CG_DrawTopBottom@@YAXMMMMM@Z	void __cdecl CG_DrawTopBottom(float,float,float,float,float)	
0x00688FA0	?CG_DrawPic@@YAXMMMMPAUnglTexture@@@Z	void __cdecl CG_DrawPic(float,float,float,float,struct nglTexture *)	
0x00689020	?CG_DrawCroppedPic@@YAXMMMMMMMMPAUnglTexture@@@Z	void __cdecl CG_DrawCroppedPic(float,float,float,float,float,float,float,float,struct nglTexture *)	
0x006890A0	?CG_DrawStringExt@@YAXMMPBDPBMHHMMHH@Z	void __cdecl CG_DrawStringExt(float,float,char const *,float const *,int,int,float,float,int,int)	
0x00689180	?CG_DrawBigString@@YAXMMPBDM@Z	void __cdecl CG_DrawBigString(float,float,char const *,float)	
0x006891F0	?CG_DrawBigStringColor@@YAXMMPBDQBM@Z	void __cdecl CG_DrawBigStringColor(float,float,char const *,float const * const)	
0x00689240	?CG_DrawSmallString@@YAXMMPBDM@Z	void __cdecl CG_DrawSmallString(float,float,char const *,float)	
0x006892B0	?CG_DrawSmallStringColor@@YAXMMPBDQBM@Z	void __cdecl CG_DrawSmallStringColor(float,float,char const *,float const * const)	
0x00689300	?CG_DrawStrlen@@YAHPBD@Z	int __cdecl CG_DrawStrlen(char const *)	
0x00689340	?CG_FadeColor@@YAPAMHHH@Z	float * __cdecl CG_FadeColor(int,int,int)	
0x006893B0	?CG_GetNorthDirection@@YAMXZ	float __cdecl CG_GetNorthDirection(void)	
0x006893D0	?CG_UpdateCompassOrientation@@YAXXZ	void __cdecl CG_UpdateCompassOrientation(void)	
0x00689680	?CG_DebugBox@@YAXQBM00HH@Z	void __cdecl CG_DebugBox(float const * const,float const * const,float const * const,int,int)	
0x00689790	?CG_LockLightingOrigin@@YAXPAVEntity@@PAUrefEntity_t@@@Z	void __cdecl CG_LockLightingOrigin(class Entity *,struct refEntity_t *)	
0x00689910	?CG_General@@YAXPAVEntity@@@Z	void __cdecl CG_General(class Entity *)	
0x00689A80	?CG_EntityEffects@@YAXPAVEntity@@@Z	void __cdecl CG_EntityEffects(class Entity *)	
