index	status	map_line
1	VERIFIED	0002:00128300 ?Init@KeyInfoEntry@@QAEXXZ 00917800 f i cl.o
2	VERIFIED	0002:00128320 ?SetDown@KeyInfoEntry@@QAEXH@Z 00917820 f i cl.o
3	VERIFIED	0002:00128340 ?IncRepeats@KeyInfoEntry@@QAEXXZ 00917840 f i cl.o
4	VERIFIED	0002:00128360 ?ClearRepeats@KeyInfoEntry@@QAEXXZ 00917860 f i cl.o
5	VERIFIED	0002:00128370 ?IsDown@KeyInfoEntry@@QBEHXZ 00917870 f i cl.o
6	VERIFIED	0002:00128380 ?GetRepeats@KeyInfoEntry@@QBEHXZ 00917880 f i cl.o
7	VERIFIED	0002:00128390 ?UpdateIGO@FEManager@@QAEXM@Z 00917890 f i cl.o
8	VERIFIED	0002:001283a0 ?UpdateInSceneIGO@FEManager@@QAEXM@Z 009178A0 f i cl.o
9	VERIFIED	0002:001283b0 ?AARMenusActive@FEManager@@QAE_NXZ 009178B0 f i cl.o
10	VERIFIED	0002:001283c0 ?FrontEndMenusActive@FEManager@@QAE_NH@Z 009178C0 f i cl.o
11	VERIFIED	0002:001283e0 ?SetFrontEndMenusActive@FEManager@@QAEX_NH@Z 009178E0 f i cl.o
12	VERIFIED	0002:00128400 ?GetAARS@FEManager@@QAEPAVAARMenuSystem@@XZ 00917900 f i cl.o
13	VERIFIED	0002:00128440 ?CL_GetGlconfig@@YAXPAUglconfig_t@@@Z 00917940 f cl.o
14	VERIFIED	0002:00128460 ?CL_GetUserCmd@@YAHHPAUusercmd_s@@@Z 00917960 f cl.o
15	VERIFIED	0002:001284e0 ?CL_GetCurrentCmdNumber@@YAHXZ 009179E0 f cl.o
16	VERIFIED	0002:00128500 ?CL_CapTurnRate@@YAXMM@Z 00917A00 f cl.o
17	VERIFIED	0002:00128530 ?CL_SetViewAngles@@YAXQAM@Z 00917A30 f cl.o
18	VERIFIED	0002:001285b0 ?CL_SetViewAnglesAxis@@YAXHM@Z 00917AB0 f cl.o
19	PORTED	0002:00128670 ?CL_SaveWrite@@YAXPBXH@Z 00917B70 f cl.o PORTED: IDA-verified assert metadata, 16-byte hunk allocation, and qmemcpy path
20	VERIFIED	0002:001286f0 ?CL_LoadRead@@YAXPBXH@Z 00917BF0 f cl.o
21	VERIFIED	0002:00128710 ?CL_GetCurrentSnapshotNumber@@YAXPAH0@Z 00917C10 f cl.o
22	VERIFIED	0002:00128750 ?CL_GetSnapshot@@YAHHPAUsnapshot_t@@@Z 00917C50 f cl.o
23	VERIFIED	0002:001287f0 ?CL_SetUserCmdValue@@YAXHHM@Z 00917CF0 f cl.o
24	VERIFIED	0002:00128820 ?CL_SetUserCmdAimValues@@YAXMMMMM@Z 00917D20 f cl.o
25	VERIFIED	0002:00128880 ?CL_SetUserCmdInShellshock@@YAXH@Z 00917D80 f cl.o
26	VERIFIED	0002:001288a0 ?CL_AddCgameCommand@@YAXPBDP6AXXZ@Z 00917DA0 f cl.o
27	PORTED	0002:001288b0 ?CL_CM_LoadMap@@YAXPBD@Z 00917DB0 f cl.o PORTED: IDA-verified intentional empty function
28	VERIFIED	0002:001288c0 ?CL_ShutdownCGame@@YAXXZ 00917DC0 f cl.o
29	PORTED	0002:00128900 ?CL_DObjInvalidateSkels@@YAXXZ 00917E00 f cl.o PORTED: IDA-verified allocation assert, timestamp increment, and zero-wrap correction
30	PORTED	0002:00128960 ?CL_DObjCalcAnim@@YAXPAVDObj@@QAH@Z 00917E60 f cl.o PORTED: IDA-verified intentional empty function
31	PORTED	0002:00128970 ?CL_DObjCreateSkelForBone@@YAHPAVDObj@@H@Z 00917E70 f cl.o PORTED: IDA-verified obj assert, skeleton-exists early return, 16-byte hunk allocation, and DObjCreateSkel call
32	PORTED	0002:00128a10 ?CL_DObjCreateSkelForBones@@YAHPAVDObj@@QAH@Z 00917F10 f cl.o PORTED: IDA-verified allocation/object asserts, skeleton-exists early return, 16-byte hunk allocation, and DObjCreateSkel call
33	PORTED	0002:00128af0 ?CL_DObjCalcSkel@@YAXPAVDObj@@QAH@Z 00917FF0 f cl.o PORTED: IDA-verified object/skeleton asserts and j_nullsub_82 call
34	VERIFIED	0002:00128ba0 ?LoadWorld@@YAXPBD@Z 009180A0 f cl.o
35	VERIFIED	0002:00128bd0 ?CL_CgameSystemCalls@@YAHPAH@Z 009180D0 f cl.o
36	PORTED	0002:00128e20 ?CL_GameCommand@@YAHXZ 00918320 f cl.o PORTED: IDA-verified cgvm null return and VM_Call call number 2
37	VERIFIED	0002:00128e40 ?CL_CGameRendering@@YAXXZ 00918340 f cl.o
38	FIXED	0002:00128e70 ?CL_FirstSnapshot@@YAXXZ 00918370 f cl.o FIXED: matched IDA cvar assert, pak cleanup, FEManager state transitions, and menu activation; removed no-op helper path
39	PORTED	0002:00128f60 ?CL_SetCGameTime@@YAXXZ 00918460 f cl.o PORTED: IDA-verified active-state time assignments and inactive early return
40	PORTED	0002:00128f80 ?CL_SaveViewModelAnimTrees@@YAXXZ 00918480 f cl.o PORTED: IDA-verified VM_Call call number 13
41	PORTED	0002:00128fa0 ?CL_LoadViewModelAnimTrees@@YAXXZ 009184A0 f cl.o PORTED: IDA-verified VM_Call call number 14
42	PORTED	0002:00128fc0 ?CL_SaveWeaponInfo@@YAXXZ 009184C0 f cl.o PORTED: IDA-verified VM_Call call number 15
43	PORTED	0002:00128fe0 ?CL_LoadWeaponInfo@@YAXXZ 009184E0 f cl.o PORTED: IDA-verified VM_Call call number 16
44	VERIFIED	0002:00129000 ?CL_LookupColor@@YAXEQAM@Z 00918500 f cl.o
45	PORTED	0002:00129070 ?Con_ToggleConsole_f@@YAXXZ 00918570 f cl.o PORTED: IDA-verified field reset, console geometry setup, key-catcher toggle, and return value
46	VERIFIED	0002:001290c0 ?Con_Dump_f@@YAXXZ 009185C0 f cl.o
47	VERIFIED	0002:00129550 ?CL_SaveMessages@@YAHPAEH@Z 00918A50 f cl.o
48	VERIFIED	0002:001295a0 ?Con_DrawMiniConsole@@YAXHHM@Z 00918AA0 f cl.o
49	VERIFIED	0002:001295b0 ?Con_DrawSubtitles@@YAXHHMW4msgwnd_mode_t@@@Z 00918AB0 f cl.o
50	VERIFIED	0002:001295c0 ?Con_RunConsole@@YAXXZ 00918AC0 f cl.o
51	FIXED	0002:00129650 ?Con_PageUp@@YAXXZ 00918B50 f cl.o FIXED: matched IDA result selection and display clamp
52	FIXED	0002:00129680 ?Con_PageDown@@YAXXZ 00918B80 f cl.o FIXED: matched IDA pre-clamp return value and display clamp
53	FIXED	0002:001296a0 ?Con_Top@@YAXXZ 00918BA0 f cl.o FIXED: matched IDA post-increment result and display assignment
54	PORTED	0002:001296c0 ?Con_Bottom@@YAXXZ 00918BC0 f cl.o PORTED: IDA-verified display assignment and return value
55	PORTED	0002:00129720 ?Con_ClearNotify@@YAXXZ 00918C20 f cl.o PORTED: IDA-verified console/message-window reset fields and return value
56	VERIFIED	0002:00129780 ?Con_ClearMiniConsole@@YAXXZ 00918C80 f cl.o
57	VERIFIED	0002:00129790 ?Con_ClearSubtitles@@YAXXZ 00918C90 f cl.o
58	FIXED	0002:001297a0 ?Con_CheckResize@@YAXXZ 00918CA0 f cl.o FIXED: restored IDA notify-array resets after console buffer migration
59	VERIFIED	0002:00129ab0 ?Con_UpdateNotifyLine@@YAXW4print_msg_type_t@@HHH@Z 00918FB0 f cl.o
60	VERIFIED	0002:00129dd0 ?Con_Linefeed@@YAXW4print_msg_type_t@@HH@Z 009192D0 f cl.o
61	VERIFIED	0002:0012a270 ?Con_DrawStringOnHUD@@YAXHHPBFHMH@Z 00919770 f cl.o
62	VERIFIED	0002:0012a530 ?CL_BackUpKeys@@YAXXZ 00919A30 f cl.o
63	VERIFIED	0002:0012a560 ?CL_RecallKeys@@YAXXZ 00919A60 f cl.o
64	PORTED	0002:0012a590 ?CL_InitButtons@@YAXXZ 00919A90 f cl.o PORTED: IDA-verified kb/kbss and per-client button-state clearing
65	VERIFIED	0002:0012a5c0 ?IN_MLookDown@@YAXXZ 00919AC0 f cl.o
66	PORTED	0002:0012a5d0 ?IN_KeyDown@@YAXPAUkbutton_t@@HH@Z 00919AD0 f cl.o PORTED: IDA-verified two-key tracking, duplicate suppression, active transition, and overflow message
67	PORTED	0002:0012a630 ?IN_KeyUp@@YAXPAUkbutton_t@@HH@Z 00919B30 f cl.o PORTED: IDA-verified key validation asserts, key release bookkeeping, msec accumulation, and reset path
68	VERIFIED	0002:0012a790 ?CL_KeyState@@YAMPAUkbutton_t@@@Z 00919C90 f cl.o
69	VERIFIED	0002:0012a820 ?CL_SetTempStanceStatus@@YAXXZ 00919D20 f cl.o
70	VERIFIED	0002:0012a860 ?IN_UpDown@@YAXHH@Z 00919D60 f cl.o
71	VERIFIED	0002:0012a8e0 ?IN_UpUp@@YAXHH@Z 00919DE0 f cl.o
72	VERIFIED	0002:0012a910 ?IN_DownDown@@YAXHH@Z 00919E10 f cl.o
73	VERIFIED	0002:0012a960 ?IN_DownUp@@YAXHH@Z 00919E60 f cl.o
74	VERIFIED	0002:0012a9b0 ?IN_LeftDown@@YAXHH@Z 00919EB0 f cl.o
75	VERIFIED	0002:0012aa10 ?IN_LeftUp@@YAXHH@Z 00919F10 f cl.o
76	VERIFIED	0002:0012aa30 ?IN_RightDown@@YAXHH@Z 00919F30 f cl.o
77	VERIFIED	0002:0012aa50 ?IN_RightUp@@YAXHH@Z 00919F50 f cl.o
78	VERIFIED	0002:0012aa70 ?IN_ForwardDown@@YAXHH@Z 00919F70 f cl.o
79	VERIFIED	0002:0012aa90 ?IN_ForwardUp@@YAXHH@Z 00919F90 f cl.o
80	VERIFIED	0002:0012aab0 ?IN_BackDown@@YAXHH@Z 00919FB0 f cl.o
81	VERIFIED	0002:0012aad0 ?IN_BackUp@@YAXHH@Z 00919FD0 f cl.o
82	VERIFIED	0002:0012aaf0 ?IN_LookupDown@@YAXHH@Z 00919FF0 f cl.o
83	VERIFIED	0002:0012ab10 ?IN_LookupUp@@YAXHH@Z 0091A010 f cl.o
84	VERIFIED	0002:0012ab30 ?IN_LookdownDown@@YAXHH@Z 0091A030 f cl.o
85	VERIFIED	0002:0012ab50 ?IN_LookdownUp@@YAXHH@Z 0091A050 f cl.o
86	VERIFIED	0002:0012ab70 ?IN_MoveleftDown@@YAXHH@Z 0091A070 f cl.o
87	VERIFIED	0002:0012ab90 ?IN_MoveleftUp@@YAXHH@Z 0091A090 f cl.o
88	VERIFIED	0002:0012abb0 ?IN_MoverightDown@@YAXHH@Z 0091A0B0 f cl.o
89	VERIFIED	0002:0012abd0 ?IN_MoverightUp@@YAXHH@Z 0091A0D0 f cl.o
90	VERIFIED	0002:0012abf0 ?IN_SpeedDown@@YAXHH@Z 0091A0F0 f cl.o
91	VERIFIED	0002:0012ac10 ?IN_SpeedUp@@YAXHH@Z 0091A110 f cl.o
92	VERIFIED	0002:0012ac30 ?IN_StrafeDown@@YAXHH@Z 0091A130 f cl.o
93	VERIFIED	0002:0012ac50 ?IN_StrafeUp@@YAXHH@Z 0091A150 f cl.o
94	VERIFIED	0002:0012ac70 ?IN_Button0Up@@YAXHH@Z 0091A170 f cl.o
95	VERIFIED	0002:0012ac90 ?IN_Button1Down@@YAXHH@Z 0091A190 f cl.o
96	VERIFIED	0002:0012acb0 ?IN_Button1Up@@YAXHH@Z 0091A1B0 f cl.o
97	VERIFIED	0002:0012acd0 ?IN_Button4Down@@YAXHH@Z 0091A1D0 f cl.o
98	VERIFIED	0002:0012acf0 ?IN_Button4Up@@YAXHH@Z 0091A1F0 f cl.o
99	VERIFIED	0002:0012ad10 ?IN_Button5Down@@YAXHH@Z 0091A210 f cl.o
100	VERIFIED	0002:0012ad30 ?IN_Button5Up@@YAXHH@Z 0091A230 f cl.o
101	VERIFIED	0002:0012ad50 ?IN_ActivateDown@@YAXHH@Z 0091A250 f cl.o
102	VERIFIED	0002:0012ad70 ?IN_ActivateUp@@YAXHH@Z 0091A270 f cl.o
103	VERIFIED	0002:0012ad90 ?IN_ActivateReloadDown@@YAXHH@Z 0091A290 f cl.o
104	VERIFIED	0002:0012adb0 ?IN_ActivateReloadUp@@YAXHH@Z 0091A2B0 f cl.o
105	VERIFIED	0002:0012add0 ?IN_Wbutton0Down@@YAXHH@Z 0091A2D0 f cl.o
106	VERIFIED	0002:0012adf0 ?IN_Wbutton0Up@@YAXHH@Z 0091A2F0 f cl.o
