ida_ea	va	name	signature	family
0x00528440	0x00917940	?CL_GetGlconfig@@YAXPAUglconfig_t@@@Z	void __cdecl CL_GetGlconfig(struct glconfig_t *)	cl.o
0x00528460	0x00917960	?CL_GetUserCmd@@YAHHPAUusercmd_s@@@Z	int __cdecl CL_GetUserCmd(int,struct usercmd_s *)	cl.o
0x005284E0	0x009179E0	?CL_GetCurrentCmdNumber@@YAHXZ	int __cdecl CL_GetCurrentCmdNumber(void)	cl.o
0x00528500	0x00917A00	?CL_CapTurnRate@@YAXMM@Z	void __cdecl CL_CapTurnRate(float,float)	cl.o
0x00528530	0x00917A30	?CL_SetViewAngles@@YAXQAM@Z	void __cdecl CL_SetViewAngles(float * const)	cl.o
0x005285B0	0x00917AB0	?CL_SetViewAnglesAxis@@YAXHM@Z	void __cdecl CL_SetViewAnglesAxis(int,float)	cl.o
0x00528670	0x00917B70	?CL_SaveWrite@@YAXPBXH@Z	void __cdecl CL_SaveWrite(void const *,int)	cl.o
0x005286F0	0x00917BF0	?CL_LoadRead@@YAXPBXH@Z	void __cdecl CL_LoadRead(void const *,int)	cl.o
0x00528710	0x00917C10	?CL_GetCurrentSnapshotNumber@@YAXPAH0@Z	void __cdecl CL_GetCurrentSnapshotNumber(int *,int *)	cl.o
0x00528750	0x00917C50	?CL_GetSnapshot@@YAHHPAUsnapshot_t@@@Z	int __cdecl CL_GetSnapshot(int,struct snapshot_t *)	cl.o
0x005287F0	0x00917CF0	?CL_SetUserCmdValue@@YAXHHM@Z	void __cdecl CL_SetUserCmdValue(int,int,float)	cl.o
0x00528820	0x00917D20	?CL_SetUserCmdAimValues@@YAXMMMMM@Z	void __cdecl CL_SetUserCmdAimValues(float,float,float,float,float)	cl.o
0x00528880	0x00917D80	?CL_SetUserCmdInShellshock@@YAXH@Z	void __cdecl CL_SetUserCmdInShellshock(int)	cl.o
0x005288A0	0x00917DA0	?CL_AddCgameCommand@@YAXPBDP6AXXZ@Z	void __cdecl CL_AddCgameCommand(char const *,void (__cdecl*)(void))	cl.o
0x005288B0	0x00917DB0	?CL_CM_LoadMap@@YAXPBD@Z	void __cdecl CL_CM_LoadMap(char const *)	cl.o
0x005288C0	0x00917DC0	?CL_ShutdownCGame@@YAXXZ	void __cdecl CL_ShutdownCGame(void)	cl.o
0x00528900	0x00917E00	?CL_DObjInvalidateSkels@@YAXXZ	void __cdecl CL_DObjInvalidateSkels(void)	cl.o
0x00528960	0x00917E60	?CL_DObjCalcAnim@@YAXPAVDObj@@QAH@Z	void __cdecl CL_DObjCalcAnim(class DObj *,int * const)	cl.o
0x00528970	0x00917E70	?CL_DObjCreateSkelForBone@@YAHPAVDObj@@H@Z	int __cdecl CL_DObjCreateSkelForBone(class DObj *,int)	cl.o
0x00528A10	0x00917F10	?CL_DObjCreateSkelForBones@@YAHPAVDObj@@QAH@Z	int __cdecl CL_DObjCreateSkelForBones(class DObj *,int * const)	cl.o
0x00528AF0	0x00917FF0	?CL_DObjCalcSkel@@YAXPAVDObj@@QAH@Z	void __cdecl CL_DObjCalcSkel(class DObj *,int * const)	cl.o
0x00528BA0	0x009180A0	?LoadWorld@@YAXPBD@Z	void __cdecl LoadWorld(char const *)	cl.o
0x00528BD0	0x009180D0	?CL_CgameSystemCalls@@YAHPAH@Z	int __cdecl CL_CgameSystemCalls(int *)	cl.o
0x00528E20	0x00918320	?CL_GameCommand@@YAHXZ	int __cdecl CL_GameCommand(void)	cl.o
0x00528E40	0x00918340	?CL_CGameRendering@@YAXXZ	void __cdecl CL_CGameRendering(void)	cl.o
0x00528E70	0x00918370	?CL_FirstSnapshot@@YAXXZ	void __cdecl CL_FirstSnapshot(void)	cl.o
0x00528F60	0x00918460	?CL_SetCGameTime@@YAXXZ	void __cdecl CL_SetCGameTime(void)	cl.o
0x00528F80	0x00918480	?CL_SaveViewModelAnimTrees@@YAXXZ	void __cdecl CL_SaveViewModelAnimTrees(void)	cl.o
0x00528FA0	0x009184A0	?CL_LoadViewModelAnimTrees@@YAXXZ	void __cdecl CL_LoadViewModelAnimTrees(void)	cl.o
0x00528FC0	0x009184C0	?CL_SaveWeaponInfo@@YAXXZ	void __cdecl CL_SaveWeaponInfo(void)	cl.o
0x00528FE0	0x009184E0	?CL_LoadWeaponInfo@@YAXXZ	void __cdecl CL_LoadWeaponInfo(void)	cl.o
0x00529000	0x00918500	?CL_LookupColor@@YAXEQAM@Z	void __cdecl CL_LookupColor(unsigned char,float * const)	cl.o
0x00529070	0x00918570	?Con_ToggleConsole_f@@YAXXZ	void __cdecl Con_ToggleConsole_f(void)	cl.o
0x005290C0	0x009185C0	?Con_Dump_f@@YAXXZ	void __cdecl Con_Dump_f(void)	cl.o
0x00529550	0x00918A50	?CL_SaveMessages@@YAHPAEH@Z	int __cdecl CL_SaveMessages(unsigned char *,int)	cl.o
0x005295A0	0x00918AA0	?Con_DrawMiniConsole@@YAXHHM@Z	void __cdecl Con_DrawMiniConsole(int,int,float)	cl.o
0x005295B0	0x00918AB0	?Con_DrawSubtitles@@YAXHHMW4msgwnd_mode_t@@@Z	void __cdecl Con_DrawSubtitles(int,int,float,enum msgwnd_mode_t)	cl.o
0x005295C0	0x00918AC0	?Con_RunConsole@@YAXXZ	void __cdecl Con_RunConsole(void)	cl.o
0x00529650	0x00918B50	?Con_PageUp@@YAXXZ	void __cdecl Con_PageUp(void)	cl.o
0x00529680	0x00918B80	?Con_PageDown@@YAXXZ	void __cdecl Con_PageDown(void)	cl.o
0x005296A0	0x00918BA0	?Con_Top@@YAXXZ	void __cdecl Con_Top(void)	cl.o
0x005296C0	0x00918BC0	?Con_Bottom@@YAXXZ	void __cdecl Con_Bottom(void)	cl.o
0x00529720	0x00918C20	?Con_ClearNotify@@YAXXZ	void __cdecl Con_ClearNotify(void)	cl.o
0x00529780	0x00918C80	?Con_ClearMiniConsole@@YAXXZ	void __cdecl Con_ClearMiniConsole(void)	cl.o
0x00529790	0x00918C90	?Con_ClearSubtitles@@YAXXZ	void __cdecl Con_ClearSubtitles(void)	cl.o
0x005297A0	0x00918CA0	?Con_CheckResize@@YAXXZ	void __cdecl Con_CheckResize(void)	cl.o
