ida_ea	name	signature	source_cpp
0x00528440	?CL_GetGlconfig@@YAXPAUglconfig_t@@@Z	void __cdecl CL_GetGlconfig(struct glconfig_t *)	
0x00528460	?CL_GetUserCmd@@YAHHPAUusercmd_s@@@Z	int __cdecl CL_GetUserCmd(int,struct usercmd_s *)	
0x005284E0	?CL_GetCurrentCmdNumber@@YAHXZ	int __cdecl CL_GetCurrentCmdNumber(void)	
0x00528500	?CL_CapTurnRate@@YAXMM@Z	void __cdecl CL_CapTurnRate(float,float)	
0x00528530	?CL_SetViewAngles@@YAXQAM@Z	void __cdecl CL_SetViewAngles(float * const)	
0x005285B0	?CL_SetViewAnglesAxis@@YAXHM@Z	void __cdecl CL_SetViewAnglesAxis(int,float)	
0x00528670	?CL_SaveWrite@@YAXPBXH@Z	void __cdecl CL_SaveWrite(void const *,int)	
0x005286F0	?CL_LoadRead@@YAXPBXH@Z	void __cdecl CL_LoadRead(void const *,int)	
0x00528710	?CL_GetCurrentSnapshotNumber@@YAXPAH0@Z	void __cdecl CL_GetCurrentSnapshotNumber(int *,int *)	
0x00528750	?CL_GetSnapshot@@YAHHPAUsnapshot_t@@@Z	int __cdecl CL_GetSnapshot(int,struct snapshot_t *)	
0x005287F0	?CL_SetUserCmdValue@@YAXHHM@Z	void __cdecl CL_SetUserCmdValue(int,int,float)	
0x00528820	?CL_SetUserCmdAimValues@@YAXMMMMM@Z	void __cdecl CL_SetUserCmdAimValues(float,float,float,float,float)	
0x00528880	?CL_SetUserCmdInShellshock@@YAXH@Z	void __cdecl CL_SetUserCmdInShellshock(int)	
0x005288A0	?CL_AddCgameCommand@@YAXPBDP6AXXZ@Z	void __cdecl CL_AddCgameCommand(char const *,void (__cdecl*)(void))	
0x005288B0	?CL_CM_LoadMap@@YAXPBD@Z	void __cdecl CL_CM_LoadMap(char const *)	
0x005288C0	?CL_ShutdownCGame@@YAXXZ	void __cdecl CL_ShutdownCGame(void)	
0x00528900	?CL_DObjInvalidateSkels@@YAXXZ	void __cdecl CL_DObjInvalidateSkels(void)	
0x00528960	?CL_DObjCalcAnim@@YAXPAVDObj@@QAH@Z	void __cdecl CL_DObjCalcAnim(class DObj *,int * const)	
0x00528970	?CL_DObjCreateSkelForBone@@YAHPAVDObj@@H@Z	int __cdecl CL_DObjCreateSkelForBone(class DObj *,int)	
0x00528A10	?CL_DObjCreateSkelForBones@@YAHPAVDObj@@QAH@Z	int __cdecl CL_DObjCreateSkelForBones(class DObj *,int * const)	
0x00528AF0	?CL_DObjCalcSkel@@YAXPAVDObj@@QAH@Z	void __cdecl CL_DObjCalcSkel(class DObj *,int * const)	
0x00528BA0	?LoadWorld@@YAXPBD@Z	void __cdecl LoadWorld(char const *)	
0x00528BD0	?CL_CgameSystemCalls@@YAHPAH@Z	int __cdecl CL_CgameSystemCalls(int *)	
0x00528E20	?CL_GameCommand@@YAHXZ	int __cdecl CL_GameCommand(void)	
0x00528E40	?CL_CGameRendering@@YAXXZ	void __cdecl CL_CGameRendering(void)	
0x00528E70	?CL_FirstSnapshot@@YAXXZ	void __cdecl CL_FirstSnapshot(void)	
0x00528F60	?CL_SetCGameTime@@YAXXZ	void __cdecl CL_SetCGameTime(void)	
0x00528F80	?CL_SaveViewModelAnimTrees@@YAXXZ	void __cdecl CL_SaveViewModelAnimTrees(void)	
0x00528FA0	?CL_LoadViewModelAnimTrees@@YAXXZ	void __cdecl CL_LoadViewModelAnimTrees(void)	
0x00528FC0	?CL_SaveWeaponInfo@@YAXXZ	void __cdecl CL_SaveWeaponInfo(void)	
0x00528FE0	?CL_LoadWeaponInfo@@YAXXZ	void __cdecl CL_LoadWeaponInfo(void)	
0x00529000	?CL_LookupColor@@YAXEQAM@Z	void __cdecl CL_LookupColor(unsigned char,float * const)	
0x00529070	?Con_ToggleConsole_f@@YAXXZ	void __cdecl Con_ToggleConsole_f(void)	
0x005290C0	?Con_Dump_f@@YAXXZ	void __cdecl Con_Dump_f(void)	
0x00529550	?CL_SaveMessages@@YAHPAEH@Z	int __cdecl CL_SaveMessages(unsigned char *,int)	
0x005295A0	?Con_DrawMiniConsole@@YAXHHM@Z	void __cdecl Con_DrawMiniConsole(int,int,float)	
0x005295B0	?Con_DrawSubtitles@@YAXHHMW4msgwnd_mode_t@@@Z	void __cdecl Con_DrawSubtitles(int,int,float,enum msgwnd_mode_t)	
0x005295C0	?Con_RunConsole@@YAXXZ	void __cdecl Con_RunConsole(void)	
0x00529650	?Con_PageUp@@YAXXZ	void __cdecl Con_PageUp(void)	
0x00529680	?Con_PageDown@@YAXXZ	void __cdecl Con_PageDown(void)	
0x005296A0	?Con_Top@@YAXXZ	void __cdecl Con_Top(void)	
0x005296C0	?Con_Bottom@@YAXXZ	void __cdecl Con_Bottom(void)	
0x00529720	?Con_ClearNotify@@YAXXZ	void __cdecl Con_ClearNotify(void)	
0x00529780	?Con_ClearMiniConsole@@YAXXZ	void __cdecl Con_ClearMiniConsole(void)	
0x00529790	?Con_ClearSubtitles@@YAXXZ	void __cdecl Con_ClearSubtitles(void)	
0x005297A0	?Con_CheckResize@@YAXXZ	void __cdecl Con_CheckResize(void)	
0x00529AB0	?Con_UpdateNotifyLine@@YAXW4print_msg_type_t@@HHH@Z	void __cdecl Con_UpdateNotifyLine(enum print_msg_type_t,int,int,int)	
0x00529DD0	?Con_Linefeed@@YAXW4print_msg_type_t@@HH@Z	void __cdecl Con_Linefeed(enum print_msg_type_t,int,int)	
0x0052A270	?Con_DrawStringOnHUD@@YAXHHPBFHMH@Z	void __cdecl Con_DrawStringOnHUD(int,int,short const *,int,float,int)	
0x0052A530	?CL_BackUpKeys@@YAXXZ	void __cdecl CL_BackUpKeys(void)	
0x0052A560	?CL_RecallKeys@@YAXXZ	void __cdecl CL_RecallKeys(void)	
0x0052A590	?CL_InitButtons@@YAXXZ	void __cdecl CL_InitButtons(void)	
0x0052A5C0	?IN_MLookDown@@YAXXZ	void __cdecl IN_MLookDown(void)	
0x0052A5D0	?IN_KeyDown@@YAXPAUkbutton_t@@HH@Z	void __cdecl IN_KeyDown(struct kbutton_t *,int,int)	
