ida_ea	name	signature	source_cpp
0x007E1AA0	?compute_motor_speed@?A0x259e6277@@YAGM@Z	unsigned short __cdecl `anonymous namespace'::compute_motor_speed(float)	
0x007E1B10	?refresh_device_list@?A0x259e6277@@YAXXZ	void __cdecl `anonymous namespace'::refresh_device_list(void)	
0x007E1C60	??0controller@@QAE@XZ	public: __thiscall controller::controller(void)	
0x007E1D90	?inst@controller@@SAPAV1@XZ	public: static class controller * __cdecl controller::inst(void)	
0x007E1DC0	?poll@controller@@QAEXXZ	public: void __thiscall controller::poll(void)	
0x007E2030	?controller_is_connected@controller@@QAE_NH@Z	public: bool __thiscall controller::controller_is_connected(int)	
0x007E2050	?button_value@controller@@QAEHHW4ButtonIndex@1@@Z	public: int __thiscall controller::button_value(int,enum controller::ButtonIndex)	
0x007E2220	?button_released@controller@@QAE_NHW4ButtonIndex@1@@Z	public: bool __thiscall controller::button_released(int,enum controller::ButtonIndex)	
0x007E23D0	?button_released_clear@controller@@QAE_NHW4ButtonIndex@1@@Z	public: bool __thiscall controller::button_released_clear(int,enum controller::ButtonIndex)	
0x007E2670	?button_pressed@controller@@QAE_NHW4ButtonIndex@1@@Z	public: bool __thiscall controller::button_pressed(int,enum controller::ButtonIndex)	
0x007E2810	?button_pressed_clear@controller@@QAE_NHW4ButtonIndex@1@@Z	public: bool __thiscall controller::button_pressed_clear(int,enum controller::ButtonIndex)	
0x007E2AB0	?stick_value@controller@@QAEXHW4StickIndex@1@AAH1@Z	public: void __thiscall controller::stick_value(int,enum controller::StickIndex,int &,int &)	
0x007E2B20	?rumble@controller@@QAEXHW4RumbleIndex@1@M@Z	public: void __thiscall controller::rumble(int,enum controller::RumbleIndex,float)	
0x007E2C50	?stop_all_rumble@controller@@QAEXXZ	public: void __thiscall controller::stop_all_rumble(void)	
