index	status	map_line
1	VERIFIED	0002:000b3e80 ??0PoolConfig@PoolAllocator@@QAE@IIIPAX@Z 008A3380 f i core.o VERIFIED: FUNCTION existing PoolConfig field-order constructor matches IDA
2	VERIFIED	0002:000b3eb0 ?SetAllocator@WaitTilOutput@@SAXPAVPoolAllocator@@@Z 008A33B0 f i core.o VERIFIED: FUNCTION existing allocator setter matches IDA
3	SKIPPED	0002:000b3ec0 ?assign@?$char_traits@D@std@@SAXAADABD@Z 008A33C0 f i core.o  SKIPPED: STL/compiler helper; supplied by the toolchain/library
4	SKIPPED	0002:000b3ee0 ?length@?$char_traits@D@std@@SAIPBD@Z 008A33E0 f i core.o  SKIPPED: STL/compiler helper; supplied by the toolchain/library
5	VERIFIED	0002:000b3f10 ?SetAllocator@AeThreadState@@SAXPAVPoolAllocator@@@Z 008A3410 f i core.o VERIFIED: FUNCTION existing allocator setter matches IDA
6	SKIPPED	0002:000b3f20 ?copy@?$char_traits@D@std@@SAPADPADPBDI@Z 008A3420 f i core.o  SKIPPED: STL/compiler helper; supplied by the toolchain/library
7	SKIPPED	0002:000b3f50 ?move@?$char_traits@D@std@@SAPADPADPBDI@Z 008A3450 f i core.o  SKIPPED: STL/compiler helper; supplied by the toolchain/library
8	VERIFIED	0002:000b3f60 ?get_dlist_node_offset@EndOnScriptNode@@SAHXZ 008A3460 f i core.o VERIFIED: FUNCTION existing zero dlist-node offset accessor matches IDA
9	VERIFIED	0002:000b3f70 ?SetAllocator@EndOnScriptNode@@SAXPAVPoolAllocator@@@Z 008A3470 f i core.o VERIFIED: FUNCTION existing allocator setter matches IDA
10	VERIFIED	0002:000b3f80 ?get_dlist_node_offset@EntityNotify@@SAHXZ 008A3480 f i core.o VERIFIED: FUNCTION existing zero dlist-node offset accessor matches IDA
11	VERIFIED	0002:000b3f90 ??3EntityNotify@@SAXPAX@Z 008A3490 f i core.o
12	VERIFIED	0002:000b3fb0 ?GetStr@EntityNotify@@QBEIXZ 008A34B0 f i core.o VERIFIED: FUNCTION existing mStr getter matches IDA
