ida_ea	va	name	signature	family
0x004B5650	0x008A4B50	??1EntityNotify@@QAE@XZ	public: __thiscall EntityNotify::~EntityNotify(void)	core.o
0x004B5670	0x008A4B70	?FS_Initialized@@YAHXZ	int __cdecl FS_Initialized(void)	core.o
0x004B5680	0x008A4B80	?FS_CheckFileSystemStarted@@YAXXZ	void __cdecl FS_CheckFileSystemStarted(void)	core.o
0x004B56D0	0x008A4BD0	?FS_LoadStack@@YAHXZ	int __cdecl FS_LoadStack(void)	core.o
0x004B56E0	0x008A4BE0	?FS_UseSearchPath@@YAHPBUsearchpath_s@@@Z	int __cdecl FS_UseSearchPath(struct searchpath_s const *)	core.o
0x004B5720	0x008A4C20	?FS_LanguageHasAssets@@YAHH@Z	int __cdecl FS_LanguageHasAssets(int)	core.o
0x004B5750	0x008A4C50	?FS_HashFileName@@YAJPBDH@Z	long __cdecl FS_HashFileName(char const *,int)	core.o
0x004B57C0	0x008A4CC0	?FS_FileForHandle@@YAPAU_iobuf@@H@Z	struct _iobuf * __cdecl FS_FileForHandle(int)	core.o
0x004B58C0	0x008A4DC0	?FS_ForceFlush@@YAXH@Z	void __cdecl FS_ForceFlush(int)	core.o
0x004B58E0	0x008A4DE0	?FS_filelength@@YAHH@Z	int __cdecl FS_filelength(int)	core.o
0x004B59B0	0x008A4EB0	?FS_Remove@@YAXPBD@Z	void __cdecl FS_Remove(char const *)	core.o
0x004B59F0	0x008A4EF0	?FS_FilenameCompare@@YAHPBD0@Z	int __cdecl FS_FilenameCompare(char const *,char const *)	core.o
0x004B5A70	0x008A4F70	?FS_ShiftedStrStr@@YAPADPBD0H@Z	char * __cdecl FS_ShiftedStrStr(char const *,char const *,int)	core.o
0x004B5AC0	0x008A4FC0	?FS_GetExtensionSubString@@YAPBDPBD@Z	char const * __cdecl FS_GetExtensionSubString(char const *)	core.o
0x004B5B00	0x008A5000	?FS_PureIgnoresExtension@@YAHPBD@Z	int __cdecl FS_PureIgnoresExtension(char const *)	core.o
0x004B5B50	0x008A5050	?FS_ResetFiles@@YAXXZ	void __cdecl FS_ResetFiles(void)	core.o
0x004B5C00	0x008A5100	?FS_AddNonPackFileDirectory@@YAXPBD0@Z	void __cdecl FS_AddNonPackFileDirectory(char const *,char const *)	core.o
0x004B5C70	0x008A5170	?FS_GetDataForFile@@YAPAUfileData_s@@PBD00@Z	struct fileData_s * __cdecl FS_GetDataForFile(char const *,char const *,char const *)	core.o
0x004B5E80	0x008A5380	?FS_ClearDataForFiles@@YAXPAX0@Z	void __cdecl FS_ClearDataForFiles(void *,void *)	core.o
0x004B5F80	0x008A5480	?FS_FTell@@YAHH@Z	int __cdecl FS_FTell(int)	core.o
0x004B5FC0	0x008A54C0	?FS_Flush@@YAXH@Z	void __cdecl FS_Flush(int)	core.o
0x004B5FE0	0x008A54E0	?Q_rand@@YA?BHPAH@Z	int const __cdecl Q_rand(int *)	core.o
