ida_ea	name	signature	source_cpp
0x004B5650	??1EntityNotify@@QAE@XZ	public: __thiscall EntityNotify::~EntityNotify(void)	
0x004B5670	?FS_Initialized@@YAHXZ	int __cdecl FS_Initialized(void)	
0x004B5680	?FS_CheckFileSystemStarted@@YAXXZ	void __cdecl FS_CheckFileSystemStarted(void)	
0x004B56D0	?FS_LoadStack@@YAHXZ	int __cdecl FS_LoadStack(void)	
0x004B56E0	?FS_UseSearchPath@@YAHPBUsearchpath_s@@@Z	int __cdecl FS_UseSearchPath(struct searchpath_s const *)	
0x004B5720	?FS_LanguageHasAssets@@YAHH@Z	int __cdecl FS_LanguageHasAssets(int)	
0x004B5750	?FS_HashFileName@@YAJPBDH@Z	long __cdecl FS_HashFileName(char const *,int)	
0x004B57C0	?FS_FileForHandle@@YAPAU_iobuf@@H@Z	struct _iobuf * __cdecl FS_FileForHandle(int)	
0x004B58C0	?FS_ForceFlush@@YAXH@Z	void __cdecl FS_ForceFlush(int)	
0x004B58E0	?FS_filelength@@YAHH@Z	int __cdecl FS_filelength(int)	
0x004B59B0	?FS_Remove@@YAXPBD@Z	void __cdecl FS_Remove(char const *)	
0x004B59F0	?FS_FilenameCompare@@YAHPBD0@Z	int __cdecl FS_FilenameCompare(char const *,char const *)	
0x004B5A70	?FS_ShiftedStrStr@@YAPADPBD0H@Z	char * __cdecl FS_ShiftedStrStr(char const *,char const *,int)	
0x004B5AC0	?FS_GetExtensionSubString@@YAPBDPBD@Z	char const * __cdecl FS_GetExtensionSubString(char const *)	
0x004B5B00	?FS_PureIgnoresExtension@@YAHPBD@Z	int __cdecl FS_PureIgnoresExtension(char const *)	
0x004B5B50	?FS_ResetFiles@@YAXXZ	void __cdecl FS_ResetFiles(void)	
0x004B5C00	?FS_AddNonPackFileDirectory@@YAXPBD0@Z	void __cdecl FS_AddNonPackFileDirectory(char const *,char const *)	
0x004B5C70	?FS_GetDataForFile@@YAPAUfileData_s@@PBD00@Z	struct fileData_s * __cdecl FS_GetDataForFile(char const *,char const *,char const *)	
0x004B5E80	?FS_ClearDataForFiles@@YAXPAX0@Z	void __cdecl FS_ClearDataForFiles(void *,void *)	
0x004B5F80	?FS_FTell@@YAHH@Z	int __cdecl FS_FTell(int)	
0x004B5FC0	?FS_Flush@@YAXH@Z	void __cdecl FS_Flush(int)	
0x004B5FE0	?Q_rand@@YA?BHPAH@Z	int const __cdecl Q_rand(int *)	
0x004B6000	?Q_random@@YA?BMPAH@Z	float const __cdecl Q_random(int *)	
0x004B6030	?Q_crandom@@YA?BMPAH@Z	float const __cdecl Q_crandom(int *)	
0x004B6070	?Q_log2@@YA?BHH@Z	int const __cdecl Q_log2(int)	
0x004B6090	?Q_acos@@YA?BMM@Z	float const __cdecl Q_acos(float)	
0x004B60D0	?ClampChar@@YA?BCH@Z	signed char const __cdecl ClampChar(int)	
0x004B60F0	?ClampShort@@YA?BFH@Z	short const __cdecl ClampShort(int)	
0x004B6110	?DirToByte@@YA?BEQBM@Z	unsigned char const __cdecl DirToByte(float const * const)	
0x004B6170	?ByteToDir@@YAXHQAM@Z	void __cdecl ByteToDir(int,float * const)	
0x004B61C0	?_DotProduct@@YA?BMQBM0@Z	float const __cdecl _DotProduct(float const * const,float const * const)	
0x004B61E0	?_VectorSubtract@@YAXQBM0QAM@Z	void __cdecl _VectorSubtract(float const * const,float const * const,float * const)	
0x004B6220	?_VectorAdd@@YAXQBM0QAM@Z	void __cdecl _VectorAdd(float const * const,float const * const,float * const)	
0x004B6260	?_VectorCopy@@YAXQBMQAM@Z	void __cdecl _VectorCopy(float const * const,float * const)	
0x004B6280	?_VectorScale@@YAXQBMMQAM@Z	void __cdecl _VectorScale(float const * const,float,float * const)	
0x004B62C0	?_VectorMA@@YAXQBMM0QAM@Z	void __cdecl _VectorMA(float const * const,float,float const * const,float * const)	
0x004B6310	?VectorCompareEpsilon@@YA?BHQBM0@Z	int const __cdecl VectorCompareEpsilon(float const * const,float const * const)	
0x004B6360	?_VectorLength@@YA?BMQBM@Z	float const __cdecl _VectorLength(float const * const)	
