ida_ea	name	gate	result	session	date	source_ref	detail
0x007BD420	??1BlockPool@PoolAllocator@@QAE@XZ	V3	PASS	poolallocator-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1479852-1479857;src/core/PoolAllocator.cpp:171-176	Release frees mBlockPtr only when mPreallocatedBlock is false; source performs the same conditional free.
0x007BD420	??1BlockPool@PoolAllocator@@QAE@XZ	V4	PASS	poolallocator-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1479852-1479857;src/core/PoolAllocator.cpp:171-176	Exact release/source destructor behavior.
0x007BD610	?GetMemSize@PoolAllocator@@QBEHXZ	V3	PASS	poolallocator-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1479987-1480001;src/core/PoolAllocator.cpp:443-449	Release sums each pool entry size times capacity; source uses the same accumulator over mPoolArray.
0x007BD610	?GetMemSize@PoolAllocator@@QBEHXZ	V4	PASS	poolallocator-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1479987-1480001;src/core/PoolAllocator.cpp:443-449	Exact release/source memory-size calculation.
0x007BD640	?GetMemRemaining@PoolAllocator@@QBEHXZ	V3	PASS	poolallocator-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1480003-1480017;src/core/PoolAllocator.cpp:455-461	Release sums each pool entry size times remaining blocks; source uses the same accumulator over mPoolArray.
0x007BD640	?GetMemRemaining@PoolAllocator@@QBEHXZ	V4	PASS	poolallocator-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1480003-1480017;src/core/PoolAllocator.cpp:455-461	Exact release/source remaining-memory calculation.
0x007BD9F0	??1PoolAllocator@@QAE@XZ	V3	PASS	poolallocator-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1480202-1480226;src/core/PoolAllocator.cpp:325-348	Release iterates all pools, reports unreleased allocations, frees non-preallocated blocks, and frees pool objects; source performs the same operations.
0x007BD9F0	??1PoolAllocator@@QAE@XZ	V4	PASS	poolallocator-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1480202-1480226;src/core/PoolAllocator.cpp:325-348	Equivalent release/source destructor control flow and diagnostics.
0x007BDC90	?ReportAllocations@PoolAllocator@@QAEXXZ	V3	PASS	poolallocator-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1480362-1480374;src/core/PoolAllocator.cpp:499-503	Release reports each pool's size, capacity, used count, and maximum usage; source dispatches the same report for every pool.
0x007BDC90	?ReportAllocations@PoolAllocator@@QAEXXZ	V4	PASS	poolallocator-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1480362-1480374;src/core/PoolAllocator.cpp:499-503	Equivalent release/source per-pool allocation reporting.
