ida_ea	name	gate	result	session	date	source_ref	detail
0x007BF6B0	?StartShotPerfTest@ShaderCommon@@YAPAXXZ	V3	PASS	ida-manual-shotperf-20260828	2026-08-28	IDA:0x007BF6B0;src/render/ShaderCommon.cpp:348-353;src/game/logic/g_entity_misc.cpp:3304-3309	Source routes the global ABI shim to ShaderCommon::StartShotPerfTest.
0x007BF6B0	?StartShotPerfTest@ShaderCommon@@YAPAXXZ	V4	PASS	ida-manual-shotperf-20260828	2026-08-28	IDA:0x007BF6B0;c3_bin/codmp_xboxr.xbe.c:1482043-1482053	Release allocates a 0x5D0 ShotPerfTest block and constructs it when allocation succeeds; source matches.
0x007BF3D0	?ToggleParticles@@YAXXZ	V3	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481864-1481872;src/render/ShaderCommon.cpp:313-318	Release has a concrete bit-toggle body; source reads, toggles, stores, and returns the particle bit.
0x007BF3D0	?ToggleParticles@@YAXXZ	V4	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481864-1481872;src/render/ShaderCommon.cpp:313-318	Release and source use the same ShaderSwitching expression and byte store; map YAX versus emitted YAD is covered by symbol_variants.
0x007BF3F0	?ToggleFog@@YAXXZ	V3	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481875-1481883;src/render/ShaderCommon.cpp:321-326	Release has a concrete bit-toggle body; source reads, toggles, stores, and returns the fog bit.
0x007BF3F0	?ToggleFog@@YAXXZ	V4	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481875-1481883;src/render/ShaderCommon.cpp:321-326	Release and source use the same ShaderSwitching expression and byte store; map YAX versus emitted YAD is covered by symbol_variants.
0x007BF410	?SetDebugRenderMode@ShaderCommon@@YAXW4EDebugRenderMode@1@@Z	V3	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481886-1481890;src/render/ShaderCommon.cpp:333-335	Release has a concrete global assignment; source assigns the enum value to sDebugRenderMode.
0x007BF410	?SetDebugRenderMode@ShaderCommon@@YAXW4EDebugRenderMode@1@@Z	V4	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481886-1481890;src/render/ShaderCommon.cpp:333-335	Release and source perform the same sDebugRenderMode assignment.
0x007BF420	?GetDebugRenderMode@ShaderCommon@@YA?AW4EDebugRenderMode@1@XZ	V3	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481892-1481896;src/render/ShaderCommon.cpp:339-341	Release has a concrete getter; source returns sDebugRenderMode as EDebugRenderMode.
0x007BF420	?GetDebugRenderMode@ShaderCommon@@YA?AW4EDebugRenderMode@1@XZ	V4	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481892-1481896;src/render/ShaderCommon.cpp:339-341	Release and source return the same debug-render-mode global.
0x007BF430	?SetTextureSizeMipLevel@ShaderCommon@@YAXH@Z	V3	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481898-1481902;src/render/ShaderCommon.cpp:345-347	Release has a concrete global assignment; source assigns Level to gTextureSizeMipLevel.
0x007BF430	?SetTextureSizeMipLevel@ShaderCommon@@YAXH@Z	V4	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481898-1481902;src/render/ShaderCommon.cpp:345-347	Release and source perform the same gTextureSizeMipLevel assignment.
0x007BF440	?FinishShotPerfTest@ShaderCommon@@YAXPAX@Z	V3	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481904-1481908;src/render/ShaderCommon.cpp:353-355	Release has a concrete heap-free body; source forwards the perf buffer to mem_heap_free.
0x007BF440	?FinishShotPerfTest@ShaderCommon@@YAXPAX@Z	V4	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481904-1481908;src/render/ShaderCommon.cpp:353-355	Release and source call mem_heap_free with the supplied perf buffer.
0x007BF450	?InitShaders@ShaderCommon@@YAXXZ	V3	PASS	shadercommon-manual-20260829	2026-08-29	IDA:decompile:0x007BF450;src/render/ShaderCommon.cpp:392-427	Release has a concrete ordered shader-initialization sequence; source contains every call including the 0x418157 thunk target.
0x007BF450	?InitShaders@ShaderCommon@@YAXXZ	V4	PASS	shadercommon-manual-20260829	2026-08-29	IDA:disasm:0x007BF450-0x007BF4F8;IDA:decompile:0x00418157;src/render/ShaderCommon.cpp:392-427	Release order is matched exactly; the apparent j_nullsub_42 call is verified as InitCDHeatHazeShader, now present between InitCDGlassShader and InitCDGlowShader.
0x007BF500	?RegisterShaders@ShaderCommon@@YAXXZ	V3	PASS	shadercommon-manual-20260829	2026-08-29	IDA:0x007BF500;src/render/ShaderCommon.cpp:417-419	IDA confirms the release function is intentionally a single RETN with no body; source is the corresponding intentional empty hook.
0x007BF500	?RegisterShaders@ShaderCommon@@YAXXZ	V4	PASS	shadercommon-manual-20260829	2026-08-29	IDA:0x007BF500;src/render/ShaderCommon.cpp:417-419	Release and source both intentionally do nothing; this empty body is explicitly verified rather than an unreviewed stub.
0x007BF510	?SetupFrame@ShaderCommon@@YAXM@Z	V3	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481985-1481989;src/render/ShaderCommon.cpp:422-425	Release has a concrete time-update body; source accumulates gTime and forwards it to nglSetAnimTime.
0x007BF510	?SetupFrame@ShaderCommon@@YAXM@Z	V4	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481985-1481989;src/render/ShaderCommon.cpp:422-425	Release and source perform the same gTime addition and nglSetAnimTime call.
0x007BF540	?SetupSceneCallback@ShaderCommon@@YAXPAX@Z	V3	PASS	shadercommon-manual-20260829	2026-08-29	IDA:0x007BF540;src/render/ShaderCommon.cpp:428-430	IDA confirms the release callback is an intentional single RETN; source accepts the ABI Data argument and preserves the no-op behavior.
0x007BF540	?SetupSceneCallback@ShaderCommon@@YAXPAX@Z	V4	PASS	shadercommon-manual-20260829	2026-08-29	IDA:0x007BF540;src/render/ShaderCommon.cpp:428-430	Release and source both intentionally ignore the callback data and return; the empty hook is explicitly verified.
0x007BF550	?ShaderGetTexture@ShaderCommon@@YAPAUnglTexture@@ABVtlFixedString@@@Z	V3	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481992-1482004;src/render/ShaderCommon.cpp:434-442	Release checks the fixed-string hash, looks up the texture, logs the missing name, and falls back to nglDefaultTex; source matches.
0x007BF550	?ShaderGetTexture@ShaderCommon@@YAPAUnglTexture@@ABVtlFixedString@@@Z	V4	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1481992-1482004;src/render/ShaderCommon.cpp:434-442	Release and source use the same hash/lookup condition, missing-texture diagnostic, and default texture return.
0x007BF5A0	?ShaderGetTextureNoDefault@ShaderCommon@@YAPAUnglTexture@@ABVtlFixedString@@@Z	V3	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1482006-1482018;src/render/ShaderCommon.cpp:445-453	Release returns null for an empty hash or the default texture and otherwise returns nglGetTexture; source matches.
0x007BF5A0	?ShaderGetTextureNoDefault@ShaderCommon@@YAPAUnglTexture@@ABVtlFixedString@@@Z	V4	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1482006-1482018;src/render/ShaderCommon.cpp:445-453	Release and source perform the same hash test, lookup, default-texture suppression, and return.
0x007BF5D0	?GetFarFogColor@ShaderCommon@@YA?AVVector4@math@@XZ	V3	PASS	shadercommon-manual-20260829	2026-08-29	c3_bin/codmp_xboxr.xbe.c:1482020-1482026;src/render/ShaderCommon.cpp:458-462	Release copies nglBuildScene FogColor into FarFogColor and the caller result; source matches the pointer/sret ABI.
