ida_ea	name	gate	result	session	date	source_ref	detail
0x007BED90	?ae_stricmpn@@YAHPBD0H@Z	V3	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA:0x007BED90;src/core/ae_string_support.cpp:32	Source contains the complete bounded case-insensitive comparison body, including the release loop termination and difference return.
0x007BED90	?ae_stricmpn@@YAHPBD0H@Z	V4	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA disasm:0x007BED90;release C dump:0x007BED90;src/core/ae_string_support.cpp:32	Manual comparison matches release signed byte loads (movsx), n==0 termination, ASCII uppercase folding, NUL termination, and eax-ecx difference result.
0x007BEDF0	?StrStrEqu@AeStringSupport@@YA_NPBDH0H@Z	V3	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA:0x007BEDF0;src/core/ae_string_support.cpp:54	Source contains the complete alignment-assert, length gate, dword comparison, remainder comparison, and boolean return body.
0x007BEDF0	?StrStrEqu@AeStringSupport@@YA_NPBDH0H@Z	V4	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA disasm:0x007BEDF0;release C dump:0x007BEDF0;src/core/ae_string_support.cpp:54	Manual comparison matches release alignment metadata, rhsLen wildcard rule, four-byte loop, byte remainder loop, and true/false exits.
0x007BEF00	?StrCStrEqu@AeStringSupport@@YA_NPBDH0H@Z	V3	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA:0x007BEF00;src/core/ae_string_support.cpp:104	Source contains the complete length gate, -1 sentinel handling, offset-based byte comparison, and result exits.
0x007BEF00	?StrCStrEqu@AeStringSupport@@YA_NPBDH0H@Z	V4	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA disasm:0x007BEF00;release C dump:0x007BEF00;src/core/ae_string_support.cpp:104	Manual comparison matches release lhsLen/rhsLen check, lhsLen+1 iteration, rhsBuff-lhsBuff offset, and byte-equality termination.
0x007BEF50	?CStrToAeStr@AeStringSupport@@YAXPADAAHHPBD@Z	V3	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA:0x007BEF50;src/core/ae_string_support.cpp:124	Source contains the complete null/empty handling, capacity-bounded copy, terminator write, and output-length update.
0x007BEF50	?CStrToAeStr@AeStringSupport@@YAXPADAAHHPBD@Z	V4	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA disasm:0x007BEF50;release C dump:0x007BEF50;src/core/ae_string_support.cpp:124	Manual comparison matches release copy loop, capacity stop, source-null/empty path, NUL write, and length result.
0x007BEFA0	?Concat@AeStringSupport@@YAXPADAAHHPBD@Z	V3	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA:0x007BEFA0;src/core/ae_string_support.cpp:145	Source contains the complete null-source guard, destination offset, capacity-bounded append, terminator write, and length update.
0x007BEFA0	?Concat@AeStringSupport@@YAXPADAAHHPBD@Z	V4	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA disasm:0x007BEFA0;release C dump:0x007BEFA0;src/core/ae_string_support.cpp:145	Manual comparison matches release append loop, capacity check, source termination, destination NUL, and in-place length increments.
0x007BEFE0	?AeStrCopy@AeStringSupport@@YAXPADAAHHPBDH@Z	V3	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA:0x007BEFE0;src/core/ae_string_support.cpp:168	Source contains the complete capacity clamp, dword copy, remainder copy, terminator, and output-length body.
0x007BEFE0	?AeStrCopy@AeStringSupport@@YAXPADAAHHPBDH@Z	V4	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA disasm:0x007BEFE0;release C dump:0x007BEFE0;src/core/ae_string_support.cpp:168	Manual comparison matches release min(capacity,srcLen), four-byte copy stride, remainder offset copy, NUL write, and length assignment.
0x007BF040	?SubStr@AeStringSupport@@YAXPADAAHPBDHHH@Z	V3	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA:0x007BF040;src/core/ae_string_support.cpp:197	Source contains the complete source-capacity guard, bounded end calculation, NUL-aware copy, output length, and terminator.
0x007BF040	?SubStr@AeStringSupport@@YAXPADAAHPBDHHH@Z	V4	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA disasm:0x007BF040;release C dump:0x007BF040;src/core/ae_string_support.cpp:197	Manual comparison matches release begin/len clamp, source NUL stop, relative destination indexing, length store, and NUL termination.
0x007BF0A0	?Split@AeStringSupport@@YAXPADAAHPBD01DH@Z	V3	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA:0x007BF0A0;src/core/ae_string_support.cpp:220	Source contains the complete delimiter search, overlap-safe temporary copy, no-delimiter move/reset path, and two substring calls.
0x007BF0A0	?Split@AeStringSupport@@YAXPADAAHPBD01DH@Z	V4	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA disasm:0x007BF0A0;release C dump:0x007BF0A0;src/core/ae_string_support.cpp:220	Manual comparison matches release delimiter scan, 512-byte temporary buffer, pointer-offset copy, source reset semantics, and SubStr arguments.
0x007BF160	?GetFileName@AeStringSupport@@YAXPADAAHPBDH_N@Z	V3	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA:0x007BF160;src/core/ae_string_support.cpp:260	Source contains the complete slash/dot scan, extension truncation path, 0xFFFE length clamp, NUL-aware copy, and output update.
0x007BF160	?GetFileName@AeStringSupport@@YAXPADAAHPBDH_N@Z	V4	PASS	ae-fixed-string-manual-20260827	2026-08-27	IDA disasm:0x007BF160;release C dump:0x007BF160;src/core/ae_string_support.cpp:260	Manual comparison matches release slash/dot positions, truncExt branch, SubStr capacity 0xFFFF, 0xFFFE limit, basename copy, and terminator behavior.
