ida_ea	name	gate	result	session	date	source_ref	detail
0x00808730	?GetDelayForDistance@apsLOD@@QBEMM@Z	V3	PASS	ida-manual-aps-action-list-20260830	2026-08-30	src/aeps/apsCommon.h:70-78	Implements enabled check, four-range distance walk, idle-rate fallback, and delay return.
0x00808730	?GetDelayForDistance@apsLOD@@QBEMM@Z	V4	PASS	ida-manual-aps-action-list-20260830	2026-08-30	IDA:0x00808730;src/aeps/apsCommon.h:70-78	Release/source range loop, LOD bound, idle-rate multiplication, and return values match.
0x00808830	?Apply@apsActionList@@QAEXPAVapsGroup@@AAVapsEffect@@MMII@Z	V3	PASS	ida-manual-aps-action-list-20260830	2026-08-30	src/aeps/apsActionList.cpp:65-180	Runs visibility/update-delay logic, source actions, batched actions, chance removal, and collision accumulation.
0x00808830	?Apply@apsActionList@@QAEXPAVapsGroup@@AAVapsEffect@@MMII@Z	V4	PASS	ida-manual-aps-action-list-20260830	2026-08-30	IDA:0x00808830;src/aeps/apsActionList.cpp:65-180	Release/source hitch clamp, LOD selection, source gating/assertions, batching, action iteration, next/end batches, and bounds accumulation match.
0x00808BA0	?EnhancePFD@apsActionList@@QAEXAAVapsPFD@@@Z	V3	PASS	ida-manual-aps-action-list-20260830	2026-08-30	src/aeps/apsActionList.cpp:183-189	Walks every action and adds its required particle fields.
0x00808BA0	?EnhancePFD@apsActionList@@QAEXAAVapsPFD@@@Z	V4	PASS	ida-manual-aps-action-list-20260830	2026-08-30	IDA:0x00808BA0;src/aeps/apsActionList.cpp:183-189	Release/source bounds and AddFields call match.
0x00808BE0	?Fixup@apsActionList@@QAEXABUapsFixupParams@@@Z	V3	PASS	ida-manual-aps-action-list-20260830	2026-08-30	src/aeps/apsActionList.cpp:195-211	Relocates the action-list pointer and each action, then calls each action Fixup.
0x00808BE0	?Fixup@apsActionList@@QAEXABUapsFixupParams@@@Z	V4	PASS	ida-manual-aps-action-list-20260830	2026-08-30	IDA:0x00808BE0;src/aeps/apsActionList.cpp:195-211	Release unconditional list relocation, per-element assertions, pointer fixups, and recursive calls match.
0x00808C90	??0apsActionList@@QAE@XZ	V3	PASS	ida-manual-aps-action-list-20260830	2026-08-30	src/aeps/apsActionList.cpp:216-220	Zero-initializes the action array pointer, capacity, and size.
0x00808C90	??0apsActionList@@QAE@XZ	V4	PASS	ida-manual-aps-action-list-20260830	2026-08-30	IDA:0x00808C90;src/aeps/apsActionList.cpp:216-220	Release/source three field initializations match.
0x00808CA0	??1apsActionList@@QAE@XZ	V3	PASS	ida-manual-aps-action-list-20260830	2026-08-30	src/aeps/apsActionList.cpp:226-247	Destroys owned actions, frees their allocations and the action array, and restores allocator state.
0x00808CA0	??1apsActionList@@QAE@XZ	V4	PASS	ida-manual-aps-action-list-20260830	2026-08-30	IDA:0x00808CA0;src/aeps/apsActionList.cpp:226-247	Release/source iteration, virtual destruction, allocator calls, SetPakAllocs restoration, and field resets match.
0x00808D30	?Add@apsActionList@@QAEXPAVapsAction@@@Z	V3	PASS	ida-manual-aps-action-list-20260830	2026-08-30	src/aeps/apsActionList.cpp:250-255	Prepends source actions and appends non-source actions.
0x00808D30	?Add@apsActionList@@QAEXPAVapsAction@@@Z	V4	PASS	ida-manual-aps-action-list-20260830	2026-08-30	IDA:0x00808D30;src/aeps/apsActionList.cpp:250-255	Release/source iteration-style branch and push operation match.
