ida_ea	name	gate	result	session	date	source_ref	detail
0x00813EB0	?GetVShader@apsBillboardRender@@YAKXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsBillboardNode.cpp:13	Emitted getter body returns the registered vertex shader handle.
0x00813EB0	?GetVShader@apsBillboardRender@@YAKXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00813EB0;src/aeps/apsBillboardNode.cpp:13	Release and source both return VS[0].
0x00813EC0	?GetPShader@apsBillboardRenderPixel@@YAPAKXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsBillboardNode.cpp:20	Emitted getter body returns the registered pixel shader handle.
0x00813EC0	?GetPShader@apsBillboardRenderPixel@@YAPAKXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00813EC0;src/aeps/apsBillboardNode.cpp:20	Release and source both return PS[0].
0x008139F0	??XDir3@math@@QAEABV01@ABVMat43@1@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsMath.cpp:92	Real Mat43 Dir3 transform emits the three-row SIMD multiply and returns this.
0x008139F0	??XDir3@math@@QAEABV01@ABVMat43@1@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008139F0;src/aeps/apsMath.cpp:92	Release and source both transform x/y/z using the Mat43 rows and return the object.
0x00813CB0	?Init@SortedParticleIterator@apsRenderSort@@QAEXPAPAEI@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsBillboardRenderer.cpp:54	Real iterator initializer resets index, stores count, and records the pointer buffer.
0x00813CB0	?Init@SortedParticleIterator@apsRenderSort@@QAEXPAPAEI@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00813CB0;src/aeps/apsBillboardRenderer.cpp:54	Release and source both set m_index=0, m_maxIndex=numParticles, and m_firstParticle=buffer.
0x00813CD0	?Init@UnsortedParticleIterator@apsRenderSort@@QAEXPAEII@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsBillboardRenderer.cpp:88	Real iterator initializer computes the end pointer and stores stride, first, and current particles.
0x00813CD0	?Init@UnsortedParticleIterator@apsRenderSort@@QAEXPAEII@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00813CD0;src/aeps/apsBillboardRenderer.cpp:88	Release and source both compute firstParticle + stride*numParticles and initialize all iterator fields.
0x00813D00	?TestFlags@apsRenderNode@@QBEII@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsBillboardNode.cpp:11	Real flag accessor returns the masked node flags.
0x00813D00	?TestFlags@apsRenderNode@@QBEII@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00813D00;src/aeps/apsBillboardNode.cpp:11	Release and source both return flag & mFlags.
