ida_ea	name	gate	result	session	date	source_ref	detail
0x0081C2C0	?GetVShader@apsColorBillboardRender@@YAKXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorBillboardNode.cpp:13	Emitted getter body returns the registered vertex shader handle.
0x0081C2C0	?GetVShader@apsColorBillboardRender@@YAKXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081C2C0;src/aeps/apsColorBillboardNode.cpp:13	Release and source both return VS[0].
0x0081C2D0	?GetPShader@apsColorBillboardRenderPixel@@YAPAKXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorBillboardNode.cpp:20	Emitted getter body returns the registered pixel shader handle.
0x0081C2D0	?GetPShader@apsColorBillboardRenderPixel@@YAPAKXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081C2D0;src/aeps/apsColorBillboardNode.cpp:20	Release and source both return PS[0].
0x0081C350	??0?$cNodeRenderer@UColorBillboardParticle@@VapsColorBillboardNode@@@@QAE@AAVapsColorBillboardNode@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorBillboardNode.cpp:72	Specialized renderer constructor stores the color-billboard node pointer.
0x0081C350	??0?$cNodeRenderer@UColorBillboardParticle@@VapsColorBillboardNode@@@@QAE@AAVapsColorBillboardNode@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081C350;src/aeps/apsColorBillboardNode.cpp:72	Release and source both initialize mNode from the constructor argument.
0x0081C360	?SetupDefaultShaders@?$cNodeRenderer@UColorBillboardParticle@@VapsColorBillboardNode@@@@QAEXABVMat43@math@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorBillboardNode.cpp:80	Specialized shader setup builds local-to-screen constants and loads color-billboard VS/PS caches.
0x0081C360	?SetupDefaultShaders@?$cNodeRenderer@UColorBillboardParticle@@VapsColorBillboardNode@@@@QAEXABVMat43@math@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081C360;src/aeps/apsColorBillboardNode.cpp:80	Release and source both upload register 6 constants, initialize shader state, and conditionally select color-billboard shaders.
0x0081C610	??$fncompare@UColorBillboardParticle@@@apsRenderSort@@YAHPBX0@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorBillboardNode.cpp:116	Color-billboard sort comparator orders particle pointers by age.
0x0081C610	??$fncompare@UColorBillboardParticle@@@apsRenderSort@@YAHPBX0@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081C610;src/aeps/apsColorBillboardNode.cpp:116	Release and source both compare the age field at particle offset 0x24 with the same descending result convention.
0x0081C650	?SetupShaders@?$cNodeRenderer@UColorBillboardParticle@@VapsColorBillboardNode@@@@QAEXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorBillboardNode.cpp:107	Specialized setup wrapper forwards the node matrix to default shader setup.
0x0081C650	?SetupShaders@?$cNodeRenderer@UColorBillboardParticle@@VapsColorBillboardNode@@@@QAEXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081C650;src/aeps/apsColorBillboardNode.cpp:107	Release and source both call SetupDefaultShaders with &mNode->mLocalToWorld.
0x0081C660	??$SortPointers@UColorBillboardParticle@@@apsRenderSort@@YAXPAUBuffer@0@PAEII@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorBillboardNode.cpp:129	Color-billboard sorter fills the bounded pointer buffer and qsorts it.
0x0081C660	??$SortPointers@UColorBillboardParticle@@@apsRenderSort@@YAXPAUBuffer@0@PAEII@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081C660;src/aeps/apsColorBillboardNode.cpp:129	Release and source both cap by sortBuffer capacity, stride through particles, and call qsort with fncompare.
0x0081C6A0	?Render@?$cNodeRenderer@UColorBillboardParticle@@VapsColorBillboardNode@@@@QAEXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorBillboardNode.cpp:149	Color-billboard renderer applies APS state, selects sorted/unsorted particles, emits quads including velocity-facing geometry, and restores render state.
0x0081C6A0	?Render@?$cNodeRenderer@UColorBillboardParticle@@VapsColorBillboardNode@@@@QAEXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081C6A0;src/aeps/apsColorBillboardNode.cpp:149	Release body has the same state setup, flag-dependent basis selection, age sort, color clamp, four-vertex emission, ReleaseAndDraw, and Z/color-write restoration represented by source.
0x008057E0	?GetDesc@apsColorBillboardNode@@UAEXPAD@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorBillboardRenderer.cpp:63	Node description writes its canonical class name.
0x008057E0	?GetDesc@apsColorBillboardNode@@UAEXPAD@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008057E0;src/aeps/apsColorBillboardRenderer.cpp:63	Release and source both copy apsColorBillboardNode into the caller buffer.
0x0081C2A0	?Render@apsColorBillboardNode@@UAEXXZ	V3	PASS	ida-manual-aps-node-20260828	2026-08-28	src/aeps/apsColorBillboardNode.cpp:291-294	Source constructs the matching ColorBillboard cNodeRenderer and invokes Render.
0x0081C2A0	?Render@apsColorBillboardNode@@UAEXXZ	V4	PASS	ida-manual-aps-node-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1556109-1556116	Release color-billboard wrapper initialization and dispatch match source.
