ida_ea	name	gate	result	session	date	source_ref	detail
0x00805720	?Init@apsColorBillboardRenderer@@SAXXZ	V3	PASS	ida-manual-aps-color-billboard-20260829	2026-08-29	src/aeps/apsColorBillboardRenderer.cpp:42-49	Source directly registers the color billboard vertex and pixel shaders from their table entries.
0x00805720	?Init@apsColorBillboardRenderer@@SAXXZ	V4	PASS	ida-manual-aps-color-billboard-20260829	2026-08-29	IDA:0x00805720;src/aeps/apsColorBillboardRenderer.cpp:42-49	Release/source match both direct registration calls, shader pointers, and table index zero without added guards.
0x00805750	?Render@apsColorBillboardRenderer@@UAE?AW4eRenderResult@apsRenderer@@ABUapsRendererRenderInfo@@@Z	V3	PASS	ida-manual-aps-color-billboard-20260829	2026-08-29	src/aeps/apsColorBillboardRenderer.cpp:54-57	Source dispatches rendering through the color-billboard DefaultRender template.
0x00805750	?Render@apsColorBillboardRenderer@@UAE?AW4eRenderResult@apsRenderer@@ABUapsRendererRenderInfo@@@Z	V4	PASS	ida-manual-aps-color-billboard-20260829	2026-08-29	IDA:0x00805750;src/aeps/apsColorBillboardRenderer.cpp:54-57	Release/source match the apsBillboardRenderer::DefaultRender specialization and render-info forwarding.
0x00805770	?RegisterVShader@apsColorBillboardRender@@YAXXZ	V3	PASS	ida-manual-aps-color-billboard-20260830	2026-08-30	src/aeps/apsColorBillboardRenderer.cpp:12-13	Registers the restored color-billboard vertex shader handle against table entry zero.
0x00805770	?RegisterVShader@apsColorBillboardRender@@YAXXZ	V4	PASS	ida-manual-aps-color-billboard-20260830	2026-08-30	IDA:0x00805770;src/aeps/apsColorBillboardRenderer.cpp:12-13;src/aeps/apsColorBillboardRendererShaderData.cpp:6-24	Release/source call and arguments match; restored 57-dword vertex microcode supplies the table pointer.
0x00805790	?RegisterPShader@apsColorBillboardRenderPixel@@YAXXZ	V3	PASS	ida-manual-aps-color-billboard-20260830	2026-08-30	src/aeps/apsColorBillboardRenderer.cpp:16-17	Registers the restored color-billboard pixel shader handle against table entry zero.
0x00805790	?RegisterPShader@apsColorBillboardRenderPixel@@YAXXZ	V4	PASS	ida-manual-aps-color-billboard-20260830	2026-08-30	IDA:0x00805790;src/aeps/apsColorBillboardRenderer.cpp:16-17;src/aeps/apsColorBillboardRendererShaderData.cpp:27-44	Release/source call and arguments match; restored 60-dword pixel microcode supplies the table pointer.
0x008057B0	?InitPShader@apsColorBillboardRenderPixel@@YAXXZ	V3	PASS	ida-manual-aps-color-billboard-20260830	2026-08-30	src/aeps/apsColorBillboardRenderer.cpp:20-21	Initializes the color-billboard pixel shader through restored registration storage.
0x008057B0	?InitPShader@apsColorBillboardRenderPixel@@YAXXZ	V4	PASS	ida-manual-aps-color-billboard-20260830	2026-08-30	IDA:0x008057B0;src/aeps/apsColorBillboardRenderer.cpp:20-21;src/aeps/apsColorBillboardRendererShaderData.cpp:27-44	Release/source direct nglDxRegisterPShader call and table argument match exactly.
0x00805720	?Init@apsColorBillboardRenderer@@SAXXZ	V4	PASS	ida-manual-aps-color-billboard-20260830	2026-08-30	IDA:0x00805720;src/aeps/apsColorBillboardRenderer.cpp:38-40;src/aeps/apsColorBillboardRendererShaderData.cpp:6-44	With exact release shader tables restored, Init now has the same two unconditional registration calls and non-null handle/table storage as IDA.
