ida_ea	name	gate	result	session	date	source_ref	detail
0x00804960	?Init@apsColorRectangleRenderer@@SAXXZ	V3	PASS	ida-manual-aps-color-rectangle-20260829	2026-08-29	src/aeps/apsColorRectangleRenderer.cpp:42-49	Source directly registers the color-rectangle vertex and pixel shaders from table entry zero.
0x00804960	?Init@apsColorRectangleRenderer@@SAXXZ	V4	PASS	ida-manual-aps-color-rectangle-20260829	2026-08-29	IDA:0x00804960;src/aeps/apsColorRectangleRenderer.cpp:42-49	Release/source match both direct registration calls, shader pointers, and table index zero without added guards.
0x00804990	?Render@apsColorRectangleRenderer@@UAE?AW4eRenderResult@apsRenderer@@ABUapsRendererRenderInfo@@@Z	V3	PASS	ida-manual-aps-color-rectangle-20260829	2026-08-29	src/aeps/apsColorRectangleRenderer.cpp:53-56	Source dispatches rendering through the color-rectangle DefaultRender template.
0x00804990	?Render@apsColorRectangleRenderer@@UAE?AW4eRenderResult@apsRenderer@@ABUapsRendererRenderInfo@@@Z	V4	PASS	ida-manual-aps-color-rectangle-20260829	2026-08-29	IDA:0x00804990;src/aeps/apsColorRectangleRenderer.cpp:53-56	Release/source match the apsBillboardRenderer::DefaultRender specialization and render-info forwarding.
0x008049B0	?RegisterVShader@apsColorRectangleRender@@YAXXZ	V3	PASS	ida-manual-aps-color-rectangle-20260830	2026-08-30	src/aeps/apsColorRectangleRenderer.cpp:12-13	Registers the restored color-rectangle vertex shader handle against table entry zero.
0x008049B0	?RegisterVShader@apsColorRectangleRender@@YAXXZ	V4	PASS	ida-manual-aps-color-rectangle-20260830	2026-08-30	IDA:0x008049B0;src/aeps/apsColorRectangleRenderer.cpp:12-13;src/aeps/apsColorRectangleRendererShaderData.cpp:6-24	Release/source call and arguments match; restored 58-dword vertex microcode supplies the table pointer.
0x008049D0	?RegisterPShader@apsColorRectangleRenderPixel@@YAXXZ	V3	PASS	ida-manual-aps-color-rectangle-20260830	2026-08-30	src/aeps/apsColorRectangleRenderer.cpp:16-17	Registers the restored color-rectangle pixel shader handle against table entry zero.
0x008049D0	?RegisterPShader@apsColorRectangleRenderPixel@@YAXXZ	V4	PASS	ida-manual-aps-color-rectangle-20260830	2026-08-30	IDA:0x008049D0;src/aeps/apsColorRectangleRenderer.cpp:16-17;src/aeps/apsColorRectangleRendererShaderData.cpp:27-44	Release/source call and arguments match; restored 60-dword pixel microcode supplies the table pointer.
0x008049F0	?InitPShader@apsColorRectangleRenderPixel@@YAXXZ	V3	PASS	ida-manual-aps-color-rectangle-20260830	2026-08-30	src/aeps/apsColorRectangleRenderer.cpp:20-21	Initializes the color-rectangle pixel shader through restored registration storage.
0x008049F0	?InitPShader@apsColorRectangleRenderPixel@@YAXXZ	V4	PASS	ida-manual-aps-color-rectangle-20260830	2026-08-30	IDA:0x008049F0;src/aeps/apsColorRectangleRenderer.cpp:20-21;src/aeps/apsColorRectangleRendererShaderData.cpp:27-44	Release/source direct nglDxRegisterPShader call and table argument match exactly.
0x00804960	?Init@apsColorRectangleRenderer@@SAXXZ	V4	PASS	ida-manual-aps-color-rectangle-20260830	2026-08-30	IDA:0x00804960;src/aeps/apsColorRectangleRenderer.cpp:38-40;src/aeps/apsColorRectangleRendererShaderData.cpp:6-44	With exact release shader tables restored, Init now has the same two unconditional registration calls and non-null handle/table storage as IDA.
