ida_ea	name	gate	result	session	date	source_ref	detail
0x0081B010	?GetVShader@apsColorUVARender@@YAKXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVANode.cpp:13	Emitted getter body returns the registered vertex shader handle.
0x0081B010	?GetVShader@apsColorUVARender@@YAKXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081B010;src/aeps/apsColorUVANode.cpp:13	Release and source both return VS[0].
0x0081B020	?GetPShader@apsColorUVARenderPixel@@YAPAKXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVANode.cpp:20	Emitted getter body returns the registered pixel shader handle.
0x0081B020	?GetPShader@apsColorUVARenderPixel@@YAPAKXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081B020;src/aeps/apsColorUVANode.cpp:20	Release and source both return PS[0].
0x00805580	?GetDesc@apsColorUVANode@@UAEXPAD@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVARenderer.cpp:62	Node description emits the canonical color-UVA node name.
0x00805580	?GetDesc@apsColorUVANode@@UAEXPAD@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00805580;src/aeps/apsColorUVARenderer.cpp:62	Release byte stores spell apsColorUVANode and source copies the same string.
0x0081B0A0	??0?$cNodeRenderer@UColorUVAParticle@@VapsColorUVANode@@@@QAE@AAVapsColorUVANode@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVANode.cpp:48	Specialized color-UVA renderer constructor stores the node pointer.
0x0081B0A0	??0?$cNodeRenderer@UColorUVAParticle@@VapsColorUVANode@@@@QAE@AAVapsColorUVANode@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081B0A0;src/aeps/apsColorUVANode.cpp:48	Release and source both assign mNode from the constructor argument.
0x0081B0B0	?SetupDefaultShaders@?$cNodeRenderer@UColorUVAParticle@@VapsColorUVANode@@@@QAEXABVMat43@math@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVANode.cpp:56	Specialized color-UVA shader setup transforms the local matrix and selects color-UVA shader caches.
0x0081B0B0	?SetupDefaultShaders@?$cNodeRenderer@UColorUVAParticle@@VapsColorUVANode@@@@QAEXABVMat43@math@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081B0B0;src/aeps/apsColorUVANode.cpp:56	Release and source both upload register 6 constants, initialize shaders, and conditionally load color-UVA vertex/pixel programs.
0x0081B360	??$fncompare@UColorUVAParticle@@@apsRenderSort@@YAHPBX0@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVANode.cpp:89	Color-UVA sort comparator orders particle pointers by age.
0x0081B360	??$fncompare@UColorUVAParticle@@@apsRenderSort@@YAHPBX0@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081B360;src/aeps/apsColorUVANode.cpp:89	Release and source both compare the particle age field at offset 0x28 with the same descending convention.
0x0081B3A0	?SetupShaders@?$cNodeRenderer@UColorUVAParticle@@VapsColorUVANode@@@@QAEXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVANode.cpp:80	Specialized setup wrapper forwards the node matrix to default shader setup.
0x0081B3A0	?SetupShaders@?$cNodeRenderer@UColorUVAParticle@@VapsColorUVANode@@@@QAEXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081B3A0;src/aeps/apsColorUVANode.cpp:80	Release and source both call SetupDefaultShaders with &mNode->mLocalToWorld.
0x0081B3B0	??$SortPointers@UColorUVAParticle@@@apsRenderSort@@YAXPAUBuffer@0@PAEII@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVANode.cpp:102	Color-UVA sorter fills the bounded pointer buffer and qsorts it.
0x0081B3B0	??$SortPointers@UColorUVAParticle@@@apsRenderSort@@YAXPAUBuffer@0@PAEII@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081B3B0;src/aeps/apsColorUVANode.cpp:102	Release and source both cap by sortBuffer capacity, advance by stride, and call qsort with fncompare.
0x0081B3F0	?Render@?$cNodeRenderer@UColorUVAParticle@@VapsColorUVANode@@@@QAEXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVANode.cpp:146	Specialized color-UVA renderer emits oriented colored quads with frame-derived row and column UV coordinates.
0x0081B3F0	?Render@?$cNodeRenderer@UColorUVAParticle@@VapsColorUVANode@@@@QAEXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x0081B3F0;src/aeps/apsColorUVANode.cpp:146	Release and source both configure shimmer/blend/fog/alpha state, support sorted and unsorted particles plus velocity-facing geometry, clamp frames, clamp colors, emit four vertices, and restore color/Z write state.
0x0081AFF0	?Render@apsColorUVANode@@UAEXXZ	V3	PASS	ida-manual-aps-node-20260828	2026-08-28	src/aeps/apsColorUVANode.cpp:303-306	Source constructs the matching ColorUVA cNodeRenderer and invokes Render.
0x0081AFF0	?Render@apsColorUVANode@@UAEXXZ	V4	PASS	ida-manual-aps-node-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1555199-1555206	Release color-UVA wrapper initialization and dispatch match source.
