ida_ea	name	gate	result	session	date	source_ref	detail
0x00817730	?GetVShader@apsColorUVARectangleRender@@YAKXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVARectangleNode.cpp:13	Emitted getter body returns the registered vertex shader handle.
0x00817730	?GetVShader@apsColorUVARectangleRender@@YAKXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00817730;src/aeps/apsColorUVARectangleNode.cpp:13	Release and source both return VS[0].
0x00817740	?GetPShader@apsColorUVARectangleRenderPixel@@YAPAKXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVARectangleNode.cpp:20	Emitted getter body returns the registered pixel shader handle.
0x00817740	?GetPShader@apsColorUVARectangleRenderPixel@@YAPAKXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00817740;src/aeps/apsColorUVARectangleNode.cpp:20	Release and source both return PS[0].
0x00804E10	?GetDesc@apsColorUVARectangleNode@@UAEXPAD@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVARectangleRenderer.cpp:63	Node description writes the canonical color-UVA-rectangle node name.
0x00804E10	?GetDesc@apsColorUVARectangleNode@@UAEXPAD@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00804E10;src/aeps/apsColorUVARectangleRenderer.cpp:63	Release and source both copy apsColorUVARectangleNode into the caller buffer.
0x008177C0	??0?$cNodeRenderer@UColorUVARectangleParticle@@VapsColorUVARectangleNode@@@@QAE@AAVapsColorUVARectangleNode@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVARectangleNode.cpp:48	Specialized color-UVA rectangle renderer constructor stores the node pointer.
0x008177C0	??0?$cNodeRenderer@UColorUVARectangleParticle@@VapsColorUVARectangleNode@@@@QAE@AAVapsColorUVARectangleNode@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008177C0;src/aeps/apsColorUVARectangleNode.cpp:48	Release and source both assign mNode from the constructor argument.
0x008177D0	?SetupDefaultShaders@?$cNodeRenderer@UColorUVARectangleParticle@@VapsColorUVARectangleNode@@@@QAEXABVMat43@math@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVARectangleNode.cpp:56	Specialized color-UVA rectangle shader setup transforms the local matrix and selects shader caches.
0x008177D0	?SetupDefaultShaders@?$cNodeRenderer@UColorUVARectangleParticle@@VapsColorUVARectangleNode@@@@QAEXABVMat43@math@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008177D0;src/aeps/apsColorUVARectangleNode.cpp:56	Release and source both upload register 6 constants, initialize shaders, and conditionally load color-UVA rectangle vertex/pixel programs.
0x00817A80	??$fncompare@UColorUVARectangleParticle@@@apsRenderSort@@YAHPBX0@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVARectangleNode.cpp:89	Color-UVA rectangle comparator orders particle pointers by the release frame field.
0x00817A80	??$fncompare@UColorUVARectangleParticle@@@apsRenderSort@@YAHPBX0@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00817A80;src/aeps/apsColorUVARectangleNode.cpp:89	Release and source both compare the field at particle offset 0x2C (mFrame here) with the same descending convention.
0x00817AC0	?SetupShaders@?$cNodeRenderer@UColorUVARectangleParticle@@VapsColorUVARectangleNode@@@@QAEXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVARectangleNode.cpp:80	Specialized setup wrapper forwards the node matrix to default shader setup.
0x00817AC0	?SetupShaders@?$cNodeRenderer@UColorUVARectangleParticle@@VapsColorUVARectangleNode@@@@QAEXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00817AC0;src/aeps/apsColorUVARectangleNode.cpp:80	Release and source both call SetupDefaultShaders with &mNode->mLocalToWorld.
0x00817AD0	??$SortPointers@UColorUVARectangleParticle@@@apsRenderSort@@YAXPAUBuffer@0@PAEII@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsColorUVARectangleNode.cpp:102	Color-UVA rectangle sorter fills the bounded pointer buffer and qsorts it.
0x00817AD0	??$SortPointers@UColorUVARectangleParticle@@@apsRenderSort@@YAXPAUBuffer@0@PAEII@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00817AD0;src/aeps/apsColorUVARectangleNode.cpp:102	Release and source both cap by sortBuffer capacity, advance by stride, and call qsort with fncompare.
0x00817B10	?Render@?$cNodeRenderer@UColorUVARectangleParticle@@VapsColorUVARectangleNode@@@@QAEXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVARectangleRenderCommon.h:42	Color-UVA rectangle renderer emits transformed, frame-selected colored quads and restores D3D state.
0x00817B10	?Render@?$cNodeRenderer@UColorUVARectangleParticle@@VapsColorUVARectangleNode@@@@QAEXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00817B10;src/aeps/apsUVARectangleRenderCommon.h:42	Release and source both set blend/fog/shader constants, select sorted or unsorted particles, use width/height billboard geometry, clamp frame UVs, draw, and restore color/Z write state.
