ida_ea	name	gate	result	session	date	source_ref	detail
0x008054C0	?Init@apsColorUVARenderer@@SAXXZ	V3	PASS	ida-manual-aps-color-uva-20260829	2026-08-29	src/aeps/apsColorUVARenderer.cpp:42-49	Source directly registers the color-UVA vertex and pixel shaders from table entry zero.
0x008054C0	?Init@apsColorUVARenderer@@SAXXZ	V4	PASS	ida-manual-aps-color-uva-20260829	2026-08-29	IDA:0x008054C0;src/aeps/apsColorUVARenderer.cpp:42-49	Release/source match both direct registration calls, shader pointers, and table index zero without added guards.
0x008054F0	?Render@apsColorUVARenderer@@UAE?AW4eRenderResult@apsRenderer@@ABUapsRendererRenderInfo@@@Z	V3	PASS	ida-manual-aps-color-uva-20260829	2026-08-29	src/aeps/apsColorUVARenderer.cpp:53-56	Source dispatches rendering through the color-UVA DefaultRender template.
0x008054F0	?Render@apsColorUVARenderer@@UAE?AW4eRenderResult@apsRenderer@@ABUapsRendererRenderInfo@@@Z	V4	PASS	ida-manual-aps-color-uva-20260829	2026-08-29	IDA:0x008054F0;src/aeps/apsColorUVARenderer.cpp:53-56	Release/source match the apsBillboardRenderer::DefaultRender specialization and render-info forwarding.
0x00805510	?RegisterVShader@apsColorUVARender@@YAXXZ	V3	PASS	ida-manual-aps-color-uva-20260830	2026-08-30	src/aeps/apsColorUVARenderer.cpp:12-13	Registers the restored color-UVA vertex shader handle against table entry zero.
0x00805510	?RegisterVShader@apsColorUVARender@@YAXXZ	V4	PASS	ida-manual-aps-color-uva-20260830	2026-08-30	IDA:0x00805510;src/aeps/apsColorUVARenderer.cpp:12-13;src/aeps/apsColorUVARendererShaderData.cpp:6-24	Release/source call and arguments match; the restored 57-dword microcode table supplies the non-null release shader pointer.
0x00805530	?RegisterPShader@apsColorUVARenderPixel@@YAXXZ	V3	PASS	ida-manual-aps-color-uva-20260830	2026-08-30	src/aeps/apsColorUVARenderer.cpp:16-17	Registers the restored color-UVA pixel shader handle against table entry zero.
0x00805530	?RegisterPShader@apsColorUVARenderPixel@@YAXXZ	V4	PASS	ida-manual-aps-color-uva-20260830	2026-08-30	IDA:0x00805530;src/aeps/apsColorUVARenderer.cpp:16-17;src/aeps/apsColorUVARendererShaderData.cpp:27-44	Release/source call and arguments match; the restored 60-dword pixel microcode table supplies the release pointer.
0x00805550	?InitPShader@apsColorUVARenderPixel@@YAXXZ	V3	PASS	ida-manual-aps-color-uva-20260830	2026-08-30	src/aeps/apsColorUVARenderer.cpp:20-21	Initializes the color-UVA pixel shader through the same restored registration storage.
0x00805550	?InitPShader@apsColorUVARenderPixel@@YAXXZ	V4	PASS	ida-manual-aps-color-uva-20260830	2026-08-30	IDA:0x00805550;src/aeps/apsColorUVARenderer.cpp:20-21;src/aeps/apsColorUVARendererShaderData.cpp:27-44	Release/source direct nglDxRegisterPShader call and table argument match exactly.
0x008054C0	?Init@apsColorUVARenderer@@SAXXZ	V4	PASS	ida-manual-aps-color-uva-20260830	2026-08-30	IDA:0x008054C0;src/aeps/apsColorUVARenderer.cpp:38-40;src/aeps/apsColorUVARendererShaderData.cpp:6-44	With exact release shader tables restored, Init now has the same two unconditional registration calls and non-null handle/table storage as IDA.
