ida_ea	name	gate	result	session	date	source_ref	detail
0x007EB180	?SetDefaults@apsLOD@@QAEXXZ	V3	PASS	ida-manual-aps-common-20260829	2026-08-29	src/aeps/apsCommon.h:55-66	Source initializes the LOD base rate, enabled flag, four distances/delays, and idle rate.
0x007EB180	?SetDefaults@apsLOD@@QAEXXZ	V4	PASS	ida-manual-aps-common-20260829	2026-08-29	IDA:0x007EB180;src/aeps/apsCommon.h:55-66	Release/source constants, field order, and derived delay values match.
0x007EB210	?SetEnabled@apsLOD@@QAEXXZ	V3	PASS	ida-manual-aps-common-20260829	2026-08-29	src/aeps/apsCommon.h:69-71	Source assigns the requested enabled value.
0x007EB210	?SetEnabled@apsLOD@@QAEXXZ	V4	PASS	ida-manual-aps-common-20260829	2026-08-29	IDA:0x007EB210;src/aeps/apsCommon.h:69-71	Release/source field assignment and return match.
0x007EB270	?Init@CameraSettings@apsCommon@@QAEXXZ	V3	PASS	ida-manual-aps-common-20260829	2026-08-29	src/aeps/apsCommon.h:115-125	Source initializes direction, up, left, roll, and x-flip from the release axis constants.
0x007EB270	?Init@CameraSettings@apsCommon@@QAEXXZ	V4	PASS	ida-manual-aps-common-20260829	2026-08-29	IDA:0x007EB270;src/aeps/apsCommon.h:115-125	Release/source vector lanes, scalar fields, and constants match.
0x007EB370	?MemAlign@apsAllocator@@UBEPAXII@Z	V3	PASS	ida-manual-aps-common-20260829	2026-08-29	src/aeps/apsCommon.cpp:181-186	Source returns zero for zero size and forwards nonzero allocations with flags 2.
0x007EB370	?MemAlign@apsAllocator@@UBEPAXII@Z	V4	PASS	ida-manual-aps-common-20260829	2026-08-29	IDA:0x007EB370;src/aeps/apsCommon.cpp:181-186	Release/source zero-size sentinel and apsMemAlloc forwarding match.
0x007EB3A0	?MemFree@apsAllocator@@UBEXPAX@Z	V3	PASS	ida-manual-aps-common-20260829	2026-08-29	src/aeps/apsCommon.cpp:193-195	Source delegates directly to apsMemFree.
0x007EB3A0	?MemFree@apsAllocator@@UBEXPAX@Z	V4	PASS	ida-manual-aps-common-20260829	2026-08-29	IDA:0x007EB3A0;src/aeps/apsCommon.cpp:193-195	Release/source delegation and void return match.
