ida_ea	name	gate	result	session	date	source_ref	detail
0x007FEB00	?HackTurnOffAepsMemory@@YAXXZ	V3	PASS	ida-manual-aps-group-20260829	2026-08-29	src/aeps/apsGroup.cpp:71-83	Source asserts no nesting, captures pak id, switches block allocator, disables pak allocations, and clears current pak id.
0x007FEB00	?HackTurnOffAepsMemory@@YAXXZ	V4	PASS	ida-manual-aps-group-20260829	2026-08-29	IDA:0x007FEB00;src/aeps/apsGroup.cpp:71-83	Release/source assertion metadata, state calls, ordering, and ignored previous-value return match.
0x007FEB90	?Render@apsGroup@@QAE?AW4eRenderResult@apsRenderer@@ABULightInfo@apsLight@@ABUFrustumInfo@VFC@@PAUnglLightContext@@@Z	V3	PASS	ida-manual-aps-group-20260829	2026-08-29	src/aeps/apsGroup.cpp:379-410	Source matches renderer/particle/flag early-outs, AABB frustum culling, render-info population, and virtual dispatch.
0x007FEB90	?Render@apsGroup@@QAE?AW4eRenderResult@apsRenderer@@ABULightInfo@apsLight@@ABUFrustumInfo@VFC@@PAUnglLightContext@@@Z	V4	PASS	ida-manual-aps-group-20260829	2026-08-29	IDA:0x007FEB90;src/aeps/apsGroup.cpp:379-410	Release/source result codes, bounds fields, sphere/light context, local transform, and renderer call match.
0x007FECF0	?transform_bounds@apsGroup@@AAEXXZ	V3	PASS	ida-manual-aps-group-20260829	2026-08-29	src/aeps/apsGroup.cpp:331-338	Source transforms all eight AABB corners and recomputes min/max bounds.
0x007FECF0	?transform_bounds@apsGroup@@AAEXXZ	V4	PASS	ida-manual-aps-group-20260829	2026-08-29	IDA:0x007FECF0;src/aeps/apsGroup.cpp:331-338	Release/source corner enumeration, matrix transform, and bound accumulation match.
0x007FEDB0	?SetGroupLocalToWorldTransform@apsGroup@@QAEXABVMat43@math@@@Z	V3	PASS	ida-manual-aps-group-20260829	2026-08-29	src/aeps/apsGroup.cpp:346-356	Source preserves the prior translation according to mLastPos and stores the new matrix.
0x007FEDB0	?SetGroupLocalToWorldTransform@apsGroup@@QAEXABVMat43@math@@@Z	V4	PASS	ida-manual-aps-group-20260829	2026-08-29	IDA:0x007FEDB0;src/aeps/apsGroup.cpp:346-356	Release/source zero tests, previous-position selection, and matrix assignment match.
0x007FEEF0	?SetGroupPosition@apsGroup@@QAEXABVDir3@math@@@Z	V3	PASS	ida-manual-aps-group-20260829	2026-08-29	src/aeps/apsGroup.cpp:361-372	Source preserves the previous translation and updates the transform translation lanes.
0x007FEEF0	?SetGroupPosition@apsGroup@@QAEXABVDir3@math@@@Z	V4	PASS	ida-manual-aps-group-20260829	2026-08-29	IDA:0x007FEEF0;src/aeps/apsGroup.cpp:361-372	Release/source zero tests, previous-position selection, and XYZ stores match.
