ida_ea	name	gate	result	session	date	source_ref	detail
0x008065D0	?TestAlloc@apsGroupManager@@QAEIH@Z	V3	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	src/aeps/apsGroupMgr.cpp:158-168	Checks the pool singleton and compares free blocks against numGroups.
0x008065D0	?TestAlloc@apsGroupManager@@QAEIH@Z	V4	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	IDA:0x008065D0;src/aeps/apsGroupMgr.cpp:158-168	Release/source singleton assertion metadata, pool counters, comparison, and boolean return match.
0x00806620	?Report@apsGroupManager@@QAEXXZ	V3	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	src/aeps/apsGroupMgr.cpp:173-199	Reports active groups and every group’s particle, timing, position, visibility, and camera-distance fields.
0x00806620	?Report@apsGroupManager@@QAEXXZ	V4	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	IDA:0x00806620;src/aeps/apsGroupMgr.cpp:173-199	Release/source format strings, field order, visibility selection, iteration, and output calls match.
0x00806770	??0apsGroupManager@@QAE@H@Z	V3	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	src/aeps/apsGroupMgr.cpp:21-41	Initializes the manager singleton, group array, maximum, reserved storage, and group pool allocator.
0x00806770	??0apsGroupManager@@QAE@H@Z	V4	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	IDA:0x00806770;src/aeps/apsGroupMgr.cpp:21-41	Release/source singleton assertion, field initialization, reserve, MemAlign arguments, and pool construction match.
0x008067F0	?CreateGroup@apsGroupManager@@QAEPAVapsGroup@@HPAVapsRenderer@@ABVapsPFD@@I@Z	V3	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	src/aeps/apsGroupMgr.cpp:46-70	Allocates, initializes, indexes, and stores a group, freeing it on initialization failure.
0x008067F0	?CreateGroup@apsGroupManager@@QAEPAVapsGroup@@HPAVapsRenderer@@ABVapsPFD@@I@Z	V4	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	IDA:0x008067F0;src/aeps/apsGroupMgr.cpp:46-70	Release/source pool calls, failure cleanup, assertion metadata, index assignment, push-back, and return paths match.
0x008068C0	?DestroyGroup@apsGroupManager@@QAEXPAVapsGroup@@I@Z	V3	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	src/aeps/apsGroupMgr.cpp:75-126	Validates, terminates, frees, compacts, reindexes, and shrinks the group list.
0x008068C0	?DestroyGroup@apsGroupManager@@QAEXPAVapsGroup@@I@Z	V4	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	IDA:0x008068C0;src/aeps/apsGroupMgr.cpp:75-126	Release/source assertion strings, cleanup order, swap-with-last compaction, reindexing, and size decrement match.
0x00806A30	?DestroyAllGroups@apsGroupManager@@QAEXXZ	V3	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	src/aeps/apsGroupMgr.cpp:129-136	Iterates the group array and destroys each entry.
0x00806A30	?DestroyAllGroups@apsGroupManager@@QAEXXZ	V4	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	IDA:0x00806A30;src/aeps/apsGroupMgr.cpp:129-136	Release/source iteration bounds and bFastDeath zero forwarding match.
0x00806A60	??1apsGroupManager@@QAE@XZ	V3	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	src/aeps/apsGroupMgr.cpp:141-155	Destroys groups, pool allocator, group array, and manager singleton with guarded cleanup.
0x00806A60	??1apsGroupManager@@QAE@XZ	V4	PASS	ida-manual-aps-groupmgr-20260830	2026-08-30	IDA:0x00806A60;src/aeps/apsGroupMgr.cpp:141-155	Release/source destruction order, allocator calls, SetPakAllocs restoration, field resets, and singleton assertion behavior match.
