ida_ea	name	gate	result	session	date	source_ref	detail
0x007EBB60	?PtrToIndex@Pool@apsMemory@@QAEHPAX@Z	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:375-377	Source computes the block index from the data-pointer offset and block size.
0x007EBB60	?PtrToIndex@Pool@apsMemory@@QAEHPAX@Z	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBB60;src/aeps/apsMemory.cpp:375-377	Release/source arithmetic and return type match.
0x007EBB80	?IndexToPtr@Pool@apsMemory@@QAEPAEH@Z	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:380-382	Source returns the block-data address at index times block size.
0x007EBB80	?IndexToPtr@Pool@apsMemory@@QAEPAEH@Z	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBB80;src/aeps/apsMemory.cpp:380-382	Release/source indexing and return type match.
0x007EBBA0	?NumBlocks@Pool@apsMemory@@QBEHXZ	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:385-387	Source returns mNumBlocks.
0x007EBBA0	?NumBlocks@Pool@apsMemory@@QBEHXZ	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBBA0;src/aeps/apsMemory.cpp:385-387	Release/source field access and return type match.
0x007EBBB0	?BlockSize@Pool@apsMemory@@QBEHXZ	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:390-392	Source returns mBlockSize.
0x007EBBB0	?BlockSize@Pool@apsMemory@@QBEHXZ	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBBB0;src/aeps/apsMemory.cpp:390-392	Release/source field access and return type match.
0x007EBBC0	?NumBlocksUsed@Pool@apsMemory@@QBEHXZ	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:395-397	Source returns mNumBlocksUsed.
0x007EBBC0	?NumBlocksUsed@Pool@apsMemory@@QBEHXZ	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBBC0;src/aeps/apsMemory.cpp:395-397	Release/source field access and return type match.
0x007EBBD0	?NumBlocksFree@Pool@apsMemory@@QBEHXZ	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:400-402	Source returns mNumBlocks minus mNumBlocksUsed.
0x007EBBD0	?NumBlocksFree@Pool@apsMemory@@QBEHXZ	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBBD0;src/aeps/apsMemory.cpp:400-402	Release/source subtraction and return type match.
0x007EBBE0	?IsEmpty@Pool@apsMemory@@QBEIXZ	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:405-407	Source returns whether used blocks equal total blocks.
0x007EBBE0	?IsEmpty@Pool@apsMemory@@QBEIXZ	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBBE0;src/aeps/apsMemory.cpp:405-407	Release/source comparison and BOOL-compatible return match.
0x007EBC70	?CalcClassOverhead@Pool@apsMemory@@SAHHH@Z	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:429-431	Source rounds the pool-class metadata size using the release 128-byte mask.
0x007EBC70	?CalcClassOverhead@Pool@apsMemory@@SAHHH@Z	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBC70;src/aeps/apsMemory.cpp:429-431	Release/source constant, arithmetic, and intentionally unused blockSize parameter match.
0x007EBCE0	?Resize@Pool@apsMemory@@QAEPAXPAXH@Z	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:223-257	Source matches release bounds, block-state assertions, warning paths, and in-place size update.
0x007EBCE0	?Resize@Pool@apsMemory@@QAEPAXPAXH@Z	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBCE0;src/aeps/apsMemory.cpp:223-257	Release/source control flow, assert metadata, and return values match.
0x007EBDE0	?Free@Pool@apsMemory@@QAEXPAX@Z	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:174-201	Source matches release pool-index validation, block-state assertions, free-list insertion, and usage decrement.
0x007EBDE0	?Free@Pool@apsMemory@@QAEXPAX@Z	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBDE0;src/aeps/apsMemory.cpp:174-201	Release/source pointer arithmetic, state writes, and assert metadata match.
0x007EBEA0	?Contains@Pool@apsMemory@@QAEIPAX@Z	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:263-268	Source checks initialized data and inclusive pool data bounds.
0x007EBEA0	?Contains@Pool@apsMemory@@QAEIPAX@Z	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBEA0;src/aeps/apsMemory.cpp:263-268	Release/source range test and BOOL-compatible result match.
0x007EBEE0	?Verify@Pool@apsMemory@@QAEXXZ	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:274-286	Source walks the free list and validates free flags and free-count consistency.
0x007EBEE0	?Verify@Pool@apsMemory@@QAEXXZ	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBEE0;src/aeps/apsMemory.cpp:274-286	Release/source loop, assertions, and free-count expression match.
0x007EBF60	?GetActiveBlock@Pool@apsMemory@@QAEPAXH@Z	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:294-301	Source validates the index and returns data only for a used block.
0x007EBF60	?GetActiveBlock@Pool@apsMemory@@QAEPAXH@Z	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBF60;src/aeps/apsMemory.cpp:294-301	Release/source index assertion, flag test, pointer arithmetic, and null return match.
0x007EBFC0	?GetStats@Pool@apsMemory@@QAEXAAUStats@12@@Z	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:308-338	Source zeroes Stats and computes all block, byte, waste, and percentage fields as release.
0x007EBFC0	?GetStats@Pool@apsMemory@@QAEXAAUStats@12@@Z	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EBFC0;src/aeps/apsMemory.cpp:308-338	Release/source field order, integer arithmetic, and used-block waste loop match.
0x007EC0E0	?Report@Pool@apsMemory@@QAEXXZ	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:344-370	Source prints the release pool statistics using the same format strings and fields.
0x007EC0E0	?Report@Pool@apsMemory@@QAEXXZ	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EC0E0;src/aeps/apsMemory.cpp:344-370	Release/source print sequence, format strings, and arguments match.
0x007EC1E0	?Init@Pool@apsMemory@@QAEXHHPAE@Z	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:119-140	Source initializes block metadata, free-list links, and pool data exactly as release.
0x007EC1E0	?Init@Pool@apsMemory@@QAEXHHPAE@Z	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EC1E0;src/aeps/apsMemory.cpp:119-140	Release/source allocation, loop initialization, final sentinel, and print call match.
0x007EC2A0	?Term@Pool@apsMemory@@QAEXXZ	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:147-167	Source asserts no live blocks, frees separately allocated metadata, and clears pointers.
0x007EC2A0	?Term@Pool@apsMemory@@QAEXXZ	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EC2A0;src/aeps/apsMemory.cpp:147-167	Release/source cleanup condition, allocator call, assert metadata, and pointer clearing match.
0x007EC300	?Alloc@Pool@apsMemory@@QAEPAXH@Z	V3	PASS	ida-manual-aps-memory-20260829	2026-08-29	src/aeps/apsMemory.cpp:89-169	Source matches free-list pop, empty-pool warning, state assertions, statistics, and data pointer return.
0x007EC300	?Alloc@Pool@apsMemory@@QAEPAXH@Z	V4	PASS	ida-manual-aps-memory-20260829	2026-08-29	IDA:0x007EC300;src/aeps/apsMemory.cpp:89-169	Release/source state writes, warning/assert metadata, and statistics updates match.
