ida_ea	name	gate	result	session	date	source_ref	detail
0x00819D70	?GetPos@RectangleParticle@@QAEAAUPacked@Dir3@math@@XZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsBillboardNode.cpp:143	Real position accessor returns the packed position at offset zero.
0x00819D70	?GetPos@RectangleParticle@@QAEAAUPacked@Dir3@math@@XZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00819D70;src/aeps/apsBillboardNode.cpp:143	Release and source both return mPos.
0x00819D80	?GetColor@RectangleParticle@@QAE?AVVector4@math@@XZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsBillboardNode.cpp:145	Real color accessor constructs opaque white with particle alpha.
0x00819D80	?GetColor@RectangleParticle@@QAE?AVVector4@math@@XZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00819D80;src/aeps/apsBillboardNode.cpp:145	Release and source both return Vector4(1,1,1,mAlpha).
0x00819DD0	?GetWidth@RectangleParticle@@QAEMXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsBillboardNode.cpp:152	Real width accessor returns mWidth.
0x00819DD0	?GetWidth@RectangleParticle@@QAEMXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00819DD0;src/aeps/apsBillboardNode.cpp:152	Release and source both return mWidth.
0x00819DE0	?GetHeight@RectangleParticle@@QAEMXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsBillboardNode.cpp:154	Real height accessor returns mHeight.
0x00819DE0	?GetHeight@RectangleParticle@@QAEMXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00819DE0;src/aeps/apsBillboardNode.cpp:154	Release and source both return mHeight.
0x00819DF0	?GetAngle@RectangleParticle@@QAEMXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsBillboardNode.cpp:156	Real angle accessor returns mAngle.
0x00819DF0	?GetAngle@RectangleParticle@@QAEMXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00819DF0;src/aeps/apsBillboardNode.cpp:156	Release and source both return mAngle.
0x00819E00	?GetFrame@RectangleParticle@@QAEMXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsBillboardNode.cpp:158	Real frame accessor returns the fixed zero frame.
