ida_ea	name	gate	result	session	date	source_ref	detail
0x008092F0	?FloatAsInt@apsMath@@YAIM@Z	V3	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	src/aeps/apsSuppliedActions.cpp:92-96	Bit-preserving float-to-unsigned conversion has a real implementation.
0x008092F0	?FloatAsInt@apsMath@@YAIM@Z	V4	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	IDA:0x008092F0;src/aeps/apsSuppliedActions.cpp:92-96	Release LODWORD return and source memcpy bit conversion are equivalent.
0x00809400	??0apsQuaternion@@QAE@ABVDir3@math@@@Z	V3	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	src/aeps/apsSuppliedActions.cpp:74-80	Initializes quaternion x/y/z from Dir3 and w to zero.
0x00809400	??0apsQuaternion@@QAE@ABVDir3@math@@@Z	V4	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	IDA:0x00809400;src/aeps/apsSuppliedActions.cpp:74-80	Release component extraction, ordering, and zero w match.
0x0080B140	?CheckSplineData@@YAXPAM@Z	V3	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	src/aeps/apsSuppliedActions.cpp:2723-2748	Prints each complete three-float spline point until a -1 sentinel and advances by three floats.
0x0080B140	?CheckSplineData@@YAXPAM@Z	V4	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	IDA:0x0080B140;src/aeps/apsSuppliedActions.cpp:2723-2748	Release/source format strings, sentinel checks, index progression, pointer advancement, and output calls match.
0x0080C5C0	?GetEmissionCount@apsSourceAction@@UAEHAAVapsGroup@@M@Z	V3	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	src/aeps/apsSuppliedActions.cpp:371-383	Computes emission count, applies chance modifier, updates spillover, and returns the integer count.
0x0080C5C0	?GetEmissionCount@apsSourceAction@@UAEHAAVapsGroup@@M@Z	V4	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	IDA:0x0080C5C0;src/aeps/apsSuppliedActions.cpp:371-383	Release/source parameter access, assertion metadata, chance helper call, truncation, spillover update, and int return match; Hex-Rays x87 return typing is an artifact.
0x0080C640	?GetEmissionCount@apsBurstAction@@UAEHAAVapsGroup@@M@Z	V3	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	src/aeps/apsSuppliedActions.cpp:389-401	Implements one-shot burst gating, spillover sentinel, chance modification, and integer return.
0x0080C640	?GetEmissionCount@apsBurstAction@@UAEHAAVapsGroup@@M@Z	V4	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	IDA:0x0080C640;src/aeps/apsSuppliedActions.cpp:389-401	Release/source spillover branch, parameter assertion, chance helper call, and return behavior match; Hex-Rays x87 temporaries do not change the ABI result.
0x0080C6C0	?GetEmissionCount@apsRandomSpawnAction@@UAEHAAVapsGroup@@M@Z	V3	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	src/aeps/apsSuppliedActions.cpp:407-424	Loops over random spawn delays, counts emissions, updates spillover, and returns count.
0x0080C6C0	?GetEmissionCount@apsRandomSpawnAction@@UAEHAAVapsGroup@@M@Z	V4	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	IDA:0x0080C6C0;src/aeps/apsSuppliedActions.cpp:407-424	Release/source domain index assertion, delay initialization, loop condition/update, domain call, spillover store, and return match.
0x0080CEE0	?GetScaleAmountForFrame@apsLinearScaleAction@@EBEMAAVapsEffect@@M@Z	V3	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	src/aeps/apsSuppliedActions.cpp:747-752	Returns time delta multiplied by parameter two after the bounds assertion.
0x0080CEE0	?GetScaleAmountForFrame@apsLinearScaleAction@@EBEMAAVapsEffect@@M@Z	V4	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	IDA:0x0080CEE0;src/aeps/apsSuppliedActions.cpp:747-752	Release/source parameter assertion, multiplication, and return match.
0x0080CF20	?GetScaleAmountForFrame@apsLinearScaleSyncAction@@EBEMAAVapsEffect@@M@Z	V3	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	src/aeps/apsSuppliedActions.cpp:758-779	Reads start/end/exponent parameters and scales the parent-age interpolation by delta time.
0x0080CF20	?GetScaleAmountForFrame@apsLinearScaleSyncAction@@EBEMAAVapsEffect@@M@Z	V4	PASS	ida-manual-aps-supplied-actions-20260830	2026-08-30	IDA:0x0080CF20;src/aeps/apsSuppliedActions.cpp:758-779	Release/source three assertions, parameter order, parent-age pow interpolation, and delta-time multiplication match.
