ida_ea	name	gate	result	session	date	source_ref	detail
0x008163C0	?GetVShader@apsUVARender@@YAKXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:13	Emitted getter body returns the registered vertex shader handle.
0x008163C0	?GetVShader@apsUVARender@@YAKXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008163C0;src/aeps/apsUVANode.cpp:13	Release and source both return VS[0].
0x008163D0	?GetPShader@apsUVARenderPixel@@YAPAKXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:20	Emitted getter body returns the registered pixel shader handle.
0x008163D0	?GetPShader@apsUVARenderPixel@@YAPAKXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008163D0;src/aeps/apsUVANode.cpp:20	Release and source both return PS[0].
0x00816370	?GetRenderSortBuffer@apsUVANode@@QAEPAUBuffer@apsRenderSort@@XZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:12	Real UVA node accessor returns mRenderSortBuffer.
0x00816370	?GetRenderSortBuffer@apsUVANode@@QAEPAUBuffer@apsRenderSort@@XZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00816370;src/aeps/apsUVANode.cpp:12	Release and source both return mRenderSortBuffer.
0x00816380	?WidthFrames@apsUVARenderer@@QBEMXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:18	Real UVA width-frame accessor returns mWidthFrames.
0x00816380	?WidthFrames@apsUVARenderer@@QBEMXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00816380;src/aeps/apsUVANode.cpp:18	Release and source both return mWidthFrames.
0x00816390	?MaxFrame@apsUVARenderer@@QBEMXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:24	Real UVA max-frame accessor returns mMaxFrame.
0x00816390	?MaxFrame@apsUVARenderer@@QBEMXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00816390;src/aeps/apsUVANode.cpp:24	Release and source both return mMaxFrame.
0x008163A0	?InvWidthFrames@apsUVARenderer@@QBEMXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:30	Real UVA inverse-width accessor returns mInvWidthFrames.
0x008163A0	?InvWidthFrames@apsUVARenderer@@QBEMXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008163A0;src/aeps/apsUVANode.cpp:30	Release and source both return mInvWidthFrames.
0x008163B0	?InvHeightFrames@apsUVARenderer@@QBEMXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:36	Real UVA inverse-height accessor returns mInvHeightFrames.
0x008163B0	?InvHeightFrames@apsUVARenderer@@QBEMXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008163B0;src/aeps/apsUVANode.cpp:36	Release and source both return mInvHeightFrames.
0x00804DA0	?GetDesc@apsUVANode@@UAEXPAD@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVARenderer.cpp:76	Node description writes the canonical UVA node name.
0x00804DA0	?GetDesc@apsUVANode@@UAEXPAD@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00804DA0;src/aeps/apsUVARenderer.cpp:76	Release and source both copy apsUVANode into the caller buffer.
0x00816490	??0?$cNodeRenderer@UUVAParticle@@VapsUVANode@@@@QAE@AAVapsUVANode@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:48	Specialized UVA renderer constructor stores the node pointer.
0x00816490	??0?$cNodeRenderer@UUVAParticle@@VapsUVANode@@@@QAE@AAVapsUVANode@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00816490;src/aeps/apsUVANode.cpp:48	Release and source both assign mNode from the constructor argument.
0x008164A0	?SetupDefaultShaders@?$cNodeRenderer@UUVAParticle@@VapsUVANode@@@@QAEXABVMat43@math@@@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:55	Specialized UVA shader setup transforms the local matrix and selects UVA VS/PS caches.
0x008164A0	?SetupDefaultShaders@?$cNodeRenderer@UUVAParticle@@VapsUVANode@@@@QAEXABVMat43@math@@@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008164A0;src/aeps/apsUVANode.cpp:55	Release and source both upload register 6 constants, initialize shaders, and conditionally load UVA vertex/pixel programs.
0x00816750	??$fncompare@UUVAParticle@@@apsRenderSort@@YAHPBX0@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:88	UVA sort comparator orders particle pointers by age.
0x00816750	??$fncompare@UUVAParticle@@@apsRenderSort@@YAHPBX0@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00816750;src/aeps/apsUVANode.cpp:88	Release and source both compare the particle age field at offset 0x1C with the same descending convention.
0x00816790	?SetupShaders@?$cNodeRenderer@UUVAParticle@@VapsUVANode@@@@QAEXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:79	Specialized setup wrapper forwards the node matrix to default shader setup.
0x00816790	?SetupShaders@?$cNodeRenderer@UUVAParticle@@VapsUVANode@@@@QAEXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x00816790;src/aeps/apsUVANode.cpp:79	Release and source both call SetupDefaultShaders with &mNode->mLocalToWorld.
0x008167A0	??$SortPointers@UUVAParticle@@@apsRenderSort@@YAXPAUBuffer@0@PAEII@Z	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:99	UVA sorter fills the bounded pointer buffer and qsorts it.
0x008167A0	??$SortPointers@UUVAParticle@@@apsRenderSort@@YAXPAUBuffer@0@PAEII@Z	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008167A0;src/aeps/apsUVANode.cpp:99	Release and source both cap by sortBuffer capacity, advance by stride, and call qsort with fncompare.
0x008167E0	?Render@?$cNodeRenderer@UUVAParticle@@VapsUVANode@@@@QAEXXZ	V3	PASS	ida-manual-20260827	2026-08-27	src/aeps/apsUVANode.cpp:141	Specialized UVA renderer emits oriented textured quads with frame-derived row and column UV coordinates.
0x008167E0	?Render@?$cNodeRenderer@UUVAParticle@@VapsUVANode@@@@QAEXXZ	V4	PASS	ida-manual-20260827	2026-08-27	IDA:0x008167E0;src/aeps/apsUVANode.cpp:141	Release and source both configure shimmer/blend/fog/alpha state, support sorted and unsorted particles plus velocity-facing geometry, clamp frames, emit four vertices, and restore color/Z write state.
0x00816350	?Render@apsUVANode@@UAEXXZ	V3	PASS	ida-manual-aps-node-20260828	2026-08-28	src/aeps/apsUVANode.cpp:329-333	Source constructs the matching UVA cNodeRenderer, assigns this, and invokes Render.
0x00816350	?Render@apsUVANode@@UAEXXZ	V4	PASS	ida-manual-aps-node-20260828	2026-08-28	c3_bin/codmp_xboxr.xbe.c:1551509-1551516	Release UVA wrapper initialization and dispatch match source.
