ida_ea	name	gate	result	session	date	source_ref	detail
0x009EC8C0	??0bdAddr@@QAE@XZ	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:14-16	Concrete default constructor initializes the address member and zeroes the port.
0x009EC8C0	??0bdAddr@@QAE@XZ	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:14-16; c3_bin/codmp_xboxr.xbe.c:1914324-1914332	Release default-constructs m_address and assigns m_port zero; source matches.
0x009EC940	?set@bdAddr@@QAEXABVbdInetAddr@@G@Z	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:63-66	Concrete address-plus-port setter is present.
0x009EC940	?set@bdAddr@@QAEXABVbdInetAddr@@G@Z	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:63-66; c3_bin/codmp_xboxr.xbe.c:1914354-1914362	Release delegates to bdInetAddr::set then stores the port; source matches the mapped void ABI.
0x009EC9C0	?getAddress@bdAddr@@QBEABVbdInetAddr@@XZ	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:26-28	Concrete const address accessor is present.
0x009EC9C0	?getAddress@bdAddr@@QBEABVbdInetAddr@@XZ	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:26-28; c3_bin/codmp_xboxr.xbe.c:1914376-1914381	Release returns the address subobject; source returns m_address by const reference.
0x009EC9D0	?getAddress@bdAddr@@QAEAAVbdInetAddr@@XZ	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:31-33	Concrete mutable address accessor is present.
0x009EC9D0	?getAddress@bdAddr@@QAEAAVbdInetAddr@@XZ	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:31-33; c3_bin/codmp_xboxr.xbe.c:1914382-1914386	Release returns the address subobject; source returns m_address by mutable reference.
0x009EC9F0	?getPort@bdAddr@@QBEGXZ	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:42-44	Concrete port accessor is present.
0x009EC9F0	?getPort@bdAddr@@QBEGXZ	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:42-44; c3_bin/codmp_xboxr.xbe.c:1914395-1914400	Release returns m_port; source matches.
0x009EC8E0	??0bdAddr@@QAE@ABV0@@Z	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:19-22	Concrete copy constructor copies address and port members.
0x009EC8E0	??0bdAddr@@QAE@ABV0@@Z	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:19-22; c3_bin/codmp_xboxr.xbe.c:1914334-1914342	Release copy-constructs the address and copies the port; source matches observable state.
0x009EC960	??8bdAddr@@QBE_NABV0@@Z	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:103-106	Concrete equality comparison is present.
0x009EC960	??8bdAddr@@QBE_NABV0@@Z	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:103-106; c3_bin/codmp_xboxr.xbe.c:1914364-1914368	Release compares port first and then the address; source matches.
0x009EC990	??9bdAddr@@QBE_NABV0@@Z	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:110-113	Concrete inequality comparison is present.
0x009EC990	??9bdAddr@@QBE_NABV0@@Z	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:110-113; c3_bin/codmp_xboxr.xbe.c:1914370-1914374	Release compares port first and then the address; source matches.
0x009EC9E0	?setPort@bdAddr@@QAEXG@Z	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:36-39	Concrete void port setter stores the supplied port.
0x009EC9E0	?setPort@bdAddr@@QAEXG@Z	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:36-39; c3_bin/codmp_xboxr.xbe.c:1914388-1914393	Release stores the port; the apparent return is a decompiler artifact and the mapped ABI is void.
0x009ECFB0	??MbdAddr@@QBE_NABV0@@Z	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:226-229	Concrete hash-based ordering comparison is present.
0x009ECFB0	??MbdAddr@@QBE_NABV0@@Z	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	src/bd/bdAddr.cpp:226-229; c3_bin/codmp_xboxr.xbe.c:1914645-1914652	Release compares getHash results; source matches.
0x009ECA00	?set@bdAddr@@QAEXPBD@Z	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x009ECA00; src/bd/bdAddr.cpp:39	Real body validates the string, splits at colon, bounds/copies the address text, parses the port, or constructs an address-only endpoint with port zero.
0x009ECA00	?set@bdAddr@@QAEXPBD@Z	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	IDA decompile 0x009ECA00 and src/bd/bdAddr.cpp:39-69	Release assertion metadata/message, 16-byte copy limit, null termination, address setter, decimal port parse, and no-colon path match source.
0x009ECB70	?toString@bdAddr@@QBEIQADI@Z	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x009ECB70; src/bd/bdAddr.cpp:86	Real body formats the address then appends a colon and decimal port within remaining capacity.
0x009ECB70	?toString@bdAddr@@QBEIQADI@Z	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	IDA decompile 0x009ECB70 and src/bd/bdAddr.cpp:86-91	Release length calculation, remaining-capacity clamp, format string, and return sum match source.
0x009ECCD0	?getSerializedSize@bdAddr@@QBEIXZ	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x009ECCD0; src/bd/bdAddr.cpp:132	Real body caches serialized size, serializes address plus port, logs/asserts on failure or oversized datagrams, and returns the cache.
0x009ECCD0	?getSerializedSize@bdAddr@@QBEIXZ	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	IDA decompile 0x009ECCD0 and src/bd/bdAddr.cpp:132-178	Release cache fast path, serializer calls, failure reset, assertion messages/lines, size threshold, and return match source.
0x009ECE30	??0bdAddr@@QAE@PBD@Z	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x009ECE30; src/bd/bdAddr.cpp:22	Real body default-constructs the address then delegates to set(string).
0x009ECE30	??0bdAddr@@QAE@PBD@Z	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	IDA decompile 0x009ECE30 and src/bd/bdAddr.cpp:22-27	Release constructor and setter call sequence match source.
0x009ECE90	?getHash@bdAddr@@QBEIXZ	V3	PASS	ida-manual-bd-addr-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x009ECE90; src/bd/bdAddr.cpp:169	Real body serializes address plus port with retry/assert handling, then computes the 31-based byte hash.
0x009ECE90	?getHash@bdAddr@@QBEIXZ	V4	PASS	ida-manual-bd-addr-20260830	2026-08-30	IDA decompile 0x009ECE90 and src/bd/bdAddr.cpp:169-193	Release buffer size, serialization calls, failure assertion metadata/message, loop bounds, and hash recurrence match source.
