ida_ea	name	gate	result	session	date	source_ref	detail
0x0089BC10	?readDataType@bdBitBuffer@@QAE?AW4bdBitBufferDataType@@XZ	V3	PASS	bd-bitbuffer-read-type-manual-20260830	2026-08-30	src/bd/stubs.cpp:438-444	Concrete no-argument type reader is present and handles ranged-read failure with the release no-type sentinel.
0x0089BC10	?readDataType@bdBitBuffer@@QAE?AW4bdBitBufferDataType@@XZ	V4	PASS	bd-bitbuffer-read-type-manual-20260830	2026-08-30	IDA:0x0089BC10;release C dump:0x0089BC10;src/bd/stubs.cpp:438-444	Release/source match readRangedUInt32(value,0,0x1f,false), failure return 0, and enum return.
0x0089B500	??1bdBitBuffer@@UAE@XZ	V3	PASS	bd-bitbuffer-dtor-manual-20260830	2026-08-30	src/bd/stubs.cpp:394-403	Concrete destructor releases the embedded byte array and resets its fields before normal member/base teardown.
0x0089B500	??1bdBitBuffer@@UAE@XZ	V4	PASS	bd-bitbuffer-dtor-manual-20260830	2026-08-30	IDA:0x0089B500;release C dump:0x0089B500;src/bd/stubs.cpp:394-403	Release/source match the storage release, nulling, size/capacity reset, and base/member teardown protocol.
0x0089BCD0	??_EbdBitBuffer@@UAEPAXI@Z	V3	PASS	bd-bitbuffer-dtor-manual-20260830	2026-08-30	src/bd/bd_types.h:535;src/bd/stubs.cpp:394-403	The generated vector deleting destructor delegates to the restored virtual destructor and uses the release alias address.
0x0089BCD0	??_EbdBitBuffer@@UAEPAXI@Z	V4	PASS	bd-bitbuffer-dtor-manual-20260830	2026-08-30	IDA:0x0089BCD0;release C dump:0x0089BCD0;src/bd/bd_types.h:535	Release vector/scalar deleting-destructor aliases share the same body and address.
0x0089BCD0	??_GbdBitBuffer@@UAEPAXI@Z	V3	PASS	bd-bitbuffer-dtor-manual-20260830	2026-08-30	src/bd/bd_types.h:535;src/bd/stubs.cpp:394-403	The generated scalar deleting destructor delegates to the restored virtual destructor and uses the release alias address.
0x0089BCD0	??_GbdBitBuffer@@UAEPAXI@Z	V4	PASS	bd-bitbuffer-dtor-manual-20260830	2026-08-30	IDA:0x0089BCD0;release C dump:0x0089BCD0;src/bd/bd_types.h:535	Release scalar/vector deleting-destructor aliases share the same body and address.
0x0089C1D0	?writeDataType@bdBitBuffer@@IAEXW4bdBitBufferDataType@@@Z	V3	PASS	bd-bitbuffer-types-manual-20260830	2026-08-30	src/bd/stubs.cpp:510-514	Concrete type metadata writer is present and emits the release ranged-uint tag when checking is enabled.
0x0089C1D0	?writeDataType@bdBitBuffer@@IAEXW4bdBitBufferDataType@@@Z	V4	PASS	bd-bitbuffer-types-manual-20260830	2026-08-30	IDA:0x0089C1D0;release C dump:0x0089C1D0;src/bd/stubs.cpp:510-514	Release writes the type through writeRangedUInt32(type,0,0x1f,false) only when m_typeChecked, matching source.
0x0089C2F0	?writeRangedFloat32@bdBitBuffer@@QAEXMMMM@Z	V3	PASS	bd-bitbuffer-float-manual-20260830	2026-08-30	src/bd/stubs.cpp:595-672	Concrete ranged-float writer includes release range/precision diagnostics, metadata, compression, clamping, and fallback.
0x0089C2F0	?writeRangedFloat32@bdBitBuffer@@QAEXMMMM@Z	V4	PASS	bd-bitbuffer-float-manual-20260830	2026-08-30	IDA:0x0089C2F0;release C dump:0x0089C2F0;src/bd/stubs.cpp:595-672	Release/source match diagnostics, metadata tags, fabs/reciprocal scaling, high-bit width, clamping, and uncompressed fallback.
0x0089AFA0	?bdStrlen@@YAIQBD@Z	V3	PASS	bd-bitbuffer-helpers-manual-20260830	2026-08-30	src/bd/stubs.cpp:15-18	Release helper is present as a concrete wrapper around strlen.
0x0089AFA0	?bdStrlen@@YAIQBD@Z	V4	PASS	bd-bitbuffer-helpers-manual-20260830	2026-08-30	IDA:0x0089AFA0;release C dump:0x0089AFA0;src/bd/stubs.cpp:15-18	The release body returns strlen(value), matching the restored source wrapper.
0x0089AFE0	?bdFabsf32@@YAMM@Z	V3	PASS	bd-bitbuffer-helpers-manual-20260830	2026-08-30	src/bd/stubs.cpp:21-24	Release helper is present as a concrete floating absolute-value wrapper.
0x0089AFE0	?bdFabsf32@@YAMM@Z	V4	PASS	bd-bitbuffer-helpers-manual-20260830	2026-08-30	IDA:0x0089AFE0;release C dump:0x0089AFE0;src/bd/stubs.cpp:21-24	The release body returns fabs(value), with the observed long-double ABI return type restored.
0x0089AF70	??0bdReferencable@@QAE@XZ	V3	PASS	bd-referencable-manual-20260830	2026-08-30	src/bd/bdReference/bdReferencable.h:22	The release weak constructor initializes the virtual base, clears m_refCount, and is represented by the inline source constructor.
0x0089AF70	??0bdReferencable@@QAE@XZ	V4	PASS	bd-referencable-manual-20260830	2026-08-30	IDA:0x0089AF70;release C dump:0x0089AF70;src/bd/bdReference/bdReferencable.h:22	Release writes the bdReferencable vftable and zeroes m_refCount, matching the inline constructor's observable ABI.
0x0089AF80	??_GbdReferencable@@UAEPAXI@Z	V3	PASS	bd-referencable-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1665597-1665604;src/bd/bdReference/bdReferencable.h:24	The release scalar deleting destructor calls the real virtual destructor and conditionally deallocates the object.
0x0089AF80	??_GbdReferencable@@UAEPAXI@Z	V4	PASS	bd-referencable-manual-20260830	2026-08-30	IDA:0x0089AF80;release C dump:0x0089AF80;src/bd/bdReference/bdReferencable.h:24	Release/source match the empty virtual destructor plus flag-tested bdMemory deallocation.
