ida_ea	name	gate	result	session	date	source_ref	detail
0x0089E430	?write@bdByteBuffer@@QAE_NPBXI@Z	V3	PASS	bdbytebuffer-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1668733-1668792;src/bd/stubs.cpp:280-318	Release checks available write space, reports insufficient capacity, appends through bdBytePacker, advances m_writePtr, and returns the packer result; source implements the same concrete path.
0x0089E430	?write@bdByteBuffer@@QAE_NPBXI@Z	V4	PASS	bdbytebuffer-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1668733-1668792;src/bd/stubs.cpp:280-318	Equivalent release/source write bounds, diagnostics, append, pointer advance, and ABI after restoring the void-pointer parameter.
0x0089E500	?read@bdByteBuffer@@QAE_NPAXI@Z	V3	PASS	bdbytebuffer-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1668794-1668853;src/bd/stubs.cpp:927-959	Release checks available read data, reports insufficient data, removes through bdBytePacker, advances m_readPtr, and returns the result; source implements the same concrete path.
0x0089E500	?read@bdByteBuffer@@QAE_NPAXI@Z	V4	PASS	bdbytebuffer-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1668794-1668853;src/bd/stubs.cpp:927-959	Equivalent release/source read bounds, diagnostics, removal, pointer advance, and ABI.
0x0089E5D0	??1bdByteBuffer@@UAE@XZ	V3	PASS	bdbytebuffer-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1668855-1668868;src/bd/stubs.cpp:959-964	Release deallocates m_data and invokes the reference-counted base destructor; source deallocates m_data and relies on the compiler-generated base cleanup.
0x0089E5D0	??1bdByteBuffer@@UAE@XZ	V4	PASS	bdbytebuffer-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1668855-1668868;src/bd/stubs.cpp:959-964	Equivalent release/source destructor resource cleanup and virtual ABI.
0x0089E630	??_GbdByteBuffer@@UAEPAXI@Z	V3	PASS	bd-byte-buffer-manual-20260830	2026-08-30	src/bd/stubs.cpp:1202-1208	Compiler-generated vector deleting destructor wraps the restored virtual bdByteBuffer destructor.
0x0089E630	??_GbdByteBuffer@@UAEPAXI@Z	V4	PASS	bd-byte-buffer-manual-20260830	2026-08-30	IDA decompile:0x0089E630	Release alias conditionally deallocates after destructor cleanup; generated wrapper matches.
0x0089E630	??_EbdByteBuffer@@UAEPAXI@Z	V3	PASS	bd-byte-buffer-manual-20260830	2026-08-30	src/bd/stubs.cpp:1202-1208	Compiler-generated scalar deleting destructor wraps the restored virtual bdByteBuffer destructor.
0x0089E630	??_EbdByteBuffer@@UAEPAXI@Z	V4	PASS	bd-byte-buffer-manual-20260830	2026-08-30	IDA decompile:0x0089E630	Release scalar/vector aliases share the deleting-destructor implementation.
