ida_ea	name	gate	result	session	date	source_ref	detail
0x008AD580	?getType@bdChunk@@SA?AW4bdChunkTypes@@QBEI@Z	V3	PASS	bdchunk-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684802-1684818;src/bd/bdChunk.cpp:40-48	Release removes one byte through bdBytePacker, returns zero on failure, and otherwise returns the decoded chunk type; source follows the same logic.
0x008AD580	?getType@bdChunk@@SA?AW4bdChunkTypes@@QBEI@Z	V4	PASS	bdchunk-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1684802-1684818;src/bd/bdChunk.cpp:40-48	Equivalent release/source failure handling, byte decode, return value, and restored const unsigned-char pointer ABI.
0x008AD510	??0bdChunk@@QAE@W4bdChunkTypes@@@Z	V3	PASS	bdchunk-manual-20260830	2026-08-30	IDA decompile:0x008AD510;src/bd/bdChunk.cpp:12-15	Constructor source initializes m_type; compiler-emitted bdReferencable base initialization supplies the release refcount-zero store.
0x008AD510	??0bdChunk@@QAE@W4bdChunkTypes@@@Z	V4	PASS	bdchunk-manual-20260830	2026-08-30	IDA decompile:0x008AD510	Release zeroes the base refcount, installs bdChunk vtable, stores the type at +0x08, and returns; source inheritance and initializer produce the same sequence.
0x008AD530	??1bdChunk@@UAE@XZ	V3	PASS	bdchunk-manual-20260830	2026-08-30	IDA decompile:0x008AD530;src/bd/bdChunk.cpp:21-23	Empty source destructor is a complete compiler-emitted virtual cleanup that invokes bdReferencable destruction.
0x008AD530	??1bdChunk@@UAE@XZ	V4	PASS	bdchunk-manual-20260830	2026-08-30	IDA decompile:0x008AD530	Release restores the bdChunk vtable and calls bdReferencable::~bdReferencable; source inheritance supplies the same lifecycle.
0x008AD540	?getType@bdChunk@@UBE?AW4bdChunkTypes@@XZ	V3	PASS	bdchunk-manual-20260830	2026-08-30	src/bd/bdChunk.cpp:28-30	Body returns the stored m_type field.
0x008AD540	?getType@bdChunk@@UBE?AW4bdChunkTypes@@XZ	V4	PASS	bdchunk-manual-20260830	2026-08-30	IDA decompile:0x008AD540	Release reads the field at this+0x08; source returns m_type at the same layout offset.
0x008AD550	?isControl@bdChunk@@QBE_NXZ	V3	PASS	bdchunk-manual-20260830	2026-08-30	src/bd/bdChunk.cpp:35-37	Body compares m_type against BD_CHUNK_DATA.
0x008AD550	?isControl@bdChunk@@QBE_NXZ	V4	PASS	bdchunk-manual-20260830	2026-08-30	IDA decompile:0x008AD550	Release returns m_type != 2; BD_CHUNK_DATA is value 2 and source comparison matches.
0x008AD5C0	?serialize@bdChunk@@UAEIPAEI@Z	V3	PASS	bdchunk-manual-20260830	2026-08-30	src/bd/bdChunk.cpp:53-64	Body checks four-byte capacity, appends one-byte type through bdBytePacker, and returns the resulting offset or zero.
0x008AD5C0	?serialize@bdChunk@@UAEIPAEI@Z	V4	PASS	bdchunk-manual-20260830	2026-08-30	IDA decompile:0x008AD5C0	Release/source capacity guard, local offset initialization, one-byte type append, and return paths match.
0x008AD600	?deserialize@bdChunk@@UAE_NQBEIAAI@Z	V3	PASS	bdchunk-manual-20260830	2026-08-30	src/bd/bdChunk.cpp:69-78	Body checks remaining capacity, removes one-byte type through bdBytePacker, stores m_type, and returns success/failure.
0x008AD600	?deserialize@bdChunk@@UAE_NQBEIAAI@Z	V4	PASS	bdchunk-manual-20260830	2026-08-30	IDA decompile:0x008AD600	Release/source remaining-size guard, removeBasicType call, m_type store, and boolean return paths match.
0x008AD560	??_GbdChunk@@UAEPAXI@Z	V3	PASS	bdchunk-manual-20260830	2026-08-30	src/bd/bdChunk.cpp:22-24	Compiler-generated vector deleting destructor shares the restored virtual bdChunk destructor cleanup.
0x008AD560	??_GbdChunk@@UAEPAXI@Z	V4	PASS	bdchunk-manual-20260830	2026-08-30	IDA decompile:0x008AD560	Release alias calls bdChunk destructor and conditionally deallocates; generated wrapper matches.
0x008AD560	??_EbdChunk@@UAEPAXI@Z	V3	PASS	bdchunk-manual-20260830	2026-08-30	src/bd/bdChunk.cpp:22-24	Compiler-generated scalar deleting destructor shares the restored virtual bdChunk destructor cleanup.
0x008AD560	??_EbdChunk@@UAEPAXI@Z	V4	PASS	bdchunk-manual-20260830	2026-08-30	IDA decompile:0x008AD560	Release scalar/vector aliases share the same deleting-destructor implementation.
