ida_ea	name	gate	result	session	date	source_ref	detail
0x008A2DE0	??0bdConnectionStore@@QAE@PAVbdSocket@@V?$bdReference@VbdCommonAddr@@@@PAVbdSecurityKeyMap@@PAVbdDHKey@@ABV?$bdArray@VbdAddr@@@@@Z	V3	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1673987-1674020;src/bd/bdConnectionStore.cpp:20-42	Release constructor initializes the socket router, stores socket/security/DH/common-address state, creates the connection map with four buckets and 0.75 load factor, zeroes listeners/status, updates the title common address, and balances temporary references; source now follows this sequence.
0x008A2DE0	??0bdConnectionStore@@QAE@PAVbdSocket@@V?$bdReference@VbdCommonAddr@@@@PAVbdSecurityKeyMap@@PAVbdDHKey@@ABV?$bdArray@VbdAddr@@@@@Z	V4	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	IDA:0x008A2DE0;c3_bin/codmp_xboxr.xbe.c:1673987-1674020;src/bd/bdConnectionStore.cpp:20-42	Release/source initialization order, map parameters, title-common-address update, reference-count balancing, and class/by-value ABI now match.
0x008A2DE0	??0bdConnectionStore@@QAE@PAVbdSocket@@V?$bdReference@VbdCommonAddr@@@@PAVbdSecurityKeyMap@@QAVbdDHKey@@ABV?$bdArray@VbdAddr@@@@@Z	V3	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1673987-1674020;src/bd/bdConnectionStore.cpp:20-42	Release constructor initializes the router, stores dependencies, creates the map, updates the title common address, and balances temporary references; source matches.
0x008A2DE0	??0bdConnectionStore@@QAE@PAVbdSocket@@V?$bdReference@VbdCommonAddr@@@@PAVbdSecurityKeyMap@@QAVbdDHKey@@ABV?$bdArray@VbdAddr@@@@@Z	V4	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	IDA:0x008A2DE0;c3_bin/codmp_xboxr.xbe.c:1673987-1674020;src/bd/bdConnectionStore.cpp:20-42	Release/source initialization order, map parameters, title-common-address update, reference-count balancing, and exact top-level-const bdDHKey pointer ABI match.
0x008A1680	?flush@bdConnectionStore@@QAEIV?$bdReference@VbdConnection@@@@@Z	V3	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1672326-1672448;src/bd/bdConnectionStore.cpp:67-121	Release obtains and retains the address handle, sends queued data, updates statistics, maps socket errors, and releases both temporary and incoming references; source matches.
0x008A1680	?flush@bdConnectionStore@@QAEIV?$bdReference@VbdConnection@@@@@Z	V4	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	IDA:0x008A1680;c3_bin/codmp_xboxr.xbe.c:1672326-1672448;src/bd/bdConnectionStore.cpp:67-121	Release/source data path, statistics, error handling, cleanup, and exact by-value bdReference ABI match.
0x008A2A10	?remove@bdConnectionStore@@QAEXV?$bdReference@VbdConnection@@@@@Z	V3	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1673729-1673786;src/bd/bdConnectionStore.cpp:342-360	Release logs removal, retains/releases the address-handle key around hash-map removal, reports a missing entry, and releases the by-value connection; source matches.
0x008A2A10	?remove@bdConnectionStore@@QAEXV?$bdReference@VbdConnection@@@@@Z	V4	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	IDA:0x008A2A10;c3_bin/codmp_xboxr.xbe.c:1673729-1673786;src/bd/bdConnectionStore.cpp:342-360	Release/source logging, key lifetime balancing, removal result handling, final connection release, and exact by-value ABI match.
0x008A1280	?getSocketRouter@bdConnectionStore@@QAEPAVbdSocketRouter@@XZ	V3	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1671968-1671972;src/bd/bdConnectionStore.cpp:60-62	Release returns the embedded socket-router address; source returns the same embedded member.
0x008A1280	?getSocketRouter@bdConnectionStore@@QAEPAVbdSocketRouter@@XZ	V4	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	IDA:0x008A1280;c3_bin/codmp_xboxr.xbe.c:1671968-1671972;src/bd/bdConnectionStore.cpp:60-62	Release/source embedded-router address and return ABI match exactly.
0x008A2180	?registerListener@bdConnectionStore@@QAEXPAVbdConnectionListener@@@Z	V3	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1673154-1673169;src/bd/bdConnectionStore.cpp:325-327	Release appends the listener to the fast array, growing capacity when needed; source delegates to pushBack with identical semantics.
0x008A2180	?registerListener@bdConnectionStore@@QAEXPAVbdConnectionListener@@@Z	V4	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	IDA:0x008A2180;c3_bin/codmp_xboxr.xbe.c:1673154-1673169;src/bd/bdConnectionStore.cpp:325-327	Release/source append and capacity-growth behavior match exactly.
0x008A2A00	?unregisterListener@bdConnectionStore@@QAEXPAVbdConnectionListener@@@Z	V3	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1673722-1673726;src/bd/bdConnectionStore.cpp:332-334	Release delegates listener removal to fast-array removeAllKeepOrder; source does the same.
0x008A2A00	?unregisterListener@bdConnectionStore@@QAEXPAVbdConnectionListener@@@Z	V4	PASS	ida-manual-bd-connection-store-20260830	2026-08-30	IDA:0x008A2A00;c3_bin/codmp_xboxr.xbe.c:1673722-1673726;src/bd/bdConnectionStore.cpp:332-334	Release/source removal delegation and void ABI match exactly.
0x008A2EB0	?create@bdConnectionStore@@QAE?AV?$bdReference@VbdConnection@@@@V?$bdReference@VbdCommonAddr@@@@ABUXNKID@@@Z	V3	PASS	bdconnectionstore-create-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1674014-1674240;src/bd/bdConnectionStore.cpp:365-435	Release selects loopback/unicast allocation, registers every store listener, converts the common address to a handle, installs the handle, checks for duplicates, connects non-loopback peers, inserts the map entry, and balances the consumed address/handle references; source follows those paths.
0x008A2EB0	?create@bdConnectionStore@@QAE?AV?$bdReference@VbdConnection@@@@V?$bdReference@VbdCommonAddr@@@@ABUXNKID@@@Z	V4	PASS	bdconnectionstore-create-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.map:23050;build/Debug/cod3_bd.lib;src/bd/bdConnectionStore.h:42;src/bd/bdConnectionStore.cpp:365-435	Exact by-value bdReference<bdCommonAddr> ABI is emitted; release-backed listener, address-map, duplicate, connection, insertion, and cleanup behavior is present.
