ida_ea	name	gate	result	session	date	source_ref	detail
0x008ABEA0	??0bdCookieAckChunk@@QAE@XZ	V3	PASS	bd-cookie-ack-manual-20260830	2026-08-30	src/bd/bdCookie.cpp:367-371	Constructor delegates type 14 to bdChunk and clears m_flags.
0x008ABEA0	??0bdCookieAckChunk@@QAE@XZ	V4	PASS	bd-cookie-ack-manual-20260830	2026-08-30	IDA decompile:0x008ABEA0	Release base construction, vtable install, and zero flag store match source.
0x008ABEC0	??1bdCookieAckChunk@@UAE@XZ	V3	PASS	bd-cookie-ack-manual-20260830	2026-08-30	src/bd/bdCookie.cpp:375-377	Empty destructor delegates compiler-emitted cleanup through bdChunk.
0x008ABEC0	??1bdCookieAckChunk@@UAE@XZ	V4	PASS	bd-cookie-ack-manual-20260830	2026-08-30	IDA decompile:0x008ABEC0	Release resets the derived vtable and calls bdChunk destructor, matching source inheritance.
0x008ABED0	?getFlags@bdCookieAckChunk@@QBE?AW4bdCookieAckFlags@1@XZ	V3	PASS	bd-cookie-ack-manual-20260830	2026-08-30	src/bd/bdCookie.cpp:381-384	Body returns m_flags.
0x008ABED0	?getFlags@bdCookieAckChunk@@QBE?AW4bdCookieAckFlags@1@XZ	V4	PASS	bd-cookie-ack-manual-20260830	2026-08-30	IDA decompile:0x008ABED0	Release reads the flags field at this+0x10; source matches.
0x008ABEE0	?getSerializedSize@bdCookieAckChunk@@UAEIXZ	V3	PASS	bd-cookie-ack-manual-20260830	2026-08-30	src/bd/bdCookie.cpp:388-390	Body returns constant size 4.
0x008ABEE0	?getSerializedSize@bdCookieAckChunk@@UAEIXZ	V4	PASS	bd-cookie-ack-manual-20260830	2026-08-30	IDA decompile:0x008ABEE0	Release returns 4, matching source.
0x008ABF10	?serialize@bdCookieAckChunk@@MAEIPAEI@Z	V3	PASS	bd-cookie-ack-manual-20260830	2026-08-30	src/bd/bdCookie.cpp:395-409	Body serializes the base chunk, flags byte, and two-byte zero field.
0x008ABF10	?serialize@bdCookieAckChunk@@MAEIPAEI@Z	V4	PASS	bd-cookie-ack-manual-20260830	2026-08-30	IDA decompile:0x008ABF10	Release/source append order, capacity handling, and returned offset match.
0x008ABF90	?deserialize@bdCookieAckChunk@@MAE_NQBEIAAI@Z	V3	PASS	bd-cookie-ack-manual-20260830	2026-08-30	src/bd/bdCookie.cpp:411-432	Body decodes the base type, flags byte, and two-byte field, updating offset only on success.
0x008ABF90	?deserialize@bdCookieAckChunk@@MAE_NQBEIAAI@Z	V4	PASS	bd-cookie-ack-manual-20260830	2026-08-30	IDA decompile:0x008ABF90	Release/source decode order, failure paths, flag assignment, and offset update match.
0x008ABEF0	??_GbdCookieAckChunk@@UAEPAXI@Z	V3	PASS	bd-cookie-ack-manual-20260830	2026-08-30	src/bd/bdCookie.cpp:382-384	Compiler-generated vector deleting destructor shares the restored virtual destructor cleanup.
0x008ABEF0	??_GbdCookieAckChunk@@UAEPAXI@Z	V4	PASS	bd-cookie-ack-manual-20260830	2026-08-30	IDA decompile:0x008ABEF0	Release alias calls bdCookieAckChunk destructor and conditionally deallocates; compiler-generated wrapper supplies the same behavior.
0x008ABEF0	??_EbdCookieAckChunk@@UAEPAXI@Z	V3	PASS	bd-cookie-ack-manual-20260830	2026-08-30	src/bd/bdCookie.cpp:382-384	Compiler-generated scalar deleting destructor shares the restored virtual destructor cleanup.
0x008ABEF0	??_EbdCookieAckChunk@@UAEPAXI@Z	V4	PASS	bd-cookie-ack-manual-20260830	2026-08-30	IDA decompile:0x008ABEF0	Release scalar/vector aliases share the same deleting-destructor implementation.
