ida_ea	name	gate	result	session	date	source_ref	detail
0x008AEA00	??0bdGameInfo@@QAE@XZ	V3	PASS	ida-manual-bd-game-info-20260829	2026-08-29	src/bd/bdGameInfo.cpp:67-73	Source initializes the reference-count base, title id sentinel 666, and null host address.
0x008AEA00	??0bdGameInfo@@QAE@XZ	V4	PASS	ida-manual-bd-game-info-20260829	2026-08-29	IDA:0x008AEA00;src/bd/bdGameInfo.cpp:67-73	Release/source match base refcount initialization, title-id sentinel, null host pointer, vtable setup, and constructor return semantics.
0x008AE8D0	?getTitleID@bdGameInfo@@QBEIXZ	V3	PASS	ida-manual-bd-game-info-20260830	2026-08-30	IDA:0x008AE8D0;src/bd/bdGameInfo.cpp:26-37	Release and source both return m_titleId and emit the uninitialized-object warning when the sentinel value is present.
0x008AE8D0	?getTitleID@bdGameInfo@@QBEIXZ	V4	PASS	ida-manual-bd-game-info-20260830	2026-08-30	IDA:0x008AE8D0-0x008AE91F;src/bd/bdGameInfo.cpp:26-37	Manual comparison confirms the release warning file, signature text, line 0x29, dw/warn category, log channel/message, and return field.
0x008AE920	?getSecurityID@bdGameInfo@@QBEABUXNKID@@XZ	V3	PASS	ida-manual-bd-game-info-20260830	2026-08-30	IDA:0x008AE920;src/bd/bdGameInfo.cpp:40-45	Release and source both return the address of m_secID without side effects.
0x008AE920	?getSecurityID@bdGameInfo@@QBEABUXNKID@@XZ	V4	PASS	ida-manual-bd-game-info-20260830	2026-08-30	IDA:0x008AE920-0x008AE92F;src/bd/bdGameInfo.cpp:40-45	Manual comparison confirms the direct m_secID reference return.
0x008AE930	?getSecurityKey@bdGameInfo@@QBEABUXNKEY@@XZ	V3	PASS	ida-manual-bd-game-info-20260830	2026-08-30	IDA:0x008AE930;src/bd/bdGameInfo.cpp:48-53	Release and source both return the address of m_secKey without side effects.
0x008AE930	?getSecurityKey@bdGameInfo@@QBEABUXNKEY@@XZ	V4	PASS	ida-manual-bd-game-info-20260830	2026-08-30	IDA:0x008AE930-0x008AE93F;src/bd/bdGameInfo.cpp:48-53	Manual comparison confirms the direct m_secKey reference return.
0x008AE940	?setTitleID@bdGameInfo@@QAEXI@Z	V3	PASS	ida-manual-bd-game-info-20260830	2026-08-30	IDA:0x008AE940;src/bd/bdGameInfo.cpp:56-61	Release and source both assign the incoming title id to m_titleId.
0x008AE940	?setTitleID@bdGameInfo@@QAEXI@Z	V4	PASS	ida-manual-bd-game-info-20260830	2026-08-30	IDA:0x008AE940-0x008AE94F;src/bd/bdGameInfo.cpp:56-61	Manual comparison confirms the single-field assignment and void ABI.
0x008AE950	?setSecurityID@bdGameInfo@@QAEXABUXNKID@@@Z	V3	PASS	ida-manual-bd-game-info-20260830	2026-08-30	IDA:0x008AE950;src/bd/bdGameInfo.cpp:65-70	Release and source both copy all eight security-id bytes into m_secID.
