ida_ea	name	gate	result	session	date	source_ref	detail
0x009ED1A0	?create@bdPlatformSocket@@SAH_N@Z	V3	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x009ED1A0; src/bd/bdPlatformSocket-win32.cpp:26	Real body selects protocol 254 for the false flag, otherwise creates UDP, enables broadcast, and fails with -1 if setsockopt fails.
0x009ED1A0	?create@bdPlatformSocket@@SAH_N@Z	V4	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	IDA decompile 0x009ED1A0 and src/bd/bdPlatformSocket-win32.cpp:26-38	Release branch condition, socket parameters, broadcast option, and return paths match source.
0x009ED790	?close@bdPlatformSocket@@SA_NAAH@Z	V3	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x009ED790; src/bd/bdPlatformSocket-win32.cpp:135	Real body treats -1 as already closed, otherwise closes, stores -1, and returns close success.
0x009ED790	?close@bdPlatformSocket@@SA_NAAH@Z	V4	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	IDA decompile 0x009ED790 and src/bd/bdPlatformSocket-win32.cpp:135-143	Release close ordering, handle reset, and boolean result match source.
0x009ED7D0	?setBlocking@bdPlatformSocket@@SA_NAAH_N@Z	V3	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x009ED7D0; src/bd/bdPlatformSocket-win32.cpp:152	Real body rejects invalid handles, maps blocking to FIONBIO flag, and returns ioctlsocket success.
0x009ED7D0	?setBlocking@bdPlatformSocket@@SA_NAAH_N@Z	V4	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	IDA decompile 0x009ED7D0 and src/bd/bdPlatformSocket-win32.cpp:152-158	Release invalid-handle branch, inverse flag conversion, ioctl command, and return match source.
0x009ED210	?bind@bdPlatformSocket@@SA?AW4bdSocketStatusCode@@AAHABVbdInAddr@@G@Z	V3	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914776-1914803;src/bd/bdPlatformSocket-win32.cpp:42-62	Release validates the handle, builds an IPv4 sockaddr, binds, closes on failure, maps Winsock errors, and returns the corresponding status; source matches.
0x009ED210	?bind@bdPlatformSocket@@SA?AW4bdSocketStatusCode@@AAHABVbdInAddr@@G@Z	V4	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	IDA:0x009ED210;c3_bin/codmp_xboxr.xbe.c:1914776-1914803;src/bd/bdPlatformSocket-win32.cpp:42-62	Release/source handle validation, address/port conversion, close-on-error, error mapping, and status returns match; emitted const bdInAddr reference ABI is exact.
0x009ED320	?sendTo@bdPlatformSocket@@SAHHABVbdInAddr@@GPBXI@Z	V3	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914806-1914857;src/bd/bdPlatformSocket-win32.cpp:66-103	Release validates the handle, builds the destination sockaddr, sends, updates byte/packet counters on success, and maps Winsock errors; source matches.
0x009ED320	?sendTo@bdPlatformSocket@@SAHHABVbdInAddr@@GPBXI@Z	V4	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	IDA:0x009ED320;c3_bin/codmp_xboxr.xbe.c:1914806-1914857;src/bd/bdPlatformSocket-win32.cpp:66-103	Release/source send path, accounting, error mapping, and return behavior match; emitted const bdInAddr reference ABI is exact.
0x009ED540	?receiveFrom@bdPlatformSocket@@SAHAAHAAVbdInAddr@@AAGPAXI@Z	V3	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914860-1914954;src/bd/bdPlatformSocket-win32.cpp:107-156	Release validates the handle, receives into the caller buffer, updates address/port and counters, and maps Winsock errors; source matches.
0x009ED540	?receiveFrom@bdPlatformSocket@@SAHAAHAAVbdInAddr@@AAGPAXI@Z	V4	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	IDA:0x009ED540;c3_bin/codmp_xboxr.xbe.c:1914860-1914954;src/bd/bdPlatformSocket-win32.cpp:107-156	Release/source receive path, success and reset address writes, accounting, error mapping, and return behavior match; emitted mutable bdInAddr reference ABI is exact.
0x009ED840	?getHostByName@bdPlatformSocket@@SAIQBDPAVbdInAddr@@I@Z	V3	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914959-1914962;src/bd/bdPlatformSocket-win32.cpp:160-163	Release implementation is a constant zero return; source is the same constant-return implementation.
0x009ED840	?getHostByName@bdPlatformSocket@@SAIQBDPAVbdInAddr@@I@Z	V4	PASS	ida-manual-bd-platform-win32-20260830	2026-08-30	IDA:0x009ED840;c3_bin/codmp_xboxr.xbe.c:1914959-1914962;src/bd/bdPlatformSocket-win32.cpp:160-163	Release/source constant return matches and the definition now emits the exact three-argument top-level-const ABI.
