ida_ea	name	gate	result	session	date	source_ref	detail
0x009EC060	??0bdSequenceNumber@@QAE@H@Z	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913844-1913849;src/bd/bdSequenceNumber.cpp:9-12	Release stores the scalar sequence value; source constructor performs the same initialization.
0x009EC060	??0bdSequenceNumber@@QAE@H@Z	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913844-1913849;src/bd/bdSequenceNumber.cpp:9-12	Exact release/source scalar-constructor behavior and ABI.
0x009EC070	?set@bdSequenceNumber@@QAEXABV1@II@Z	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913851-1913949;src/bd/bdSequenceNumber.cpp:29-70	Release computes serial ranges, logs out-of-range and incomparable values, and updates m_seqNum; source implements the same branches.
0x009EC070	?set@bdSequenceNumber@@QAEXABV1@II@Z	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913851-1913949;src/bd/bdSequenceNumber.cpp:29-70	Equivalent release/source serial-number comparison, diagnostics, and assignment behavior; authoritative symbol is void.
0x009EC230	?getValue@bdSequenceNumber@@QBEHXZ	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913952-1913956;src/bd/bdSequenceNumber.cpp:23-26	Release returns m_seqNum; source returns the same field.
0x009EC230	?getValue@bdSequenceNumber@@QBEHXZ	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913952-1913956;src/bd/bdSequenceNumber.cpp:23-26	Exact release/source getter behavior.
0x009EC240	??HbdSequenceNumber@@QBE?AV0@ABV0@@Z	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913958-1913963;src/bd/bdSequenceNumber.cpp:81-85	Release adds the two sequence values into a returned object; source performs the same operation.
0x009EC240	??HbdSequenceNumber@@QBE?AV0@ABV0@@Z	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913958-1913963;src/bd/bdSequenceNumber.cpp:81-85	Equivalent release/source addition and return behavior.
0x009EC260	??YbdSequenceNumber@@QAEAAV0@ABV0@@Z	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913965-1913969;src/bd/bdSequenceNumber.cpp:90-93	Release adds the other value into this object and returns this; source matches.
0x009EC260	??YbdSequenceNumber@@QAEAAV0@ABV0@@Z	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913965-1913969;src/bd/bdSequenceNumber.cpp:90-93	Exact release/source compound-add behavior.
0x009EC270	??EbdSequenceNumber@@QAEAAV0@XZ	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913972-1913977;src/bd/bdSequenceNumber.cpp:98-101	Release increments this sequence and returns this; source matches.
0x009EC270	??EbdSequenceNumber@@QAEAAV0@XZ	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913972-1913977;src/bd/bdSequenceNumber.cpp:98-101	Exact release/source prefix-increment behavior.
0x009EC280	??EbdSequenceNumber@@QAE?AV0@H@Z	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913979-1913987;src/bd/bdSequenceNumber.cpp:106-110	Release copies the old sequence value, increments this, and returns the copy; source matches.
0x009EC280	??EbdSequenceNumber@@QAE?AV0@H@Z	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913979-1913987;src/bd/bdSequenceNumber.cpp:106-110	Exact release/source postfix-increment behavior.
0x009EC2A0	??GbdSequenceNumber@@QBE?AV0@ABV0@@Z	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913989-1913994;src/bd/bdSequenceNumber.cpp:115-119	Release subtracts the other sequence value into a returned object; source performs the same operation.
0x009EC2A0	??GbdSequenceNumber@@QBE?AV0@ABV0@@Z	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913989-1913994;src/bd/bdSequenceNumber.cpp:115-119	Equivalent release/source subtraction and return behavior.
0x009EC2C0	??ObdSequenceNumber@@QBE_NABV0@@Z	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913996-1914000;src/bd/bdSequenceNumber.cpp:124-127	Release compares m_seqNum with the other value using greater-than; source matches.
0x009EC2C0	??ObdSequenceNumber@@QBE_NABV0@@Z	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1913996-1914000;src/bd/bdSequenceNumber.cpp:124-127	Exact release/source greater-than comparison.
0x009EC2E0	??MbdSequenceNumber@@QBE_NABV0@@Z	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914002-1914006;src/bd/bdSequenceNumber.cpp:131-134	Release compares m_seqNum with the other value using less-than; source matches.
0x009EC2E0	??MbdSequenceNumber@@QBE_NABV0@@Z	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914002-1914006;src/bd/bdSequenceNumber.cpp:131-134	Exact release/source less-than comparison.
0x009EC300	??NbdSequenceNumber@@QBE_NABV0@@Z	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914008-1914012;src/bd/bdSequenceNumber.cpp:136-139	Release compares m_seqNum with the other value using less-than-or-equal; source matches.
0x009EC300	??NbdSequenceNumber@@QBE_NABV0@@Z	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914008-1914012;src/bd/bdSequenceNumber.cpp:136-139	Exact release/source less-than-or-equal comparison.
0x009EC320	??PbdSequenceNumber@@QBE_NABV0@@Z	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914014-1914018;src/bd/bdSequenceNumber.cpp:141-144	Release compares m_seqNum with the other value using greater-than-or-equal; source matches.
0x009EC320	??PbdSequenceNumber@@QBE_NABV0@@Z	V4	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914014-1914018;src/bd/bdSequenceNumber.cpp:141-144	Exact release/source greater-than-or-equal comparison.
0x009EC340	??8bdSequenceNumber@@QBE_NABV0@@Z	V3	PASS	bdsequencenumber-manual-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1914020-1914024;src/bd/bdSequenceNumber.cpp:146-149	Release compares the two sequence values for equality; source matches.
