ida_ea	name	gate	result	session	date	source_ref	detail
0x008B72C0	?onNATAddrDiscovery@bdSocketRouter@@UAEXV?$bdReference@VbdCommonAddr@@@@ABVbdAddr@@@Z	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:107	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (bdSocketRouter::onNATAddrDiscovery); no user logic is omitted.
0x008B72E0	?onNATAddrDiscoveryFailed@bdSocketRouter@@UAEXV?$bdReference@VbdCommonAddr@@@@@Z	V3	PASS	release-empty-sweep-20260827	2026-08-27	analysis/RELEASE_STUB_AUDIT.tsv:116	Release C-dump comparison classifies this source-empty body as compiler-emitted implicit cleanup (bdSocketRouter::onNATAddrDiscoveryFailed); no user logic is omitted.
0x008B6FF0	?pump@bdSocketRouter@@QAEXXZ	V4	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	IDA:0x008B6FF0;c3_bin/codmp_xboxr.xbe.c:1695186-1695191;src/bd/bdSocketRouter.cpp:37-39	Release delegates directly to bdQoSProbe::pump; source matches.
0x008B7000	?getQoSProber@bdSocketRouter@@QAEPAVbdQoSProbe@@XZ	V4	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	IDA:0x008B7000;c3_bin/codmp_xboxr.xbe.c:1695194-1695198;src/bd/bdSocketRouter.cpp:44-46	Release returns the embedded QoS prober address; source matches.
0x008B7070	?connect@bdSocketRouter@@QAE_NAAV?$bdReference@VbdAddrHandle@@@@@Z	V4	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	IDA:0x008B7070;c3_bin/codmp_xboxr.xbe.c:1695243-1695246;src/bd/bdSocketRouter.cpp:51-56	Release passes the address-handle IPv4 value to XNetConnect and returns success on zero; source matches.
0x008B7090	?getStatus@bdSocketRouter@@QAE?AW4bdSocketStatus@@ABV?$bdReference@VbdAddrHandle@@@@@Z	V4	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	IDA:0x008B7090;c3_bin/codmp_xboxr.xbe.c:1695249-1695275;src/bd/bdSocketRouter.cpp:60-73	Release maps XNetGetConnectStatus values 0-3 to idle/pending/connected/lost with idle default; source matches and now emits the release enum ABI.
0x008B70F0	?sendTo@bdSocketRouter@@UAEHABV?$bdReference@VbdAddrHandle@@@@PBXI@Z	V4	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	IDA:0x008B70F0;c3_bin/codmp_xboxr.xbe.c:1695278-1695301;src/bd/bdSocketRouter.cpp:76-84	Release constructs a bdAddr from the handle address/port, delegates to the socket, and cleans up temporaries; source matches.
0x008B7190	?receiveFrom@bdSocketRouter@@UAEHAAV?$bdReference@VbdAddrHandle@@@@PAXI@Z	V4	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	IDA:0x008B7190;c3_bin/codmp_xboxr.xbe.c:1695304-1695377;src/bd/bdSocketRouter.cpp:86-106	Release receives into a temporary bdAddr, replaces the output handle with a newly allocated handle, copies address/port, and returns status; source matches.
0x008B73B0	??0bdSocketRouter@@QAE@PAVbdSocket@@PAVbdSecurityKeyMap@@PAVbdDHKey@@ABV?$bdArray@VbdAddr@@@@@Z	V4	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	IDA:0x008B73B0;c3_bin/codmp_xboxr.xbe.c:1695455-1695467;src/bd/bdSocketRouter.cpp:18-23	Release stores m_socket, constructs the QoS prober, and zero-initializes the interceptor array; source matches and now emits class bdDHKey and bdAddr ABI.
0x008B6FF0	?pump@bdSocketRouter@@QAEXXZ	V3	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1695186-1695191;src/bd/bdSocketRouter.cpp:37-39	Release body and source body are both a direct QoS-prober pump delegation.
0x008B7000	?getQoSProber@bdSocketRouter@@QAEPAVbdQoSProbe@@XZ	V3	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1695194-1695198;src/bd/bdSocketRouter.cpp:44-46	Release body and source body both return the embedded QoS-prober address.
0x008B7070	?connect@bdSocketRouter@@QAE_NAAV?$bdReference@VbdAddrHandle@@@@@Z	V3	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1695243-1695246;src/bd/bdSocketRouter.cpp:51-56	Release and source both pass the handle IPv4 value to XNetConnect and test for zero.
0x008B7090	?getStatus@bdSocketRouter@@QAE?AW4bdSocketStatus@@ABV?$bdReference@VbdAddrHandle@@@@@Z	V3	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1695249-1695275;src/bd/bdSocketRouter.cpp:60-73	Release and source both map XNet connection status values to the four association states with idle default.
0x008B70F0	?sendTo@bdSocketRouter@@UAEHABV?$bdReference@VbdAddrHandle@@@@PBXI@Z	V3	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1695278-1695301;src/bd/bdSocketRouter.cpp:76-84	Release and source both construct the destination address from the handle and delegate to bdSocket.
0x008B7190	?receiveFrom@bdSocketRouter@@UAEHAAV?$bdReference@VbdAddrHandle@@@@PAXI@Z	V3	PASS	ida-manual-bd-socket-router-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1695304-1695377;src/bd/bdSocketRouter.cpp:86-106	Release and source both receive through the socket, replace the output handle, and copy address/port on valid input.
