ida_ea	name	gate	result	session	date	source_ref	detail
0x0089E670	?start@bdStopwatch@@QAEXXZ	V3	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x0089E670; src/bd/bdStopwatch.cpp:24	Real body samples the high-resolution timestamp and stores it in m_start.
0x0089E670	?start@bdStopwatch@@QAEXXZ	V4	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	IDA decompile 0x0089E670 and src/bd/bdStopwatch.cpp:24-27	Release timestamp call and m_start store match source; decorated symbol is void despite incidental register return.
0x0089E680	?stop@bdStopwatch@@QAEXXZ	V3	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x0089E680; src/bd/bdStopwatch.cpp:31	Real body samples and stores m_stop only when m_start is nonzero.
0x0089E680	?stop@bdStopwatch@@QAEXXZ	V4	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	IDA decompile 0x0089E680 and src/bd/bdStopwatch.cpp:31-35	Release start check, timestamp call, and stop store match source; decorated symbol is void.
0x0089E6A0	?reset@bdStopwatch@@QAEHXZ	V3	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x0089E6A0; src/bd/bdStopwatch.cpp:39	Real body clears both timestamp fields.
0x0089E6A0	?reset@bdStopwatch@@QAEHXZ	V4	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	IDA decompile 0x0089E6A0 and src/bd/bdStopwatch.cpp:39-43	Release stores of zero to m_start/m_stop match source.
0x0089E6B0	?getTimeInSeconds@bdStopwatch@@QBEMXZ	V3	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x0089E6B0; src/bd/bdStopwatch.cpp:47	Real body forwards m_start and m_stop to bdPlatformTiming::getElapsedTime.
0x0089E6B0	?getTimeInSeconds@bdStopwatch@@QBEMXZ	V4	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	IDA decompile 0x0089E6B0 and src/bd/bdStopwatch.cpp:47-50	Release timing call arguments match source; decompiler return typing is incidental to decorated float ABI.
0x0089E6D0	?getElapsedTimeInSeconds@bdStopwatch@@QBEMXZ	V3	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe @ 0x0089E6D0; src/bd/bdStopwatch.cpp:54	Real body returns zero when stopped/unstarted, otherwise computes elapsed time from m_start to a fresh timestamp.
0x0089E6D0	?getElapsedTimeInSeconds@bdStopwatch@@QBEMXZ	V4	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	IDA decompile 0x0089E6D0 and src/bd/bdStopwatch.cpp:54-61	Release zero branch, timestamp sample, and elapsed-time call match source.
0x0089E6A0	?reset@bdStopwatch@@QAEXXZ	V3	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1668916-1668922;src/bd/bdStopwatch.cpp:39-43	Release clears m_start and m_stop; the authoritative decorated symbol is void despite the decompiler's incidental int return.
0x0089E6A0	?reset@bdStopwatch@@QAEXXZ	V4	PASS	ida-manual-bd-stopwatch-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1668916-1668922;src/bd/bdStopwatch.cpp:39-43	Exact release/source reset stores and ABI match.
