ida_ea	name	gate	result	session	date	source_ref	detail
0x007D26A0	??0cdCharSpecularShader@@QAE@XZ	V3	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D26A0; src/render/cdCharSpecularShader.cpp:84-90	Constructor links into tlInitList, clears Disabled, and clears the release shader-switch bit.
0x007D26A0	??0cdCharSpecularShader@@QAE@XZ	V4	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D26A0; src/render/cdCharSpecularShader.cpp:84-90	List-head, disabled flag, and bit-clear stores match release order.
0x007D26D0	?GetName@cdCharSpecularShader@@UAE?AVtlFixedString@@XZ	V3	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D26D0; src/render/cdCharSpecularShader.cpp:115-116	Returns the exact release shader name.
0x007D26D0	?GetName@cdCharSpecularShader@@UAE?AVtlFixedString@@XZ	V4	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D26D0; src/render/cdCharSpecularShader.cpp:115-116	String construction matches release.
0x007D2730	?GetVShader@cdCharSpecularShaderRender@@YAKI@Z	V3	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D2730; src/render/cdCharSpecularShader.cpp:34-37	Returns the indexed vertex-shader handle.
0x007D2730	?GetVShader@cdCharSpecularShaderRender@@YAKI@Z	V4	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D2730; src/render/cdCharSpecularShader.cpp:34-37	Indexed VS access matches release.
0x007D2740	?RegisterShader@cdCharSpecularPixel@@YAXXZ	V3	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D2740; src/render/cdCharSpecularShader.cpp:40-44	Registers the pixel shader and stores slot-zero handle.
0x007D2740	?RegisterShader@cdCharSpecularPixel@@YAXXZ	V4	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D2740; src/render/cdCharSpecularShader.cpp:40-44	Direct API and Shader assignment match release.
0x007D2760	?RegisterPShader@cdCharSpecularPixel@@YAXXZ	V3	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D2760; src/render/cdCharSpecularShader.cpp:47-50	Delegates to the pixel registration helper.
0x007D2760	?RegisterPShader@cdCharSpecularPixel@@YAXXZ	V4	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D2760; src/render/cdCharSpecularShader.cpp:47-50	Helper delegation matches release.
0x007D2780	?GetPShader@cdCharSpecularPixel@@YAPAKXZ	V3	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D2780; src/render/cdCharSpecularShader.cpp:53-56	Returns pixel shader slot zero.
0x007D2780	?GetPShader@cdCharSpecularPixel@@YAPAKXZ	V4	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D2780; src/render/cdCharSpecularShader.cpp:53-56	PS slot access matches release.
0x007D2790	?RegisterShader@cdCharSpecularFullbrightPixel@@YAXXZ	V3	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D2790; src/render/cdCharSpecularShader.cpp:59-63	Registers the fullbright pixel shader and stores slot-zero handle.
0x007D2790	?RegisterShader@cdCharSpecularFullbrightPixel@@YAXXZ	V4	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D2790; src/render/cdCharSpecularShader.cpp:59-63	Direct API and Shader assignment match release.
0x007D27B0	?RegisterPShader@cdCharSpecularFullbrightPixel@@YAXXZ	V3	PASS	ida-manual-char-specular-20260829	2026-08-29	IDA decompile 0x007D27B0; src/render/cdCharSpecularShader.cpp:66-69	Delegates to the fullbright pixel registration helper.
