ida_ea	name	gate	result	session	date	source_ref	detail
0x007C6890	??0cdDebugShader@@QAE@XZ	V3	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6890; src/render/cdDebugShader.cpp:77-83	Shader constructor has real init-list linkage, Disabled initialization, and shared-bit clear.
0x007C6890	??0cdDebugShader@@QAE@XZ	V4	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6890; src/render/cdDebugShader.cpp:77-83	Release next/head, Disabled, and bit-clear stores match source.
0x007C68C0	?GetName@cdDebugShader@@UAE?AVtlFixedString@@XZ	V3	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C68C0; src/render/cdDebugShader.cpp:133-135	Real body constructs the fixed-string shader name.
0x007C68C0	?GetName@cdDebugShader@@UAE?AVtlFixedString@@XZ	V4	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C68C0; src/render/cdDebugShader.cpp:133-135	Release returns tlFixedString("cdDebug"), matching source.
0x007C6900	?GetVShader@cdDebugShaderRender@@YAKXZ	V3	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6900; src/render/cdDebugShader.cpp:36-38	Real body returns the debug vertex shader handle.
0x007C6900	?GetVShader@cdDebugShaderRender@@YAKXZ	V4	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6900; src/render/cdDebugShader.cpp:36-38	Release indexed handle return matches source.
0x007C6910	?RegisterPShader@cdDebugPixel@@YAXXZ	V3	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6910; src/render/cdDebugShader.cpp:41-44	Real body registers the debug pixel shader.
0x007C6910	?RegisterPShader@cdDebugPixel@@YAXXZ	V4	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6910; src/render/cdDebugShader.cpp:41-44	Release destination and table entry match source.
0x007C6930	?InitPShader@cdDebugPixel@@YAXXZ	V3	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6930; src/render/cdDebugShader.cpp:47-49	Real body registers the debug pixel shader.
0x007C6930	?InitPShader@cdDebugPixel@@YAXXZ	V4	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6930; src/render/cdDebugShader.cpp:47-49	Release call target and arguments match source delegation.
0x007C6950	?GetPShader@cdDebugPixel@@YAPAKXZ	V3	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6950; src/render/cdDebugShader.cpp:52-54	Real body returns the debug pixel shader handle.
0x007C6950	?GetPShader@cdDebugPixel@@YAPAKXZ	V4	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6950; src/render/cdDebugShader.cpp:52-54	Release indexed handle return matches source.
0x007C69F0	??0cdDebugShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdDebugShaderMat@@@Z	V3	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C69F0; src/render/cdDebugShader.cpp:173-179	Node constructor has real MeshNode, Section, and material initialization.
0x007C69F0	??0cdDebugShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdDebugShaderMat@@@Z	V4	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C69F0; src/render/cdDebugShader.cpp:173-179	Release field order and compiler vtable installation match source.
0x007C6A50	??1cdDebugShaderNode@@UAE@XZ	V3	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6A50; src/render/cdDebugShader.cpp:182	Real node destructor is present through the base render-node teardown.
0x007C6A50	??1cdDebugShaderNode@@UAE@XZ	V4	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6A50; src/render/cdDebugShader.cpp:182	Release resets the vtable to nglRenderNode_Vtbl; defaulted destructor emits the same base teardown.
0x007C6A90	??1cdDebugShader@@UAE@XZ	V3	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6A90; src/render/cdDebugShader.cpp:88	Real shader destructor is present through the tlInitList base teardown.
0x007C6A90	??1cdDebugShader@@UAE@XZ	V4	PASS	ida-manual-cd-debug-20260830	2026-08-30	IDA decompile 0x007C6A90; src/render/cdDebugShader.cpp:88	Release resets the vtable to tlInitList; defaulted destructor emits the same base teardown.
