ida_ea	name	gate	result	session	date	source_ref	detail
0x007C9FF0	??0cdFlagShaderMat@@QAE@PAUnglTexture@@@Z	V3	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007C9FF0; src/render/cdFlagShader.cpp:44-65	Material constructor has real texture assignment, shader lookup, release assert context, and final shader assignment.
0x007C9FF0	??0cdFlagShaderMat@@QAE@PAUnglTexture@@@Z	V4	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007C9FF0; src/render/cdFlagShader.cpp:44-65	Texture assignment, null branch, AeAssert file/line/expression/message, ignored path, debug break, and shader assignment match release.
0x007CA080	?InitCDFlagShader@@YAXXZ	V3	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA080; src/render/cdFlagShader.cpp:69-100	Real body allocates and links the shader and fills all 64 sine-table entries.
0x007CA080	?InitCDFlagShader@@YAXXZ	V4	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA080; src/render/cdFlagShader.cpp:69-100	Release allocation/failure handling, init-list linkage, disabled flag, bit clear, global assignment, and sine-table loop match source; placement construction preserves object initialization.
0x007CA160	?ToggleCDFlagShader@@YAXXZ	V3	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA160; src/render/cdFlagShader.cpp:103-107	Real body toggles the shared flag-shader bit.
0x007CA160	?ToggleCDFlagShader@@YAXXZ	V4	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA160; src/render/cdFlagShader.cpp:103-107	Release byte toggle expression and store match source.
0x007CA180	?CalculateFlagMatrix@@YAXAAVMat43@math@@PAUnglMeshSection@@M@Z	V3	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA180; src/render/cdFlagShader.cpp:109-155	Restored SSE matrix construction computes width, height, tangent normalization, intensity scaling, and origin.
0x007CA180	?CalculateFlagMatrix@@YAXAAVMat43@math@@PAUnglMeshSection@@M@Z	V4	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA180; src/render/cdFlagShader.cpp:109-155	Release sphere-radius projection, cross products, square roots, matrix axes, normalization, and intensity scaling match the direct SSE reconstruction.
0x007CA3C0	?Register@cdFlagShader@@UAEXXZ	V3	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA3C0; src/render/cdFlagShader.cpp:157-168	Real body performs base registration followed by direct vertex and pixel registration.
0x007CA3C0	?Register@cdFlagShader@@UAEXXZ	V4	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA3C0; src/render/cdFlagShader.cpp:157-168	Release registration order, table indices, direct exports, and handle assignments match source.
0x007CA400	?AddNode@cdFlagShader@@UAEXPAVnglMeshNode@@PAUnglMeshSection@@PAUnglMaterial@@@Z	V3	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA400; src/render/cdFlagShader.cpp:171-190	Real body gates on bit 3, allocates the node, initializes fields, links the opaque list, and increments the count.
0x007CA400	?AddNode@cdFlagShader@@UAEXPAVnglMeshNode@@PAUnglMeshSection@@PAUnglMaterial@@@Z	V4	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA400; src/render/cdFlagShader.cpp:171-190	Release gate, allocation/alignment, node offsets, shader ID/list linkage, and count update match source.
0x007CB9F0	??0cdFlagShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdFlagShaderMat@@@Z	V3	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CB9F0; src/render/cdFlagShader.cpp:152-155	Node constructor has real field initialization.
0x007CB9F0	??0cdFlagShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdFlagShaderMat@@@Z	V4	PASS	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CB9F0; src/render/cdFlagShader.cpp:152-155	Release MeshNode, Section, vtable, and material stores match source layout; allocator path still writes the release vtable directly.
0x007CA470	?Render@cdFlagShaderNode@@UAEXXZ	V3	FAIL	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA470; c3_bin/codmp_xboxr.xbe.c:1491321-1491590	Release renderer is not yet ported; Hex-Rays reports failed local allocation and the source has no implementation.
0x007CA470	?Render@cdFlagShaderNode@@UAEXXZ	V4	FAIL	ida-manual-cd-flag-20260830	2026-08-30	IDA decompile 0x007CA470; c3_bin/codmp_xboxr.xbe.c:1491321-1491590	Equivalence is blocked until the disassembly-backed renderer reconstruction is completed; no guessed implementation is recorded.
0x007CB840	??0cdFlagShader@@QAE@XZ	V3	PASS	ida-manual-cd-flag-ctor-20260830	2026-08-30	IDA decompile 0x007CB840; src/render/cdFlagShader.cpp:25-31	Shader constructor has real init-list linkage, disabled initialization, and shader-switch bit clearing.
0x007CB840	??0cdFlagShader@@QAE@XZ	V4	PASS	ida-manual-cd-flag-ctor-20260830	2026-08-30	IDA decompile 0x007CB840; src/render/cdFlagShader.cpp:25-31	Release constructor stores next/head, clears Disabled and bit 3; compiler-installed class vtable is equivalent to the release final vtable.
0x007CB870	?GetName@cdFlagShader@@UAE?AVtlFixedString@@XZ	V3	PASS	ida-manual-cd-flag-ctor-20260830	2026-08-30	IDA decompile 0x007CB870; src/render/cdFlagShader.cpp:164-165	Real body constructs the fixed string name.
0x007CB870	?GetName@cdFlagShader@@UAE?AVtlFixedString@@XZ	V4	PASS	ida-manual-cd-flag-ctor-20260830	2026-08-30	IDA decompile 0x007CB870; src/render/cdFlagShader.cpp:164-165	Release returns tlFixedString("cdFlag"), matching source.
0x007CA080	?InitCDFlagShader@@YAXXZ	V4	PASS	ida-manual-cd-flag-ctor-20260830	2026-08-30	IDA decompile 0x007CA080; src/render/cdFlagShader.cpp:77-100	Release init path now avoids an extra constructor call and performs the exact single list linkage, disabled store, bit clear, and global assignment before rebuilding FlagSinTable.
0x007CA080	?InitCDFlagShader@@YAXXZ	V4	PASS	ida-manual-cd-flag-vtable-20260830	2026-08-30	IDA decompile 0x007CA080; src/render/cdFlagShader.cpp:80-91	Placement construction invokes the restored constructor once, preserving the initialized vtable, single list linkage, disabled flag, bit clear, and global assignment before the sine-table loop.
0x007CB8D0	?GetVShader@cdFlagVertex@@YAKXZ	V3	PASS	ida-manual-cd-flag-helpers-20260829	2026-08-29	IDA decompile 0x007CB8D0; src/render/cdFlagShader.cpp:44-47	Returns the release vertex-shader slot-zero handle.
