ida_ea	name	gate	result	session	date	source_ref	detail
0x007CEC40	?Render@cdGunShaderNode@@UAEXXZ	V3	PASS	ida-manual-gun-render-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1494555-1494648;src/render/cdGunShader.cpp:41-127	Release render state, light setup, texture wrapping, shader selection, fog, and section draw are restored in the port.
0x007CEC40	?Render@cdGunShaderNode@@UAEXXZ	V4	PASS	ida-manual-gun-render-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1494555-1494648;src/render/cdGunShader.cpp:41-127	Cull/alpha state values, constant slot six, fixed gun VS, fullbright selection, fog packing, and draw ordering match the release body.
0x007CEA70	??0cdGunShaderMat@@QAE@PAUnglTexture@@@Z	V3	PASS	ida-manual-gun-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1494447-1494482;src/render/cdGunShader.cpp:20-43	Release stores the texture, asserts when gCDGunShader is unavailable, and stores the shader pointer; the port performs the same sequence with the existing AeAssert path.
0x007CEA70	??0cdGunShaderMat@@QAE@PAUnglTexture@@@Z	V4	PASS	ida-manual-gun-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1494447-1494482;src/render/cdGunShader.cpp:20-43	Material field writes, assert metadata, ignored-assert branch, and shader assignment match the release constructor.
0x007CEF90	??0cdGunShader@@QAE@XZ	V3	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CEF90; src/render/cdGunShader.cpp:47-53	Constructor links into tlInitList, clears Disabled, and clears the release shader-switch bit.
0x007CEF90	??0cdGunShader@@QAE@XZ	V4	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CEF90; src/render/cdGunShader.cpp:47-53	List-head, disabled flag, and bit-clear stores match release order.
0x007CEFC0	?GetName@cdGunShader@@UAE?AVtlFixedString@@XZ	V3	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CEFC0; src/render/cdGunShader.cpp:187-188	Returns the exact release shader name.
0x007CEFC0	?GetName@cdGunShader@@UAE?AVtlFixedString@@XZ	V4	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CEFC0; src/render/cdGunShader.cpp:187-188	String construction matches release.
0x007CF020	?GetVShader@cdGunRender@@YAKXZ	V3	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF020; src/render/cdGunShader.cpp:22-25	Returns the release vertex-shader slot-zero handle.
0x007CF020	?GetVShader@cdGunRender@@YAKXZ	V4	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF020; src/render/cdGunShader.cpp:22-25	Indexed VS access matches release.
0x007CF030	?RegisterShader@cdGunPixel@@YAXXZ	V3	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF030; src/render/cdGunShader.cpp:28-32	Registers the pixel shader and stores slot-zero handle.
0x007CF030	?RegisterShader@cdGunPixel@@YAXXZ	V4	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF030; src/render/cdGunShader.cpp:28-32	Direct API and Shader assignment match release.
0x007CF050	?RegisterPShader@cdGunPixel@@YAXXZ	V3	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF050; src/render/cdGunShader.cpp:35-38	Delegates to the pixel registration helper.
0x007CF050	?RegisterPShader@cdGunPixel@@YAXXZ	V4	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF050; src/render/cdGunShader.cpp:35-38	Helper delegation matches release.
0x007CF070	?GetPShader@cdGunPixel@@YAPAKXZ	V3	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF070; src/render/cdGunShader.cpp:41-44	Returns pixel shader slot zero.
0x007CF070	?GetPShader@cdGunPixel@@YAPAKXZ	V4	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF070; src/render/cdGunShader.cpp:41-44	PS slot access matches release.
0x007CF080	?RegisterShader@cdGunFullbrightPixel@@YAXXZ	V3	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF080; src/render/cdGunShader.cpp:47-51	Registers the fullbright pixel shader and stores slot-zero handle.
0x007CF080	?RegisterShader@cdGunFullbrightPixel@@YAXXZ	V4	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF080; src/render/cdGunShader.cpp:47-51	Direct API and Shader assignment match release.
0x007CF0A0	?RegisterPShader@cdGunFullbrightPixel@@YAXXZ	V3	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF0A0; src/render/cdGunShader.cpp:54-57	Delegates to the fullbright pixel registration helper.
0x007CF0A0	?RegisterPShader@cdGunFullbrightPixel@@YAXXZ	V4	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF0A0; src/render/cdGunShader.cpp:54-57	Helper delegation matches release.
0x007CF0C0	?GetPShader@cdGunFullbrightPixel@@YAPAKXZ	V3	PASS	ida-manual-gun-20260829	2026-08-29	IDA decompile 0x007CF0C0; src/render/cdGunShader.cpp:60-63	Returns fullbright pixel shader slot zero.
