ida_ea	name	gate	result	session	date	source_ref	detail
0x007D0E50	?Register@cdPropellerShader@@UAEXXZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D0E50;src/render/cdPropellerShader.cpp:134-138	Release and source call nglShader::Register followed by the vertex, pixel, and fullbright pixel registration helpers in the same order.
0x007D0E50	?Register@cdPropellerShader@@UAEXXZ	V4	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D0E50;src/render/cdPropellerShader.cpp:134-138	Release and source use the same three non-Safe registration calls through the confirmed helper call graph.
0x007D1300	?RegisterVShader@cdPropellerRender@@YAXXZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1300;src/render/cdPropellerShader.cpp:95-99	Release and source pass cdPropellerRender::VS and VShaderTable[0] to nglDxRegisterVShader.
0x007D1300	?RegisterVShader@cdPropellerRender@@YAXXZ	V4	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1300;src/render/cdPropellerShader.cpp:96-99	Release and source use the same non-Safe export and first microcode entry with the release ABI types.
0x007D1320	?GetVShader@cdPropellerRender@@YAKXZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1320;src/render/cdPropellerShader.cpp:101-103	Release and source return cdPropellerRender::VS[0].
0x007D1320	?GetVShader@cdPropellerRender@@YAKXZ	V4	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1320;src/render/cdPropellerShader.cpp:102-103	Release and source have the same single-word return and unsigned-long ABI.
0x007D1330	?RegisterPShader@cdPropellerPixel@@YAXXZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1330;src/render/cdPropellerShader.cpp:106-110	Release and source pass cdPropellerPixel::PS and PShaderTable[0] to nglDxRegisterPShader.
0x007D1330	?RegisterPShader@cdPropellerPixel@@YAXXZ	V4	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1330;src/render/cdPropellerShader.cpp:107-110	Release and source use the same non-Safe export, first table entry, and pointer-to-pointer PS ABI.
0x007D1350	?GetPShader@cdPropellerPixel@@YAPAKXZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1350;src/render/cdPropellerShader.cpp:112-114	Release and source return cdPropellerPixel::PS[0].
0x007D1350	?GetPShader@cdPropellerPixel@@YAPAKXZ	V4	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1350;src/render/cdPropellerShader.cpp:113-114	Release and source have the same indexed pixel-shader pointer return and unsigned-long pointer ABI.
0x007D1360	?RegisterPShader@cdPropellerFullbrightPixel@@YAXXZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1360;src/render/cdPropellerShader.cpp:117-121	Release and source pass cdPropellerFullbrightPixel::PS and PShaderTable[0] to nglDxRegisterPShader.
0x007D1360	?RegisterPShader@cdPropellerFullbrightPixel@@YAXXZ	V4	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1360;src/render/cdPropellerShader.cpp:118-121	Release and source use the same non-Safe export, first table entry, and pointer-to-pointer PS ABI.
0x007D1380	?GetPShader@cdPropellerFullbrightPixel@@YAPAKXZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1380;src/render/cdPropellerShader.cpp:123-125	Release and source return cdPropellerFullbrightPixel::PS[0].
0x007D1380	?GetPShader@cdPropellerFullbrightPixel@@YAPAKXZ	V4	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1380;src/render/cdPropellerShader.cpp:124-125	Release and source have the same indexed pixel-shader pointer return and unsigned-long pointer ABI.
0x007D1390	??0cdPropellerShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdPropellerShaderMat@@@Z	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1390;src/render/cdPropellerShader.cpp:141-148	Release and source assign MeshNode, Section, the node vtable via compiler construction, and mMaterial in the same order.
0x007D1390	??0cdPropellerShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdPropellerShaderMat@@@Z	V4	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1390;src/render/cdPropellerShader.cpp:142-148	Release and source use the same three field offsets and material pointer type.
0x007D12B0	??0cdPropellerShader@@QAE@XZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D12B0;src/render/cdPropellerShader.cpp:70-81	Release and source initialize the tlInitList link, clear Disabled, install the shader vtable through construction, and clear the propeller shader bit.
0x007D12E0	?GetName@cdPropellerShader@@UAE?AVtlFixedString@@XZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D12E0;src/render/cdPropellerShader.cpp:128	Release and source construct the return string from the literal cdPropeller.
0x007D13F0	??1cdPropellerShaderNode@@UAE@XZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D13F0;src/render/cdPropellerShader.cpp:151	Release destructor has no body beyond the compiler-generated base-vtable transition represented by the defaulted destructor.
0x007D1430	??1cdPropellerShader@@UAE@XZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1430;src/render/cdPropellerShader.cpp:154	Release destructor has no body beyond the compiler-generated tlInitList-vtable transition represented by the defaulted destructor.
0x007D1440	??0PropellerContext@@QAE@XZ	V3	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1440;src/render/cdPropellerShader.cpp:157	Release constructor returns immediately without initializing fields; source is the same empty constructor.
0x007D1440	??0PropellerContext@@QAE@XZ	V4	PASS	cdpropeller-manual-20260829	2026-08-29	IDA:decompile:0x007D1440;src/render/cdPropellerShader.cpp:157	Release and source have no side effects or field writes.
