ida_ea	name	gate	result	session	date	source_ref	detail
0x007C8D30	??0cdSimpleAlphaShader@@QAE@XZ	V3	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8D30; src/render/cdSimpleAlphaShader.cpp:103-109	Shader constructor has real init-list linkage, Disabled initialization, and shared-bit clear.
0x007C8D30	??0cdSimpleAlphaShader@@QAE@XZ	V4	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8D30; src/render/cdSimpleAlphaShader.cpp:103-109	Release next/head, Disabled, and bit-clear stores match source.
0x007C8D60	?GetName@cdSimpleAlphaShader@@UAE?AVtlFixedString@@XZ	V3	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8D60; src/render/cdSimpleAlphaShader.cpp:157	Real body constructs the fixed-string shader name.
0x007C8D60	?GetName@cdSimpleAlphaShader@@UAE?AVtlFixedString@@XZ	V4	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8D60; src/render/cdSimpleAlphaShader.cpp:157	Release returns tlFixedString("cdSimpleAlpha"), matching source.
0x007C8DB0	?GetVShader@cdSimpleAlphaRender@@YAKI@Z	V3	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8DB0; src/render/cdSimpleAlphaShader.cpp:19-21	Real body returns the indexed vertex shader handle.
0x007C8DB0	?GetVShader@cdSimpleAlphaRender@@YAKI@Z	V4	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8DB0; src/render/cdSimpleAlphaShader.cpp:19-21	Release indexed VS return matches source.
0x007C8DF0	?GetPShader@cdSimpleAlphaPixel@@YAPAKI@Z	V3	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8DF0; src/render/cdSimpleAlphaShader.cpp:24-26	Real body returns the indexed pixel shader handle.
0x007C8DF0	?GetPShader@cdSimpleAlphaPixel@@YAPAKI@Z	V4	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8DF0; src/render/cdSimpleAlphaShader.cpp:24-26	Release indexed PS return matches source.
0x007C8E30	?GetPShader@cdSimpleAlphaPixel_Fullbright@@YAPAKI@Z	V3	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8E30; src/render/cdSimpleAlphaShader.cpp:29-31	Real body returns the indexed fullbright pixel shader handle.
0x007C8E30	?GetPShader@cdSimpleAlphaPixel_Fullbright@@YAPAKI@Z	V4	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8E30; src/render/cdSimpleAlphaShader.cpp:29-31	Release indexed PS return matches source.
0x007C8F00	??$SetConstants@UParams@cdSimpleAlphaRender@@@cdSimpleAlphaRender@@YAXABUParams@0@@Z	V3	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8F00; src/render/cdSimpleAlphaShader.cpp:35-37	Real body uploads the alpha parameter block to vertex constant register 8.
0x007C8F00	??$SetConstants@UParams@cdSimpleAlphaRender@@@cdSimpleAlphaRender@@YAXABUParams@0@@Z	V4	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8F00; src/render/cdSimpleAlphaShader.cpp:35-37	Release destination register, pointer, and 0x34 dword count match source.
0x007C8FD0	??0Params@cdSimpleAlphaRender@@QAE@XZ	V3	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8FD0; src/render/cdSimpleAlphaShader.cpp:32	Release constructor is an empty real body and source preserves it.
0x007C8FD0	??0Params@cdSimpleAlphaRender@@QAE@XZ	V4	PASS	ida-manual-cd-simple-alpha-20260830	2026-08-30	IDA decompile 0x007C8FD0; src/render/cdSimpleAlphaShader.cpp:32	Release returns immediately without stores, matching the empty constructor.
0x007C8F20	??0cdSimpleAlphaShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdSimpleAlphaShaderMat@@@Z	V3	PASS	ida-manual-cd-simple-alpha-20260829	2026-08-29	IDA decompile 0x007C8F20; src/render/cdSimpleAlphaShader.cpp:198-205	Node constructor stores mesh node, section, and material in release order.
0x007C8F20	??0cdSimpleAlphaShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdSimpleAlphaShaderMat@@@Z	V4	PASS	ida-manual-cd-simple-alpha-20260829	2026-08-29	IDA decompile 0x007C8F20; src/render/cdSimpleAlphaShader.cpp:198-205	Node field offsets and vtable-bearing C++ construction match release.
0x007C8F80	??1cdSimpleAlphaShaderNode@@UAE@XZ	V3	PASS	ida-manual-cd-simple-alpha-20260829	2026-08-29	IDA decompile 0x007C8F80; src/render/cdSimpleAlphaShader.cpp:208-209	Virtual destructor is emitted for the node type.
0x007C8F80	??1cdSimpleAlphaShaderNode@@UAE@XZ	V4	PASS	ida-manual-cd-simple-alpha-20260829	2026-08-29	IDA decompile 0x007C8F80; src/render/cdSimpleAlphaShader.cpp:208-209	Compiler-generated base teardown preserves the release node destructor contract.
