ida_ea	name	gate	result	session	date	source_ref	detail
0x007D5EC0	??0cdSimpleColorShader@@QAE@XZ	V3	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	IDA decompile 0x007D5EC0; src/render/cdSimpleColorShader.cpp:20-26	Shader constructor has real init-list linkage, Disabled initialization, and shared-bit clear.
0x007D5EC0	??0cdSimpleColorShader@@QAE@XZ	V4	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	IDA decompile 0x007D5EC0; src/render/cdSimpleColorShader.cpp:20-26	Release next/head, Disabled, and bit-clear stores match source.
0x007D5F80	?Register@cdSimpleColorShader@@UAEXXZ	V3	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	IDA decompile 0x007D5F80; src/render/cdSimpleColorShader.cpp:34	Real body delegates to nglShader::Register.
0x007D5F80	?Register@cdSimpleColorShader@@UAEXXZ	V4	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	IDA decompile 0x007D5F80; src/render/cdSimpleColorShader.cpp:34	Release thunk target matches source.
0x007D6010	??0cdSimpleShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdSimpleShaderMat@@_N@Z	V3	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	IDA decompile 0x007D6010; src/render/cdSimpleColorShader.cpp:83-90	Node constructor has real MeshNode, Section, material, and color-vertex initialization.
0x007D6010	??0cdSimpleShaderNode@@QAE@PAVnglMeshNode@@PAUnglMeshSection@@PAVcdSimpleShaderMat@@_N@Z	V4	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	IDA decompile 0x007D6010; src/render/cdSimpleColorShader.cpp:83-90	Release field order and bool store match source; compiler installs the node vtable.
0x007D6070	??1cdSimpleShaderNode@@UAE@XZ	V3	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	IDA decompile 0x007D6070; src/render/cdSimpleColorShader.cpp:93	Real node destructor is present through the base render-node teardown.
0x007D6070	??1cdSimpleShaderNode@@UAE@XZ	V4	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	IDA decompile 0x007D6070; src/render/cdSimpleColorShader.cpp:93	Release resets the vtable to nglRenderNode_Vtbl; defaulted destructor emits the same base teardown.
0x007D60B0	??1cdSimpleColorShader@@UAE@XZ	V3	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	IDA decompile 0x007D60B0; src/render/cdSimpleColorShader.cpp:29	Real shader destructor is present through the tlInitList base teardown.
0x007D60B0	??1cdSimpleColorShader@@UAE@XZ	V4	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	IDA decompile 0x007D60B0; src/render/cdSimpleColorShader.cpp:29	Release resets the vtable to tlInitList; defaulted destructor emits the same base teardown.
0x007D5F10	?InitCDSimpleColorShader@@YAXXZ	V3	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1500586-1500610;src/render/cdSimpleColorShader.cpp:71-84	Release allocates 0x10 bytes, constructs and links the shader init object, clears the shared disable bit, and stores the global; source performs the same concrete initialization.
0x007D5F10	?InitCDSimpleColorShader@@YAXXZ	V4	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1500586-1500610;src/render/cdSimpleColorShader.cpp:71-84	Equivalent release/source allocation, constructor linkage, failure clearing, global assignment, and disable-bit update.
0x007D5F60	?ToggleCDSimpleColorShader@@YAXXZ	V3	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1500612-1500623;src/render/cdSimpleColorShader.cpp:88-96	Release toggles shader-switching bit 3 with the same byte expression used by source.
0x007D5F60	?ToggleCDSimpleColorShader@@YAXXZ	V4	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1500612-1500623;src/render/cdSimpleColorShader.cpp:88-96	Equivalent release/source bit mask and store; release return byte is not part of the mapped void ABI.
0x007D5F90	?AddNode@cdSimpleColorShader@@UAEXPAVnglMeshNode@@PAUnglMeshSection@@PAUnglMaterial@@@Z	V3	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1500625-1500657;src/render/cdSimpleColorShader.cpp:99-118	Release checks the disable bit, allocates a 0x1c node, initializes mesh/section/material/color fields, and links it to the opaque list; source follows that path.
0x007D5F90	?AddNode@cdSimpleColorShader@@UAEXPAVnglMeshNode@@PAUnglMeshSection@@PAUnglMaterial@@@Z	V4	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1500625-1500657;src/render/cdSimpleColorShader.cpp:99-118	Equivalent release/source allocation size, node field initialization, shader sort hash, list linking, and opaque count update.
0x007D5EF0	?GetName@cdSimpleColorShader@@UAE?AVtlFixedString@@XZ	V3	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1500579-1500584;src/render/cdSimpleColorShader.cpp:67-68	Release returns the literal tlFixedString cdSimpleColor; source returns the same value.
0x007D5EF0	?GetName@cdSimpleColorShader@@UAE?AVtlFixedString@@XZ	V4	PASS	ida-manual-cd-simple-color-20260830	2026-08-30	c3_bin/codmp_xboxr.xbe.c:1500579-1500584;src/render/cdSimpleColorShader.cpp:67-68	Equivalent release/source string construction and return ABI.
